GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600005,10,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,10,55,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,-16,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,77,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,3,57,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,2,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,334,203084,Harrison Barnes,1610612742,Dallas Mavericks,3,7,24,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-16,198,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,515,203084,Harrison Barnes,1610612742,Dallas Mavericks,4,4,17,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,2,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,526,203084,Harrison Barnes,1610612742,Dallas Mavericks,4,2,33,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,3,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,559,203084,Harrison Barnes,1610612742,Dallas Mavericks,4,0,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,192,169,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,576,203084,Harrison Barnes,1610612742,Dallas Mavericks,5,4,23,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-25,36,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,617,203084,Harrison Barnes,1610612742,Dallas Mavericks,5,0,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-7,272,1,1,20161026,IND,DAL
Shot Chart Detail,0021600023,13,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,9,43,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-106,146,1,1,20161028,DAL,HOU
Shot Chart Detail,0021600023,63,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,3,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-97,223,1,1,20161028,DAL,HOU
Shot Chart Detail,0021600023,66,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,3,19,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-133,26,1,1,20161028,DAL,HOU
Shot Chart Detail,0021600023,83,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,1,51,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-22,56,1,1,20161028,DAL,HOU
Shot Chart Detail,0021600023,86,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,1,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,189,164,1,1,20161028,DAL,HOU
Shot Chart Detail,0021600023,270,203084,Harrison Barnes,1610612742,Dallas Mavericks,3,11,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-163,82,1,1,20161028,DAL,HOU
Shot Chart Detail,0021600023,279,203084,Harrison Barnes,1610612742,Dallas Mavericks,3,9,57,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-73,47,1,1,20161028,DAL,HOU
Shot Chart Detail,0021600023,295,203084,Harrison Barnes,1610612742,Dallas Mavericks,3,8,6,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-37,183,1,1,20161028,DAL,HOU
Shot Chart Detail,0021600023,338,203084,Harrison Barnes,1610612742,Dallas Mavericks,3,3,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,12,178,1,1,20161028,DAL,HOU
Shot Chart Detail,0021600023,354,203084,Harrison Barnes,1610612742,Dallas Mavericks,3,2,3,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,12,52,1,1,20161028,DAL,HOU
Shot Chart Detail,0021600023,484,203084,Harrison Barnes,1610612742,Dallas Mavericks,4,3,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,137,144,1,1,20161028,DAL,HOU
Shot Chart Detail,0021600023,487,203084,Harrison Barnes,1610612742,Dallas Mavericks,4,3,21,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-155,100,1,1,20161028,DAL,HOU
Shot Chart Detail,0021600023,505,203084,Harrison Barnes,1610612742,Dallas Mavericks,4,2,5,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-1,1,1,20161028,DAL,HOU
Shot Chart Detail,0021600041,32,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,8,23,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,16,1,1,20161030,HOU,DAL
Shot Chart Detail,0021600041,39,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,7,48,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-1,75,1,1,20161030,HOU,DAL
Shot Chart Detail,0021600041,105,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,2,30,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,159,115,1,1,20161030,HOU,DAL
Shot Chart Detail,0021600062,29,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,9,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-153,105,1,1,20161102,UTA,DAL
Shot Chart Detail,0021600062,60,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,6,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-192,77,1,1,20161102,UTA,DAL
Shot Chart Detail,0021600062,83,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,3,3,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,31,1,1,20161102,UTA,DAL
Shot Chart Detail,0021600062,315,203084,Harrison Barnes,1610612742,Dallas Mavericks,3,3,59,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-40,169,1,1,20161102,UTA,DAL
Shot Chart Detail,0021600062,317,203084,Harrison Barnes,1610612742,Dallas Mavericks,3,3,22,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-129,11,1,1,20161102,UTA,DAL
Shot Chart Detail,0021600062,337,203084,Harrison Barnes,1610612742,Dallas Mavericks,3,1,10,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-99,0,1,1,20161102,UTA,DAL
Shot Chart Detail,0021600076,23,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,9,45,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-9,41,1,1,20161104,DAL,POR
Shot Chart Detail,0021600076,110,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,1,33,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161104,DAL,POR
Shot Chart Detail,0021600076,229,203084,Harrison Barnes,1610612742,Dallas Mavericks,2,5,36,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,7,1,1,20161104,DAL,POR
Shot Chart Detail,0021600076,246,203084,Harrison Barnes,1610612742,Dallas Mavericks,2,4,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-153,193,1,1,20161104,DAL,POR
Shot Chart Detail,0021600076,271,203084,Harrison Barnes,1610612742,Dallas Mavericks,2,1,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,11,1,1,20161104,DAL,POR
Shot Chart Detail,0021600076,314,203084,Harrison Barnes,1610612742,Dallas Mavericks,3,9,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,153,126,1,1,20161104,DAL,POR
Shot Chart Detail,0021600076,480,203084,Harrison Barnes,1610612742,Dallas Mavericks,4,6,32,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,63,52,1,1,20161104,DAL,POR
Shot Chart Detail,0021600076,520,203084,Harrison Barnes,1610612742,Dallas Mavericks,4,3,7,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-1,1,1,20161104,DAL,POR
Shot Chart Detail,0021600090,94,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,1,37,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,7,1,1,20161106,DAL,MIL
Shot Chart Detail,0021600090,125,203084,Harrison Barnes,1610612742,Dallas Mavericks,2,10,40,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,1,20161106,DAL,MIL
Shot Chart Detail,0021600090,158,203084,Harrison Barnes,1610612742,Dallas Mavericks,2,7,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,48,247,1,1,20161106,DAL,MIL
Shot Chart Detail,0021600090,195,203084,Harrison Barnes,1610612742,Dallas Mavericks,2,3,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,51,193,1,1,20161106,DAL,MIL
Shot Chart Detail,0021600090,197,203084,Harrison Barnes,1610612742,Dallas Mavericks,2,3,30,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-48,13,1,1,20161106,DAL,MIL
Shot Chart Detail,0021600090,218,203084,Harrison Barnes,1610612742,Dallas Mavericks,2,1,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,120,144,1,1,20161106,DAL,MIL
Shot Chart Detail,0021600090,246,203084,Harrison Barnes,1610612742,Dallas Mavericks,3,11,43,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-1,62,1,1,20161106,DAL,MIL
Shot Chart Detail,0021600090,346,203084,Harrison Barnes,1610612742,Dallas Mavericks,3,1,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-129,110,1,1,20161106,DAL,MIL
Shot Chart Detail,0021600090,404,203084,Harrison Barnes,1610612742,Dallas Mavericks,4,8,41,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,26,1,1,20161106,DAL,MIL
Shot Chart Detail,0021600090,465,203084,Harrison Barnes,1610612742,Dallas Mavericks,4,2,43,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,43,178,1,1,20161106,DAL,MIL
Shot Chart Detail,0021600090,467,203084,Harrison Barnes,1610612742,Dallas Mavericks,4,2,8,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-1,1,1,20161106,DAL,MIL
Shot Chart Detail,0021600090,496,203084,Harrison Barnes,1610612742,Dallas Mavericks,4,0,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,7,1,1,20161106,DAL,MIL
Shot Chart Detail,0021600090,508,203084,Harrison Barnes,1610612742,Dallas Mavericks,5,4,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,182,77,1,1,20161106,DAL,MIL
Shot Chart Detail,0021600104,27,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,8,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,183,28,1,1,20161108,LAL,DAL
Shot Chart Detail,0021600104,36,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,6,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,160,52,1,1,20161108,LAL,DAL
Shot Chart Detail,0021600104,61,203084,Harrison Barnes,1610612742,Dallas Mavericks,1,4,31,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-166,36,1,1,20161108,LAL,DAL
