GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600004,5,202355,Hassan Whiteside,1610612748,Miami Heat,1,11,38,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600004,8,202355,Hassan Whiteside,1610612748,Miami Heat,1,11,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,8,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600004,225,202355,Hassan Whiteside,1610612748,Miami Heat,2,5,36,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600004,270,202355,Hassan Whiteside,1610612748,Miami Heat,2,2,25,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,55,41,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600004,353,202355,Hassan Whiteside,1610612748,Miami Heat,3,6,54,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600004,392,202355,Hassan Whiteside,1610612748,Miami Heat,3,4,18,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600004,413,202355,Hassan Whiteside,1610612748,Miami Heat,3,2,18,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,0,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600004,416,202355,Hassan Whiteside,1610612748,Miami Heat,3,1,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,11,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600004,574,202355,Hassan Whiteside,1610612748,Miami Heat,4,0,29,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,ORL,MIA
Shot Chart Detail,0021600022,11,202355,Hassan Whiteside,1610612748,Miami Heat,1,11,2,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,23,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600022,48,202355,Hassan Whiteside,1610612748,Miami Heat,1,7,14,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,20,80,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600022,86,202355,Hassan Whiteside,1610612748,Miami Heat,1,3,49,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-89,28,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600022,100,202355,Hassan Whiteside,1610612748,Miami Heat,1,2,24,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,11,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600022,255,202355,Hassan Whiteside,1610612748,Miami Heat,2,2,54,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,48,46,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600022,309,202355,Hassan Whiteside,1610612748,Miami Heat,3,10,51,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600022,322,202355,Hassan Whiteside,1610612748,Miami Heat,3,9,40,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,9,82,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600022,549,202355,Hassan Whiteside,1610612748,Miami Heat,4,1,4,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161028,MIA,CHA
Shot Chart Detail,0021600037,35,202355,Hassan Whiteside,1610612748,Miami Heat,1,7,14,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161030,MIA,SAS
Shot Chart Detail,0021600037,62,202355,Hassan Whiteside,1610612748,Miami Heat,1,4,34,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161030,MIA,SAS
Shot Chart Detail,0021600037,75,202355,Hassan Whiteside,1610612748,Miami Heat,1,3,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,1,20161030,MIA,SAS
Shot Chart Detail,0021600037,240,202355,Hassan Whiteside,1610612748,Miami Heat,2,2,11,Made Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,33,28,1,1,20161030,MIA,SAS
