GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600005,63,201952,Jeff Teague,1610612754,Indiana Pacers,1,5,24,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,18,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,221,201952,Jeff Teague,1610612754,Indiana Pacers,2,4,24,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-148,72,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,366,201952,Jeff Teague,1610612754,Indiana Pacers,3,4,31,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,454,201952,Jeff Teague,1610612754,Indiana Pacers,4,9,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,28,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,492,201952,Jeff Teague,1610612754,Indiana Pacers,4,6,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,2,1,1,20161026,IND,DAL
Shot Chart Detail,0021600019,161,201952,Jeff Teague,1610612754,Indiana Pacers,2,9,24,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,117,61,1,1,20161028,BKN,IND
Shot Chart Detail,0021600019,277,201952,Jeff Teague,1610612754,Indiana Pacers,3,10,35,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-84,36,1,1,20161028,BKN,IND
Shot Chart Detail,0021600048,233,201952,Jeff Teague,1610612754,Indiana Pacers,2,3,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-4,160,1,1,20161101,IND,LAL
Shot Chart Detail,0021600048,237,201952,Jeff Teague,1610612754,Indiana Pacers,2,3,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-174,198,1,1,20161101,IND,LAL
Shot Chart Detail,0021600048,352,201952,Jeff Teague,1610612754,Indiana Pacers,3,6,19,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-74,21,1,1,20161101,IND,LAL
Shot Chart Detail,0021600048,493,201952,Jeff Teague,1610612754,Indiana Pacers,4,6,0,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,32,116,1,1,20161101,IND,LAL
Shot Chart Detail,0021600066,3,201952,Jeff Teague,1610612754,Indiana Pacers,1,11,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-125,234,1,1,20161103,MIL,IND
Shot Chart Detail,0021600066,52,201952,Jeff Teague,1610612754,Indiana Pacers,1,4,56,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,11,1,1,20161103,MIL,IND
Shot Chart Detail,0021600066,176,201952,Jeff Teague,1610612754,Indiana Pacers,2,7,1,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,-6,1,1,20161103,MIL,IND
Shot Chart Detail,0021600066,368,201952,Jeff Teague,1610612754,Indiana Pacers,3,4,11,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161103,MIL,IND
Shot Chart Detail,0021600083,20,201952,Jeff Teague,1610612754,Indiana Pacers,1,9,7,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-179,110,1,1,20161105,IND,CHI
Shot Chart Detail,0021600083,76,201952,Jeff Teague,1610612754,Indiana Pacers,1,2,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,91,237,1,1,20161105,IND,CHI
Shot Chart Detail,0021600083,205,201952,Jeff Teague,1610612754,Indiana Pacers,2,4,25,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-142,52,1,1,20161105,IND,CHI
Shot Chart Detail,0021600083,286,201952,Jeff Teague,1610612754,Indiana Pacers,3,8,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-115,144,1,1,20161105,IND,CHI
Shot Chart Detail,0021600083,307,201952,Jeff Teague,1610612754,Indiana Pacers,3,4,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,11,1,1,20161105,IND,CHI
Shot Chart Detail,0021600083,334,201952,Jeff Teague,1610612754,Indiana Pacers,3,1,55,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,38,23,1,1,20161105,IND,CHI
