GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600005,2,1626167,Myles Turner,1610612754,Indiana Pacers,1,11,46,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,21,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,194,1626167,Myles Turner,1610612754,Indiana Pacers,2,6,8,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-14,62,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,207,1626167,Myles Turner,1610612754,Indiana Pacers,2,5,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,128,149,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,259,1626167,Myles Turner,1610612754,Indiana Pacers,2,1,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,2,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,262,1626167,Myles Turner,1610612754,Indiana Pacers,2,0,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,21,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,264,1626167,Myles Turner,1610612754,Indiana Pacers,2,0,10,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,8,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,277,1626167,Myles Turner,1610612754,Indiana Pacers,3,10,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,21,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,357,1626167,Myles Turner,1610612754,Indiana Pacers,3,5,26,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,360,1626167,Myles Turner,1610612754,Indiana Pacers,3,4,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,128,129,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,522,1626167,Myles Turner,1610612754,Indiana Pacers,4,3,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,6,188,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,534,1626167,Myles Turner,1610612754,Indiana Pacers,4,1,21,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,104,151,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,601,1626167,Myles Turner,1610612754,Indiana Pacers,5,1,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,191,156,1,1,20161026,IND,DAL
Shot Chart Detail,0021600005,608,1626167,Myles Turner,1610612754,Indiana Pacers,5,0,34,Made Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,9,41,1,1,20161026,IND,DAL
Shot Chart Detail,0021600019,10,1626167,Myles Turner,1610612754,Indiana Pacers,1,10,40,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-1,1,1,20161028,BKN,IND
Shot Chart Detail,0021600019,20,1626167,Myles Turner,1610612754,Indiana Pacers,1,9,51,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,3,1,1,20161028,BKN,IND
Shot Chart Detail,0021600019,249,1626167,Myles Turner,1610612754,Indiana Pacers,2,1,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,100,161,1,1,20161028,BKN,IND
Shot Chart Detail,0021600019,259,1626167,Myles Turner,1610612754,Indiana Pacers,2,0,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,30,0,1,1,20161028,BKN,IND
Shot Chart Detail,0021600019,295,1626167,Myles Turner,1610612754,Indiana Pacers,3,8,32,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161028,BKN,IND
Shot Chart Detail,0021600030,16,1626167,Myles Turner,1610612754,Indiana Pacers,1,10,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-160,149,1,1,20161029,CHI,IND
Shot Chart Detail,0021600030,30,1626167,Myles Turner,1610612754,Indiana Pacers,1,8,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,1,20161029,CHI,IND
Shot Chart Detail,0021600030,171,1626167,Myles Turner,1610612754,Indiana Pacers,2,4,45,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-7,101,1,1,20161029,CHI,IND
Shot Chart Detail,0021600030,178,1626167,Myles Turner,1610612754,Indiana Pacers,2,3,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,7,1,1,20161029,CHI,IND
Shot Chart Detail,0021600030,193,1626167,Myles Turner,1610612754,Indiana Pacers,2,1,37,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,8,1,1,20161029,CHI,IND
Shot Chart Detail,0021600030,211,1626167,Myles Turner,1610612754,Indiana Pacers,3,11,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-2,188,1,1,20161029,CHI,IND
Shot Chart Detail,0021600030,248,1626167,Myles Turner,1610612754,Indiana Pacers,3,7,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,168,0,1,1,20161029,CHI,IND
Shot Chart Detail,0021600030,284,1626167,Myles Turner,1610612754,Indiana Pacers,3,4,14,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161029,CHI,IND
Shot Chart Detail,0021600048,230,1626167,Myles Turner,1610612754,Indiana Pacers,2,4,20,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,8,1,1,20161101,IND,LAL
