GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021700009,7,203471,Dennis Schröder,1610612737,Atlanta Hawks,1,11,44,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-149,107,1,1,20171018,DAL,ATL
Shot Chart Detail,0021700009,23,203471,Dennis Schröder,1610612737,Atlanta Hawks,1,9,45,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,95,99,1,1,20171018,DAL,ATL
Shot Chart Detail,0021700009,72,203471,Dennis Schröder,1610612737,Atlanta Hawks,1,5,16,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,71,172,1,1,20171018,DAL,ATL
Shot Chart Detail,0021700009,153,203471,Dennis Schröder,1610612737,Atlanta Hawks,2,11,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20171018,DAL,ATL
Shot Chart Detail,0021700009,190,203471,Dennis Schröder,1610612737,Atlanta Hawks,2,9,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-84,244,1,1,20171018,DAL,ATL
Shot Chart Detail,0021700009,234,203471,Dennis Schröder,1610612737,Atlanta Hawks,2,6,54,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,6,42,1,1,20171018,DAL,ATL
Shot Chart Detail,0021700009,329,203471,Dennis Schröder,1610612737,Atlanta Hawks,2,0,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,13,1,1,20171018,DAL,ATL
Shot Chart Detail,0021700009,361,203471,Dennis Schröder,1610612737,Atlanta Hawks,3,10,13,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-38,87,1,1,20171018,DAL,ATL
Shot Chart Detail,0021700009,540,203471,Dennis Schröder,1610612737,Atlanta Hawks,4,8,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,17,1,1,20171018,DAL,ATL
Shot Chart Detail,0021700009,554,203471,Dennis Schröder,1610612737,Atlanta Hawks,4,7,23,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,9,1,1,20171018,DAL,ATL
Shot Chart Detail,0021700009,568,203471,Dennis Schröder,1610612737,Atlanta Hawks,4,5,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,-2,1,1,20171018,DAL,ATL
Shot Chart Detail,0021700009,597,203471,Dennis Schröder,1610612737,Atlanta Hawks,4,3,4,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-139,94,1,1,20171018,DAL,ATL
Shot Chart Detail,0021700009,612,203471,Dennis Schröder,1610612737,Atlanta Hawks,4,2,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-5,1,1,20171018,DAL,ATL
Shot Chart Detail,0021700017,8,203471,Dennis Schröder,1610612737,Atlanta Hawks,1,11,29,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,11,155,1,1,20171020,CHA,ATL
Shot Chart Detail,0021700017,86,203471,Dennis Schröder,1610612737,Atlanta Hawks,1,5,41,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,16,84,1,1,20171020,CHA,ATL
Shot Chart Detail,0021700017,221,203471,Dennis Schröder,1610612737,Atlanta Hawks,2,8,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,129,113,1,1,20171020,CHA,ATL
Shot Chart Detail,0021700017,262,203471,Dennis Schröder,1610612737,Atlanta Hawks,2,5,29,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,42,115,1,1,20171020,CHA,ATL
Shot Chart Detail,0021700017,378,203471,Dennis Schröder,1610612737,Atlanta Hawks,3,9,52,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,32,98,1,1,20171020,CHA,ATL
Shot Chart Detail,0021700017,420,203471,Dennis Schröder,1610612737,Atlanta Hawks,3,7,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-131,10,1,1,20171020,CHA,ATL
Shot Chart Detail,0021700017,524,203471,Dennis Schröder,1610612737,Atlanta Hawks,3,0,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,4,1,1,20171020,CHA,ATL
