GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021700008,73,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,6,19,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20171018,MEM,NOP
Shot Chart Detail,0021700008,228,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,9,11,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,14,1,1,20171018,MEM,NOP
Shot Chart Detail,0021700008,267,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,6,0,Made Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,1,20171018,MEM,NOP
Shot Chart Detail,0021700008,380,201188,Marc Gasol,1610612763,Memphis Grizzlies,3,10,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-61,257,1,1,20171018,MEM,NOP
Shot Chart Detail,0021700008,458,201188,Marc Gasol,1610612763,Memphis Grizzlies,3,4,55,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,11,1,1,20171018,MEM,NOP
Shot Chart Detail,0021700008,573,201188,Marc Gasol,1610612763,Memphis Grizzlies,4,9,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-5,273,1,1,20171018,MEM,NOP
Shot Chart Detail,0021700033,92,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,4,43,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-8,66,1,1,20171021,MEM,GSW
Shot Chart Detail,0021700033,113,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,3,58,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-2,69,1,1,20171021,MEM,GSW
Shot Chart Detail,0021700033,239,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,7,18,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,139,57,1,1,20171021,MEM,GSW
Shot Chart Detail,0021700033,255,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,6,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-29,248,1,1,20171021,MEM,GSW
Shot Chart Detail,0021700033,428,201188,Marc Gasol,1610612763,Memphis Grizzlies,3,7,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-51,254,1,1,20171021,MEM,GSW
Shot Chart Detail,0021700033,590,201188,Marc Gasol,1610612763,Memphis Grizzlies,4,8,8,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-2,47,1,1,20171021,MEM,GSW
Shot Chart Detail,0021700033,616,201188,Marc Gasol,1610612763,Memphis Grizzlies,4,5,41,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,49,89,1,1,20171021,MEM,GSW
Shot Chart Detail,0021700033,671,201188,Marc Gasol,1610612763,Memphis Grizzlies,4,1,15,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,-69,102,1,1,20171021,MEM,GSW
Shot Chart Detail,0021700043,7,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,11,41,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,6,1,1,20171023,HOU,MEM
Shot Chart Detail,0021700043,21,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,10,3,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,6,1,1,20171023,HOU,MEM
Shot Chart Detail,0021700043,63,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,6,16,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,15,1,1,20171023,HOU,MEM
Shot Chart Detail,0021700043,93,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,4,17,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,20,1,1,20171023,HOU,MEM
Shot Chart Detail,0021700043,291,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,2,48,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-139,17,1,1,20171023,HOU,MEM
Shot Chart Detail,0021700043,306,201188,Marc Gasol,1610612763,Memphis Grizzlies,2,0,59,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20171023,HOU,MEM
Shot Chart Detail,0021700043,532,201188,Marc Gasol,1610612763,Memphis Grizzlies,4,7,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,34,1,1,20171023,HOU,MEM
Shot Chart Detail,0021700043,553,201188,Marc Gasol,1610612763,Memphis Grizzlies,4,5,29,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-134,59,1,1,20171023,HOU,MEM
Shot Chart Detail,0021700061,27,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,9,10,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-69,41,1,1,20171025,DAL,MEM
Shot Chart Detail,0021700061,91,201188,Marc Gasol,1610612763,Memphis Grizzlies,1,4,33,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20171025,DAL,MEM
