GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021800004,82,203083,Andre Drummond,1610612765,Detroit Pistons,1,5,29,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,8,20,1,1,20181017,DET,BKN
Shot Chart Detail,0021800004,108,203083,Andre Drummond,1610612765,Detroit Pistons,1,3,46,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181017,DET,BKN
Shot Chart Detail,0021800004,302,203083,Andre Drummond,1610612765,Detroit Pistons,2,1,51,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,14,1,1,20181017,DET,BKN
Shot Chart Detail,0021800004,338,203083,Andre Drummond,1610612765,Detroit Pistons,3,11,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,10,1,1,20181017,DET,BKN
Shot Chart Detail,0021800004,366,203083,Andre Drummond,1610612765,Detroit Pistons,3,9,10,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-25,34,1,1,20181017,DET,BKN
Shot Chart Detail,0021800004,369,203083,Andre Drummond,1610612765,Detroit Pistons,3,8,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-28,13,1,1,20181017,DET,BKN
Shot Chart Detail,0021800004,529,203083,Andre Drummond,1610612765,Detroit Pistons,4,11,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-30,281,1,1,20181017,DET,BKN
Shot Chart Detail,0021800004,613,203083,Andre Drummond,1610612765,Detroit Pistons,4,4,6,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,30,101,1,1,20181017,DET,BKN
Shot Chart Detail,0021800004,619,203083,Andre Drummond,1610612765,Detroit Pistons,4,3,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,17,1,1,20181017,DET,BKN
Shot Chart Detail,0021800004,634,203083,Andre Drummond,1610612765,Detroit Pistons,4,2,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,23,1,1,20181017,DET,BKN
Shot Chart Detail,0021800031,86,203083,Andre Drummond,1610612765,Detroit Pistons,1,5,38,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20181020,CHI,DET
Shot Chart Detail,0021800031,268,203083,Andre Drummond,1610612765,Detroit Pistons,2,6,21,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,10,1,1,20181020,CHI,DET
Shot Chart Detail,0021800031,389,203083,Andre Drummond,1610612765,Detroit Pistons,3,11,26,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181020,CHI,DET
Shot Chart Detail,0021800031,393,203083,Andre Drummond,1610612765,Detroit Pistons,3,10,49,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,9,1,1,20181020,CHI,DET
Shot Chart Detail,0021800031,644,203083,Andre Drummond,1610612765,Detroit Pistons,4,2,17,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,15,1,1,20181020,CHI,DET
Shot Chart Detail,0021800049,199,203083,Andre Drummond,1610612765,Detroit Pistons,2,11,25,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,17,1,1,20181023,DET,PHI
Shot Chart Detail,0021800049,319,203083,Andre Drummond,1610612765,Detroit Pistons,2,3,20,Made Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-36,23,1,1,20181023,DET,PHI
Shot Chart Detail,0021800049,403,203083,Andre Drummond,1610612765,Detroit Pistons,3,8,51,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,10,1,1,20181023,DET,PHI
Shot Chart Detail,0021800049,407,203083,Andre Drummond,1610612765,Detroit Pistons,3,8,12,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-14,63,1,1,20181023,DET,PHI
Shot Chart Detail,0021800049,636,203083,Andre Drummond,1610612765,Detroit Pistons,4,5,20,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,11,1,1,20181023,DET,PHI
Shot Chart Detail,0021800049,659,203083,Andre Drummond,1610612765,Detroit Pistons,4,3,42,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,8,1,1,20181023,DET,PHI
Shot Chart Detail,0021800063,64,203083,Andre Drummond,1610612765,Detroit Pistons,1,6,36,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,8,1,1,20181025,DET,CLE
Shot Chart Detail,0021800063,188,203083,Andre Drummond,1610612765,Detroit Pistons,2,9,23,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,10,1,1,20181025,DET,CLE
Shot Chart Detail,0021800063,192,203083,Andre Drummond,1610612765,Detroit Pistons,2,9,1,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,0,1,1,20181025,DET,CLE
Shot Chart Detail,0021800063,197,203083,Andre Drummond,1610612765,Detroit Pistons,2,8,28,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,17,1,1,20181025,DET,CLE
Shot Chart Detail,0021800063,281,203083,Andre Drummond,1610612765,Detroit Pistons,2,0,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,0,1,1,20181025,DET,CLE
Shot Chart Detail,0021800063,295,203083,Andre Drummond,1610612765,Detroit Pistons,2,0,20,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,7,1,1,20181025,DET,CLE
Shot Chart Detail,0021800063,337,203083,Andre Drummond,1610612765,Detroit Pistons,3,9,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,24,25,1,1,20181025,DET,CLE
Shot Chart Detail,0021800063,340,203083,Andre Drummond,1610612765,Detroit Pistons,3,9,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20181025,DET,CLE
Shot Chart Detail,0021800063,399,203083,Andre Drummond,1610612765,Detroit Pistons,3,4,26,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,52,17,1,1,20181025,DET,CLE
Shot Chart Detail,0021800063,559,203083,Andre Drummond,1610612765,Detroit Pistons,4,4,13,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,14,1,1,20181025,DET,CLE
Shot Chart Detail,0021800063,567,203083,Andre Drummond,1610612765,Detroit Pistons,4,3,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,16,1,1,20181025,DET,CLE
Shot Chart Detail,0021800074,7,203083,Andre Drummond,1610612765,Detroit Pistons,1,11,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-84,109,1,1,20181027,DET,BOS
Shot Chart Detail,0021800074,21,203083,Andre Drummond,1610612765,Detroit Pistons,1,10,5,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-1,57,1,1,20181027,DET,BOS
Shot Chart Detail,0021800074,318,203083,Andre Drummond,1610612765,Detroit Pistons,2,0,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,8,1,1,20181027,DET,BOS
Shot Chart Detail,0021800074,322,203083,Andre Drummond,1610612765,Detroit Pistons,2,0,24,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,20,1,1,20181027,DET,BOS
Shot Chart Detail,0021800074,364,203083,Andre Drummond,1610612765,Detroit Pistons,3,9,22,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181027,DET,BOS
Shot Chart Detail,0021800074,418,203083,Andre Drummond,1610612765,Detroit Pistons,3,5,57,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,51,24,1,1,20181027,DET,BOS
Shot Chart Detail,0021800074,425,203083,Andre Drummond,1610612765,Detroit Pistons,3,5,6,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-33,141,1,1,20181027,DET,BOS
Shot Chart Detail,0021800074,507,203083,Andre Drummond,1610612765,Detroit Pistons,4,11,40,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181027,DET,BOS
Shot Chart Detail,0021800099,11,203083,Andre Drummond,1610612765,Detroit Pistons,1,11,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,35,11,1,1,20181030,BOS,DET
Shot Chart Detail,0021800099,31,203083,Andre Drummond,1610612765,Detroit Pistons,1,9,24,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20181030,BOS,DET
Shot Chart Detail,0021800099,62,203083,Andre Drummond,1610612765,Detroit Pistons,1,6,57,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,13,1,1,20181030,BOS,DET
Shot Chart Detail,0021800099,83,203083,Andre Drummond,1610612765,Detroit Pistons,1,5,13,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,70,58,1,1,20181030,BOS,DET
Shot Chart Detail,0021800099,246,203083,Andre Drummond,1610612765,Detroit Pistons,2,6,42,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181030,BOS,DET
Shot Chart Detail,0021800099,276,203083,Andre Drummond,1610612765,Detroit Pistons,2,5,14,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,13,1,1,20181030,BOS,DET
Shot Chart Detail,0021800099,634,203083,Andre Drummond,1610612765,Detroit Pistons,4,4,53,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,-5,1,1,20181030,BOS,DET
Shot Chart Detail,0021800099,642,203083,Andre Drummond,1610612765,Detroit Pistons,4,4,22,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181030,BOS,DET
Shot Chart Detail,0021800104,36,203083,Andre Drummond,1610612765,Detroit Pistons,1,9,6,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,16,1,1,20181031,BKN,DET
Shot Chart Detail,0021800104,291,203083,Andre Drummond,1610612765,Detroit Pistons,2,5,41,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,8,1,1,20181031,BKN,DET
Shot Chart Detail,0021800104,323,203083,Andre Drummond,1610612765,Detroit Pistons,2,3,15,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181031,BKN,DET
Shot Chart Detail,0021800104,423,203083,Andre Drummond,1610612765,Detroit Pistons,3,8,58,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181031,BKN,DET
Shot Chart Detail,0021800104,438,203083,Andre Drummond,1610612765,Detroit Pistons,3,7,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,15,1,1,20181031,BKN,DET
Shot Chart Detail,0021800104,613,203083,Andre Drummond,1610612765,Detroit Pistons,4,8,14,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,15,1,1,20181031,BKN,DET
Shot Chart Detail,0021800104,646,203083,Andre Drummond,1610612765,Detroit Pistons,4,6,7,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181031,BKN,DET
Shot Chart Detail,0021800104,700,203083,Andre Drummond,1610612765,Detroit Pistons,4,2,22,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181031,BKN,DET
Shot Chart Detail,0021800125,420,203083,Andre Drummond,1610612765,Detroit Pistons,3,10,47,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-14,57,1,1,20181103,PHI,DET
Shot Chart Detail,0021800125,444,203083,Andre Drummond,1610612765,Detroit Pistons,3,9,1,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,-7,1,1,20181103,PHI,DET
Shot Chart Detail,0021800125,743,203083,Andre Drummond,1610612765,Detroit Pistons,4,1,37,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181103,PHI,DET
Shot Chart Detail,0021800140,45,203083,Andre Drummond,1610612765,Detroit Pistons,1,8,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,8,1,1,20181105,DET,MIA
Shot Chart Detail,0021800140,103,203083,Andre Drummond,1610612765,Detroit Pistons,1,4,58,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,6,1,1,20181105,DET,MIA
Shot Chart Detail,0021800140,125,203083,Andre Drummond,1610612765,Detroit Pistons,1,4,9,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,1,1,1,20181105,DET,MIA
Shot Chart Detail,0021800140,209,203083,Andre Drummond,1610612765,Detroit Pistons,2,10,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,0,1,1,20181105,DET,MIA
Shot Chart Detail,0021800140,236,203083,Andre Drummond,1610612765,Detroit Pistons,2,8,18,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181105,DET,MIA
Shot Chart Detail,0021800140,251,203083,Andre Drummond,1610612765,Detroit Pistons,2,7,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,10,1,1,20181105,DET,MIA
