GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021800008,188,203903,Jordan Clarkson,1610612739,Cleveland Cavaliers,2,10,46,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,88,1,1,1,20181017,TOR,CLE
Shot Chart Detail,0021800008,214,203903,Jordan Clarkson,1610612739,Cleveland Cavaliers,2,8,53,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,4,1,1,20181017,TOR,CLE
Shot Chart Detail,0021800008,229,203903,Jordan Clarkson,1610612739,Cleveland Cavaliers,2,7,56,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,229,6,1,1,20181017,TOR,CLE
Shot Chart Detail,0021800008,527,203903,Jordan Clarkson,1610612739,Cleveland Cavaliers,4,11,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,1,20181017,TOR,CLE
Shot Chart Detail,0021800008,530,203903,Jordan Clarkson,1610612739,Cleveland Cavaliers,4,11,2,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,139,120,1,1,20181017,TOR,CLE
Shot Chart Detail,0021800008,535,203903,Jordan Clarkson,1610612739,Cleveland Cavaliers,4,10,39,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-63,64,1,1,20181017,TOR,CLE
Shot Chart Detail,0021800008,553,203903,Jordan Clarkson,1610612739,Cleveland Cavaliers,4,9,30,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,31,133,1,1,20181017,TOR,CLE
Shot Chart Detail,0021800021,150,203903,Jordan Clarkson,1610612739,Cleveland Cavaliers,2,11,45,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,38,1,1,20181019,MIN,CLE
Shot Chart Detail,0021800021,164,203903,Jordan Clarkson,1610612739,Cleveland Cavaliers,2,10,40,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,136,25,1,1,20181019,MIN,CLE
Shot Chart Detail,0021800021,218,203903,Jordan Clarkson,1610612739,Cleveland Cavaliers,2,6,41,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-14,92,1,1,20181019,MIN,CLE
Shot Chart Detail,0021800021,246,203903,Jordan Clarkson,1610612739,Cleveland Cavaliers,2,4,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,5,1,1,20181019,MIN,CLE
Shot Chart Detail,0021800021,477,203903,Jordan Clarkson,1610612739,Cleveland Cavaliers,3,1,39,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-57,90,1,1,20181019,MIN,CLE
Shot Chart Detail,0021800021,528,203903,Jordan Clarkson,1610612739,Cleveland Cavaliers,4,10,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,20,1,1,20181019,MIN,CLE
