GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900001,339,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,1,51,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,16,1,1,20191022,TOR,NOP
Shot Chart Detail,0021900001,389,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,11,18,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,27,90,1,1,20191022,TOR,NOP
Shot Chart Detail,0021900001,401,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,10,20,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,22,1,1,20191022,TOR,NOP
Shot Chart Detail,0021900001,570,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,10,30,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,3,248,1,1,20191022,TOR,NOP
Shot Chart Detail,0021900001,703,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,2,3,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,4,1,1,20191022,TOR,NOP
Shot Chart Detail,0021900001,775,201950,Jrue Holiday,1610612740,New Orleans Pelicans,5,2,23,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,1,1,1,20191022,TOR,NOP
Shot Chart Detail,0021900021,65,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,6,38,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,22,1,1,20191025,NOP,DAL
Shot Chart Detail,0021900021,86,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,5,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-35,16,1,1,20191025,NOP,DAL
Shot Chart Detail,0021900067,11,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,11,24,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,226,69,1,1,20191031,NOP,DEN
Shot Chart Detail,0021900067,43,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,9,11,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,10,1,1,20191031,NOP,DEN
Shot Chart Detail,0021900067,47,201950,Jrue Holiday,1610612740,New Orleans Pelicans,1,8,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-90,243,1,1,20191031,NOP,DEN
Shot Chart Detail,0021900067,320,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,11,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-144,200,1,1,20191031,NOP,DEN
Shot Chart Detail,0021900067,353,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,8,32,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,223,63,1,1,20191031,NOP,DEN
Shot Chart Detail,0021900067,542,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,7,54,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,-21,1,1,20191031,NOP,DEN
Shot Chart Detail,0021900067,625,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,2,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,3,1,1,20191031,NOP,DEN
Shot Chart Detail,0021900077,260,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,7,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,16,1,1,20191102,OKC,NOP
Shot Chart Detail,0021900077,371,201950,Jrue Holiday,1610612740,New Orleans Pelicans,2,0,5,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,25,1,1,20191102,OKC,NOP
Shot Chart Detail,0021900077,395,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,10,31,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-221,-5,1,1,20191102,OKC,NOP
Shot Chart Detail,0021900077,400,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,9,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-65,247,1,1,20191102,OKC,NOP
Shot Chart Detail,0021900077,535,201950,Jrue Holiday,1610612740,New Orleans Pelicans,3,0,45,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-41,6,1,1,20191102,OKC,NOP
Shot Chart Detail,0021900077,672,201950,Jrue Holiday,1610612740,New Orleans Pelicans,4,4,25,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,22,1,1,20191102,OKC,NOP
