GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900002,7,2544,LeBron James,1610612747,Los Angeles Lakers,1,11,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,23,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900002,21,2544,LeBron James,1610612747,Los Angeles Lakers,1,10,5,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-144,41,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900002,187,2544,LeBron James,1610612747,Los Angeles Lakers,2,10,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,220,190,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900002,206,2544,LeBron James,1610612747,Los Angeles Lakers,2,9,2,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-16,71,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900002,214,2544,LeBron James,1610612747,Los Angeles Lakers,2,8,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,17,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900002,416,2544,LeBron James,1610612747,Los Angeles Lakers,3,7,9,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900002,548,2544,LeBron James,1610612747,Los Angeles Lakers,4,8,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,20,1,1,20191022,LAC,LAL
Shot Chart Detail,0021900025,19,2544,LeBron James,1610612747,Los Angeles Lakers,1,10,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-192,163,1,1,20191025,LAL,UTA
Shot Chart Detail,0021900025,30,2544,LeBron James,1610612747,Los Angeles Lakers,1,8,40,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-25,81,1,1,20191025,LAL,UTA
Shot Chart Detail,0021900025,178,2544,LeBron James,1610612747,Los Angeles Lakers,2,9,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,21,1,1,20191025,LAL,UTA
