GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900009,479,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,3,2,2,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,141,136,1,1,20191023,DAL,WAS
Shot Chart Detail,0021900009,545,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,4,9,35,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,61,80,1,1,20191023,DAL,WAS
Shot Chart Detail,0021900021,84,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,5,30,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,42,1,1,20191025,NOP,DAL
Shot Chart Detail,0021900021,321,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,2,0,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,120,222,1,1,20191025,NOP,DAL
Shot Chart Detail,0021900038,96,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,4,36,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,36,13,1,1,20191027,DAL,POR
Shot Chart Detail,0021900038,204,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,2,9,26,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,116,138,1,1,20191027,DAL,POR
Shot Chart Detail,0021900053,87,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,3,34,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,14,1,1,20191029,DEN,DAL
Shot Chart Detail,0021900053,151,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,2,11,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-128,117,1,1,20191029,DEN,DAL
Shot Chart Detail,0021900053,423,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,3,2,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-221,117,1,1,20191029,DEN,DAL
Shot Chart Detail,0021900053,464,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,4,11,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-84,254,1,1,20191029,DEN,DAL
Shot Chart Detail,0021900053,528,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,4,7,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-180,179,1,1,20191029,DEN,DAL
Shot Chart Detail,0021900074,111,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,5,28,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,7,1,1,20191101,DAL,LAL
Shot Chart Detail,0021900074,264,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,2,5,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,156,206,1,1,20191101,DAL,LAL
Shot Chart Detail,0021900074,504,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,3,0,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,170,232,1,1,20191101,DAL,LAL
Shot Chart Detail,0021900074,548,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,4,9,18,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,6,184,1,1,20191101,DAL,LAL
Shot Chart Detail,0021900089,127,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,0,37,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-128,218,1,1,20191103,CLE,DAL
Shot Chart Detail,0021900089,146,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,2,11,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-101,114,1,1,20191103,CLE,DAL
Shot Chart Detail,0021900089,450,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,3,3,13,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-236,-9,1,1,20191103,CLE,DAL
Shot Chart Detail,0021900089,509,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,4,11,29,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,12,1,1,20191103,CLE,DAL
Shot Chart Detail,0021900089,517,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,4,10,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,5,1,1,20191103,CLE,DAL
Shot Chart Detail,0021900109,175,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,0,20,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,1,1,1,20191106,DAL,ORL
Shot Chart Detail,0021900109,202,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,2,10,13,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,24,99,1,1,20191106,DAL,ORL
Shot Chart Detail,0021900109,431,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,3,6,8,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,1,173,1,1,20191106,DAL,ORL
Shot Chart Detail,0021900109,497,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,3,1,4,Made Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,229,71,1,1,20191106,DAL,ORL
Shot Chart Detail,0021900122,107,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,3,48,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,5,1,1,20191108,DAL,NYK
Shot Chart Detail,0021900122,160,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,1,1,23,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,37,44,1,1,20191108,DAL,NYK
Shot Chart Detail,0021900122,545,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,4,8,47,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,4,1,1,20191108,DAL,NYK
Shot Chart Detail,0021900122,648,203501,Tim Hardaway Jr.,1610612742,Dallas Mavericks,4,1,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,132,225,1,1,20191108,DAL,NYK
