GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900014,56,1629027,Trae Young,1610612737,Atlanta Hawks,1,7,6,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-38,20,1,1,20191024,DET,ATL
Shot Chart Detail,0021900014,80,1629027,Trae Young,1610612737,Atlanta Hawks,1,4,57,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,159,225,1,1,20191024,DET,ATL
Shot Chart Detail,0021900014,93,1629027,Trae Young,1610612737,Atlanta Hawks,1,4,34,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,12,74,103,1,1,20191024,DET,ATL
Shot Chart Detail,0021900014,100,1629027,Trae Young,1610612737,Atlanta Hawks,1,3,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-209,189,1,1,20191024,DET,ATL
Shot Chart Detail,0021900014,103,1629027,Trae Young,1610612737,Atlanta Hawks,1,3,8,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,-4,1,1,20191024,DET,ATL
Shot Chart Detail,0021900014,105,1629027,Trae Young,1610612737,Atlanta Hawks,1,2,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,31,94,305,1,1,20191024,DET,ATL
Shot Chart Detail,0021900014,219,1629027,Trae Young,1610612737,Atlanta Hawks,2,7,2,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,10,1,1,20191024,DET,ATL
Shot Chart Detail,0021900014,234,1629027,Trae Young,1610612737,Atlanta Hawks,2,5,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,32,202,253,1,1,20191024,DET,ATL
Shot Chart Detail,0021900014,258,1629027,Trae Young,1610612737,Atlanta Hawks,2,3,43,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,109,231,1,1,20191024,DET,ATL
Shot Chart Detail,0021900014,429,1629027,Trae Young,1610612737,Atlanta Hawks,3,4,56,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,34,2,343,1,1,20191024,DET,ATL
Shot Chart Detail,0021900014,651,1629027,Trae Young,1610612737,Atlanta Hawks,4,1,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,-1,1,1,20191024,DET,ATL
Shot Chart Detail,0021900028,7,1629027,Trae Young,1610612737,Atlanta Hawks,1,11,47,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,13,136,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,12,1629027,Trae Young,1610612737,Atlanta Hawks,1,11,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,5,183,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,38,1629027,Trae Young,1610612737,Atlanta Hawks,1,8,43,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-123,238,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,41,1629027,Trae Young,1610612737,Atlanta Hawks,1,8,15,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,28,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,190,1629027,Trae Young,1610612737,Atlanta Hawks,2,9,47,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-67,127,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,266,1629027,Trae Young,1610612737,Atlanta Hawks,2,4,45,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,321,1629027,Trae Young,1610612737,Atlanta Hawks,2,1,44,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,84,167,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,372,1629027,Trae Young,1610612737,Atlanta Hawks,3,11,1,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,51,130,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,377,1629027,Trae Young,1610612737,Atlanta Hawks,3,10,18,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,47,106,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,388,1629027,Trae Young,1610612737,Atlanta Hawks,3,9,36,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-85,241,1,1,20191026,ATL,ORL
Shot Chart Detail,0021900028,440,1629027,Trae Young,1610612737,Atlanta Hawks,3,5,56,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-79,205,1,1,20191026,ATL,ORL
