GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900003,298,203897,Zach LaVine,1610612741,Chicago Bulls,2,4,32,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,12,1,1,20191023,CHA,CHI
Shot Chart Detail,0021900003,383,203897,Zach LaVine,1610612741,Chicago Bulls,3,9,56,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,3,1,1,20191023,CHA,CHI
Shot Chart Detail,0021900003,396,203897,Zach LaVine,1610612741,Chicago Bulls,3,9,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,5,1,1,20191023,CHA,CHI
Shot Chart Detail,0021900003,464,203897,Zach LaVine,1610612741,Chicago Bulls,3,4,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,1,20191023,CHA,CHI
Shot Chart Detail,0021900003,593,203897,Zach LaVine,1610612741,Chicago Bulls,4,7,6,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,14,1,1,20191023,CHA,CHI
Shot Chart Detail,0021900003,605,203897,Zach LaVine,1610612741,Chicago Bulls,4,6,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,58,268,1,1,20191023,CHA,CHI
Shot Chart Detail,0021900003,706,203897,Zach LaVine,1610612741,Chicago Bulls,4,0,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,13,1,1,20191023,CHA,CHI
Shot Chart Detail,0021900020,27,203897,Zach LaVine,1610612741,Chicago Bulls,1,10,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-169,198,1,1,20191025,MEM,CHI
Shot Chart Detail,0021900020,43,203897,Zach LaVine,1610612741,Chicago Bulls,1,9,9,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,5,1,1,20191025,MEM,CHI
Shot Chart Detail,0021900020,104,203897,Zach LaVine,1610612741,Chicago Bulls,1,4,46,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,20,1,1,20191025,MEM,CHI
