GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100002,54,203952,Andrew Wiggins,1610612744,Golden State Warriors,1,8,5,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,17,1,1,20211019,LAL,GSW
Shot Chart Detail,0022100002,315,203952,Andrew Wiggins,1610612744,Golden State Warriors,2,3,25,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,15,1,1,20211019,LAL,GSW
Shot Chart Detail,0022100002,319,203952,Andrew Wiggins,1610612744,Golden State Warriors,2,3,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,11,1,1,20211019,LAL,GSW
Shot Chart Detail,0022100002,656,203952,Andrew Wiggins,1610612744,Golden State Warriors,4,4,29,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,29,1,1,20211019,LAL,GSW
Shot Chart Detail,0022100002,678,203952,Andrew Wiggins,1610612744,Golden State Warriors,4,2,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,227,148,1,1,20211019,LAL,GSW
Shot Chart Detail,0022100016,17,203952,Andrew Wiggins,1610612744,Golden State Warriors,1,10,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-174,177,1,1,20211021,GSW,LAC
Shot Chart Detail,0022100016,26,203952,Andrew Wiggins,1610612744,Golden State Warriors,1,9,46,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-221,11,1,1,20211021,GSW,LAC
Shot Chart Detail,0022100016,38,203952,Andrew Wiggins,1610612744,Golden State Warriors,1,8,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,76,239,1,1,20211021,GSW,LAC
Shot Chart Detail,0022100016,268,203952,Andrew Wiggins,1610612744,Golden State Warriors,2,4,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,26,1,1,20211021,GSW,LAC
Shot Chart Detail,0022100016,368,203952,Andrew Wiggins,1610612744,Golden State Warriors,3,11,14,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,4,1,1,20211021,GSW,LAC
