GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100013,66,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,6,31,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-38,75,1,1,20211020,POR,SAC
Shot Chart Detail,0022100013,149,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,1,6,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-16,68,1,1,20211020,POR,SAC
Shot Chart Detail,0022100013,176,203468,CJ McCollum,1610612757,Portland Trail Blazers,2,11,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,15,1,1,20211020,POR,SAC
Shot Chart Detail,0022100013,236,203468,CJ McCollum,1610612757,Portland Trail Blazers,2,7,46,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,18,1,1,20211020,POR,SAC
Shot Chart Detail,0022100013,247,203468,CJ McCollum,1610612757,Portland Trail Blazers,2,6,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-115,248,1,1,20211020,POR,SAC
Shot Chart Detail,0022100013,312,203468,CJ McCollum,1610612757,Portland Trail Blazers,2,2,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-152,252,1,1,20211020,POR,SAC
Shot Chart Detail,0022100013,392,203468,CJ McCollum,1610612757,Portland Trail Blazers,3,9,7,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-1,103,1,1,20211020,POR,SAC
Shot Chart Detail,0022100013,429,203468,CJ McCollum,1610612757,Portland Trail Blazers,3,6,18,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,22,173,1,1,20211020,POR,SAC
Shot Chart Detail,0022100013,441,203468,CJ McCollum,1610612757,Portland Trail Blazers,3,5,39,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,233,61,1,1,20211020,POR,SAC
Shot Chart Detail,0022100013,524,203468,CJ McCollum,1610612757,Portland Trail Blazers,4,10,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,120,264,1,1,20211020,POR,SAC
Shot Chart Detail,0022100013,539,203468,CJ McCollum,1610612757,Portland Trail Blazers,4,10,0,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-116,106,1,1,20211020,POR,SAC
Shot Chart Detail,0022100013,544,203468,CJ McCollum,1610612757,Portland Trail Blazers,4,9,27,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,15,1,1,20211020,POR,SAC
Shot Chart Detail,0022100013,606,203468,CJ McCollum,1610612757,Portland Trail Blazers,4,5,47,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,15,253,1,1,20211020,POR,SAC
Shot Chart Detail,0022100013,690,203468,CJ McCollum,1610612757,Portland Trail Blazers,4,0,15,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,40,72,1,1,20211020,POR,SAC
Shot Chart Detail,0022100033,9,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,11,40,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,32,1,1,20211023,POR,PHX
