GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100014,21,1629029,Luka Dončić,1610612742,Dallas Mavericks,1,10,10,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-71,164,1,1,20211021,ATL,DAL
Shot Chart Detail,0022100014,99,1629029,Luka Dončić,1610612742,Dallas Mavericks,1,4,33,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-154,200,1,1,20211021,ATL,DAL
Shot Chart Detail,0022100014,444,1629029,Luka Dončić,1610612742,Dallas Mavericks,3,3,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,26,1,1,20211021,ATL,DAL
Shot Chart Detail,0022100014,446,1629029,Luka Dončić,1610612742,Dallas Mavericks,3,2,50,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,28,70,1,1,20211021,ATL,DAL
Shot Chart Detail,0022100014,530,1629029,Luka Dončić,1610612742,Dallas Mavericks,4,9,17,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-142,148,1,1,20211021,ATL,DAL
Shot Chart Detail,0022100014,558,1629029,Luka Dončić,1610612742,Dallas Mavericks,4,7,0,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,2,265,1,1,20211021,ATL,DAL
Shot Chart Detail,0022100029,61,1629029,Luka Dončić,1610612742,Dallas Mavericks,1,5,45,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-21,64,1,1,20211023,TOR,DAL
Shot Chart Detail,0022100029,96,1629029,Luka Dončić,1610612742,Dallas Mavericks,1,3,33,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,7,84,1,1,20211023,TOR,DAL
Shot Chart Detail,0022100029,301,1629029,Luka Dončić,1610612742,Dallas Mavericks,2,3,55,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-23,99,1,1,20211023,TOR,DAL
Shot Chart Detail,0022100029,329,1629029,Luka Dončić,1610612742,Dallas Mavericks,2,1,43,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,98,31,1,1,20211023,TOR,DAL
Shot Chart Detail,0022100029,394,1629029,Luka Dončić,1610612742,Dallas Mavericks,3,9,46,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-3,1,1,20211023,TOR,DAL
Shot Chart Detail,0022100029,419,1629029,Luka Dončić,1610612742,Dallas Mavericks,3,6,6,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,6,1,1,20211023,TOR,DAL
Shot Chart Detail,0022100029,442,1629029,Luka Dončić,1610612742,Dallas Mavericks,3,5,15,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-184,216,1,1,20211023,TOR,DAL
Shot Chart Detail,0022100029,447,1629029,Luka Dončić,1610612742,Dallas Mavericks,3,4,41,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,0,151,1,1,20211023,TOR,DAL
Shot Chart Detail,0022100029,453,1629029,Luka Dončić,1610612742,Dallas Mavericks,3,4,11,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,32,-173,273,1,1,20211023,TOR,DAL
Shot Chart Detail,0022100029,597,1629029,Luka Dončić,1610612742,Dallas Mavericks,4,6,23,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-1,1,1,20211023,TOR,DAL
Shot Chart Detail,0022100029,639,1629029,Luka Dončić,1610612742,Dallas Mavericks,4,1,32,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,27,34,1,1,20211023,TOR,DAL
Shot Chart Detail,0022100052,49,1629029,Luka Dončić,1610612742,Dallas Mavericks,1,8,7,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,70,256,1,1,20211026,DAL,HOU
Shot Chart Detail,0022100052,116,1629029,Luka Dončić,1610612742,Dallas Mavericks,1,3,13,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-124,139,1,1,20211026,DAL,HOU
Shot Chart Detail,0022100052,263,1629029,Luka Dončić,1610612742,Dallas Mavericks,2,5,6,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,12,1,1,20211026,DAL,HOU
Shot Chart Detail,0022100052,335,1629029,Luka Dončić,1610612742,Dallas Mavericks,2,0,40,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-113,163,1,1,20211026,DAL,HOU
Shot Chart Detail,0022100052,355,1629029,Luka Dončić,1610612742,Dallas Mavericks,3,11,16,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-40,178,1,1,20211026,DAL,HOU
Shot Chart Detail,0022100052,368,1629029,Luka Dončić,1610612742,Dallas Mavericks,3,10,9,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-113,41,1,1,20211026,DAL,HOU
Shot Chart Detail,0022100052,437,1629029,Luka Dončić,1610612742,Dallas Mavericks,3,6,9,Made Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,5,1,1,20211026,DAL,HOU
Shot Chart Detail,0022100052,460,1629029,Luka Dončić,1610612742,Dallas Mavericks,3,4,10,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-20,73,1,1,20211026,DAL,HOU
Shot Chart Detail,0022100052,666,1629029,Luka Dončić,1610612742,Dallas Mavericks,4,2,17,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,8,1,1,20211026,DAL,HOU
Shot Chart Detail,0022100052,684,1629029,Luka Dončić,1610612742,Dallas Mavericks,4,0,52,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,1,20211026,DAL,HOU
Shot Chart Detail,0022100069,72,1629029,Luka Dončić,1610612742,Dallas Mavericks,1,6,33,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-42,28,1,1,20211028,DAL,SAS
Shot Chart Detail,0022100069,95,1629029,Luka Dončić,1610612742,Dallas Mavericks,1,4,35,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-37,111,1,1,20211028,DAL,SAS
Shot Chart Detail,0022100069,306,1629029,Luka Dončić,1610612742,Dallas Mavericks,2,0,23,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-55,275,1,1,20211028,DAL,SAS
Shot Chart Detail,0022100069,380,1629029,Luka Dončić,1610612742,Dallas Mavericks,3,6,39,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-48,3,1,1,20211028,DAL,SAS
Shot Chart Detail,0022100069,383,1629029,Luka Dončić,1610612742,Dallas Mavericks,3,6,16,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,48,119,1,1,20211028,DAL,SAS
