GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022100017,413,1626179,Terry Rozier,1610612766,Charlotte Hornets,3,5,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,10,1,1,20211022,CLE,CHA
Shot Chart Detail,0022100090,27,1626179,Terry Rozier,1610612766,Charlotte Hornets,1,9,22,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-4,1,1,20211031,CHA,POR
Shot Chart Detail,0022100090,48,1626179,Terry Rozier,1610612766,Charlotte Hornets,1,7,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,195,188,1,1,20211031,CHA,POR
Shot Chart Detail,0022100090,365,1626179,Terry Rozier,1610612766,Charlotte Hornets,3,9,3,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,53,1,1,20211031,CHA,POR
Shot Chart Detail,0022100090,392,1626179,Terry Rozier,1610612766,Charlotte Hornets,3,7,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-167,199,1,1,20211031,CHA,POR
Shot Chart Detail,0022100094,242,1626179,Terry Rozier,1610612766,Charlotte Hornets,2,7,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,21,1,1,20211101,CHA,CLE
Shot Chart Detail,0022100094,268,1626179,Terry Rozier,1610612766,Charlotte Hornets,2,6,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-201,163,1,1,20211101,CHA,CLE
Shot Chart Detail,0022100094,294,1626179,Terry Rozier,1610612766,Charlotte Hornets,2,5,0,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,34,44,1,1,20211101,CHA,CLE
Shot Chart Detail,0022100094,428,1626179,Terry Rozier,1610612766,Charlotte Hornets,3,9,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,22,1,1,20211101,CHA,CLE
Shot Chart Detail,0022100094,643,1626179,Terry Rozier,1610612766,Charlotte Hornets,4,6,16,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,8,1,1,20211101,CHA,CLE
Shot Chart Detail,0022100094,649,1626179,Terry Rozier,1610612766,Charlotte Hornets,4,5,25,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,-20,1,1,20211101,CHA,CLE
Shot Chart Detail,0022100094,664,1626179,Terry Rozier,1610612766,Charlotte Hornets,4,4,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-36,263,1,1,20211101,CHA,CLE
Shot Chart Detail,0022100094,687,1626179,Terry Rozier,1610612766,Charlotte Hornets,4,2,4,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-228,85,1,1,20211101,CHA,CLE
Shot Chart Detail,0022100094,717,1626179,Terry Rozier,1610612766,Charlotte Hornets,4,0,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,22,1,1,20211101,CHA,CLE
Shot Chart Detail,0022100117,345,1626179,Terry Rozier,1610612766,Charlotte Hornets,3,11,25,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,33,49,1,1,20211103,GSW,CHA
Shot Chart Detail,0022100117,531,1626179,Terry Rozier,1610612766,Charlotte Hornets,4,9,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,85,260,1,1,20211103,GSW,CHA
Shot Chart Detail,0022100132,40,1626179,Terry Rozier,1610612766,Charlotte Hornets,1,8,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,5,1,1,20211105,SAC,CHA
