GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022200003,44,1630532,Franz Wagner,1610612753,Orlando Magic,1,7,44,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,45,89,1,1,20221019,DET,ORL
Shot Chart Detail,0022200003,48,1630532,Franz Wagner,1610612753,Orlando Magic,1,7,30,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,6,1,1,20221019,DET,ORL
Shot Chart Detail,0022200003,148,1630532,Franz Wagner,1610612753,Orlando Magic,1,1,14,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,13,1,1,20221019,DET,ORL
Shot Chart Detail,0022200003,332,1630532,Franz Wagner,1610612753,Orlando Magic,2,0,1,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-129,237,1,1,20221019,DET,ORL
Shot Chart Detail,0022200003,377,1630532,Franz Wagner,1610612753,Orlando Magic,3,8,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-239,7,1,1,20221019,DET,ORL
Shot Chart Detail,0022200003,583,1630532,Franz Wagner,1610612753,Orlando Magic,4,5,17,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,104,26,1,1,20221019,DET,ORL
Shot Chart Detail,0022200003,626,1630532,Franz Wagner,1610612753,Orlando Magic,4,2,57,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,7,1,1,20221019,DET,ORL
Shot Chart Detail,0022200003,654,1630532,Franz Wagner,1610612753,Orlando Magic,4,0,50,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,2,1,1,20221019,DET,ORL
Shot Chart Detail,0022200020,50,1630532,Franz Wagner,1610612753,Orlando Magic,1,8,4,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,9,1,1,20221021,ATL,ORL
Shot Chart Detail,0022200020,90,1630532,Franz Wagner,1610612753,Orlando Magic,1,4,48,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,22,1,1,20221021,ATL,ORL
Shot Chart Detail,0022200020,239,1630532,Franz Wagner,1610612753,Orlando Magic,2,6,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-1,1,1,20221021,ATL,ORL
Shot Chart Detail,0022200020,625,1630532,Franz Wagner,1610612753,Orlando Magic,4,1,55,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,17,1,1,20221021,ATL,ORL
