GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022300008,7,1630595,Cade Cunningham,1610612765,Detroit Pistons,1,11,42,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-110,118,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,19,1630595,Cade Cunningham,1610612765,Detroit Pistons,1,10,25,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,56,121,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,56,1630595,Cade Cunningham,1610612765,Detroit Pistons,1,7,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-162,69,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,71,1630595,Cade Cunningham,1610612765,Detroit Pistons,1,7,2,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-81,155,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,256,1630595,Cade Cunningham,1610612765,Detroit Pistons,2,6,55,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,13,-70,111,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,588,1630595,Cade Cunningham,1610612765,Detroit Pistons,4,8,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-17,30,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,606,1630595,Cade Cunningham,1610612765,Detroit Pistons,4,6,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,112,236,1,1,20231110,DET,PHI
Shot Chart Detail,0022300008,616,1630595,Cade Cunningham,1610612765,Detroit Pistons,4,5,52,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,3,1,1,20231110,DET,PHI
Shot Chart Detail,0022300018,188,1630595,Cade Cunningham,1610612765,Detroit Pistons,2,9,57,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,11,37,1,1,20231114,DET,ATL
Shot Chart Detail,0022300018,425,1630595,Cade Cunningham,1610612765,Detroit Pistons,3,5,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,9,1,1,20231114,DET,ATL
Shot Chart Detail,0022300018,589,1630595,Cade Cunningham,1610612765,Detroit Pistons,4,6,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,202,188,1,1,20231114,DET,ATL
Shot Chart Detail,0022300018,608,1630595,Cade Cunningham,1610612765,Detroit Pistons,4,5,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,3,1,1,20231114,DET,ATL
Shot Chart Detail,0022300030,72,1630595,Cade Cunningham,1610612765,Detroit Pistons,1,5,52,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,5,1,1,20231117,CLE,DET
Shot Chart Detail,0022300030,80,1630595,Cade Cunningham,1610612765,Detroit Pistons,1,5,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-92,263,1,1,20231117,CLE,DET
Shot Chart Detail,0022300030,100,1630595,Cade Cunningham,1610612765,Detroit Pistons,1,4,8,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-26,174,1,1,20231117,CLE,DET
Shot Chart Detail,0022300030,174,1630595,Cade Cunningham,1610612765,Detroit Pistons,2,8,44,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,71,18,1,1,20231117,CLE,DET
Shot Chart Detail,0022300030,283,1630595,Cade Cunningham,1610612765,Detroit Pistons,2,0,54,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20231117,CLE,DET
Shot Chart Detail,0022300030,287,1630595,Cade Cunningham,1610612765,Detroit Pistons,2,0,39,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,5,1,1,20231117,CLE,DET
Shot Chart Detail,0022300030,314,1630595,Cade Cunningham,1610612765,Detroit Pistons,3,10,45,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,13,1,1,20231117,CLE,DET
Shot Chart Detail,0022300030,365,1630595,Cade Cunningham,1610612765,Detroit Pistons,3,6,53,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-142,220,1,1,20231117,CLE,DET
