GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022300027,117,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,4,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-138,46,1,1,20231117,CHA,MIL
Shot Chart Detail,0022300027,137,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,2,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,154,199,1,1,20231117,CHA,MIL
Shot Chart Detail,0022300027,152,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,1,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,123,166,1,1,20231117,CHA,MIL
Shot Chart Detail,0022300027,257,1628970,Miles Bridges,1610612766,Charlotte Hornets,2,4,41,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,24,1,1,20231117,CHA,MIL
Shot Chart Detail,0022300027,480,1628970,Miles Bridges,1610612766,Charlotte Hornets,4,11,40,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,26,1,1,20231117,CHA,MIL
Shot Chart Detail,0022300027,487,1628970,Miles Bridges,1610612766,Charlotte Hornets,4,11,12,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-13,74,1,1,20231117,CHA,MIL
Shot Chart Detail,0022300057,102,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,4,7,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,5,1,1,20231128,NYK,CHA
Shot Chart Detail,0022300057,143,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,0,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-45,242,1,1,20231128,NYK,CHA
Shot Chart Detail,0022300057,172,1628970,Miles Bridges,1610612766,Charlotte Hornets,2,9,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,2,202,1,1,20231128,NYK,CHA
Shot Chart Detail,0022300057,338,1628970,Miles Bridges,1610612766,Charlotte Hornets,3,9,20,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,16,1,1,20231128,NYK,CHA
Shot Chart Detail,0022300057,342,1628970,Miles Bridges,1610612766,Charlotte Hornets,3,8,59,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,191,172,1,1,20231128,NYK,CHA
Shot Chart Detail,0022300202,76,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,4,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,22,1,1,20231118,CHA,NYK
Shot Chart Detail,0022300202,302,1628970,Miles Bridges,1610612766,Charlotte Hornets,2,2,19,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,16,1,1,20231118,CHA,NYK
Shot Chart Detail,0022300202,307,1628970,Miles Bridges,1610612766,Charlotte Hornets,2,1,56,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,6,34,1,1,20231118,CHA,NYK
Shot Chart Detail,0022300202,400,1628970,Miles Bridges,1610612766,Charlotte Hornets,3,6,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,214,110,1,1,20231118,CHA,NYK
Shot Chart Detail,0022300202,432,1628970,Miles Bridges,1610612766,Charlotte Hornets,3,3,54,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,13,1,1,20231118,CHA,NYK
