GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022400002,146,1627736,Malik Beasley,1610612765,Detroit Pistons,1,1,26,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,28,1,1,20241112,DET,MIA
Shot Chart Detail,0022400002,187,1627736,Malik Beasley,1610612765,Detroit Pistons,2,11,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-88,151,1,1,20241112,DET,MIA
Shot Chart Detail,0022400002,191,1627736,Malik Beasley,1610612765,Detroit Pistons,2,10,44,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,130,226,1,1,20241112,DET,MIA
Shot Chart Detail,0022400002,449,1627736,Malik Beasley,1610612765,Detroit Pistons,3,2,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,178,222,1,1,20241112,DET,MIA
Shot Chart Detail,0022400002,472,1627736,Malik Beasley,1610612765,Detroit Pistons,3,1,0,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,35,1,1,20241112,DET,MIA
Shot Chart Detail,0022400002,513,1627736,Malik Beasley,1610612765,Detroit Pistons,4,9,57,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,17,1,1,20241112,DET,MIA
Shot Chart Detail,0022400002,682,1627736,Malik Beasley,1610612765,Detroit Pistons,5,0,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,197,200,1,1,20241112,DET,MIA
Shot Chart Detail,0022400011,7,1627736,Malik Beasley,1610612765,Detroit Pistons,1,11,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-93,157,1,1,20241115,TOR,DET
Shot Chart Detail,0022400011,60,1627736,Malik Beasley,1610612765,Detroit Pistons,1,7,11,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,64,45,1,1,20241115,TOR,DET
Shot Chart Detail,0022400011,227,1627736,Malik Beasley,1610612765,Detroit Pistons,2,7,29,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-180,177,1,1,20241115,TOR,DET
Shot Chart Detail,0022400011,381,1627736,Malik Beasley,1610612765,Detroit Pistons,3,10,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-141,232,1,1,20241115,TOR,DET
Shot Chart Detail,0022400011,514,1627736,Malik Beasley,1610612765,Detroit Pistons,3,1,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-13,265,1,1,20241115,TOR,DET
Shot Chart Detail,0022400011,540,1627736,Malik Beasley,1610612765,Detroit Pistons,4,11,45,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,230,85,1,1,20241115,TOR,DET
Shot Chart Detail,0022400011,550,1627736,Malik Beasley,1610612765,Detroit Pistons,4,10,52,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,16,1,1,20241115,TOR,DET
Shot Chart Detail,0022400011,571,1627736,Malik Beasley,1610612765,Detroit Pistons,4,9,9,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,109,47,1,1,20241115,TOR,DET
Shot Chart Detail,0022400045,117,1627736,Malik Beasley,1610612765,Detroit Pistons,1,2,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,102,248,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,132,1627736,Malik Beasley,1610612765,Detroit Pistons,1,1,39,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,35,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,272,1627736,Malik Beasley,1610612765,Detroit Pistons,2,3,32,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,31,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,284,1627736,Malik Beasley,1610612765,Detroit Pistons,2,2,50,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,24,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,309,1627736,Malik Beasley,1610612765,Detroit Pistons,2,1,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-224,150,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,389,1627736,Malik Beasley,1610612765,Detroit Pistons,3,5,46,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-131,43,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,438,1627736,Malik Beasley,1610612765,Detroit Pistons,3,1,53,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,29,75,1,1,20241129,IND,DET
Shot Chart Detail,0022400045,571,1627736,Malik Beasley,1610612765,Detroit Pistons,4,3,23,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,4,1,1,20241129,IND,DET
