City,Team,Conference,ConferenceRecord,Rank,W,L,Win%,Home,Road,Last10,Season,Year,FullTeamName,TEAM_ABBREVIATION
Chicago,Bulls,East,44-10,1,69,13,0.841,39-2,30-11,,1996-97,1997,Chicago Bulls,CHI
Utah,Jazz,West,41-11,1,64,18,0.78,38-3,26-15,,1996-97,1997,Utah Jazz,UTA
Miami,Heat,East,40-14,2,61,21,0.744,29-12,32-9,,1996-97,1997,Miami Heat,MIA
Houston,Rockets,West,40-12,2,57,25,0.695,30-11,27-14,,1996-97,1997,Houston Rockets,HOU
Seattle,SuperSonics,West,37-15,2,57,25,0.695,31-10,26-15,,1996-97,1997,Seattle SuperSonics,
New York,Knicks,East,38-16,3,57,25,0.695,31-10,26-15,,1996-97,1997,New York Knicks,NYK
Los Angeles,Lakers,West,37-15,4,56,26,0.683,31-10,25-16,,1996-97,1997,Los Angeles Lakers,LAL
Atlanta,Hawks,East,34-20,4,56,26,0.683,36-5,20-21,,1996-97,1997,Atlanta Hawks,ATL
Portland,Trail Blazers,West,36-16,5,49,33,0.598,29-12,20-21,,1996-97,1997,Portland Trail Blazers,POR
Detroit,Pistons,East,34-20,5,54,28,0.659,30-11,24-17,,1996-97,1997,Detroit Pistons,DET
Charlotte,Hornets,East,34-20,5,54,28,0.659,30-11,24-17,,1996-97,1997,Charlotte Hornets,CHA
Minnesota,Timberwolves,West,28-24,6,40,42,0.488,25-16,15-26,,1996-97,1997,Minnesota Timberwolves,MIN
Phoenix,Suns,West,27-25,6,40,42,0.488,25-16,15-26,,1996-97,1997,Phoenix Suns,PHX
Orlando,Magic,East,29-25,7,45,37,0.549,26-15,19-22,,1996-97,1997,Orlando Magic,ORL
Los Angeles,Clippers,West,26-26,8,36,46,0.439,21-20,15-26,,1996-97,1997,Los Angeles Clippers,LAC
Washington,Bullets,East,28-26,8,44,38,0.537,25-16,19-22,,1996-97,1997,Washington Bullets,
Cleveland,Cavaliers,East,26-28,9,42,40,0.512,25-16,17-24,,1996-97,1997,Cleveland Cavaliers,CLE
Sacramento,Kings,West,23-29,9,34,48,0.415,22-19,12-29,,1996-97,1997,Sacramento Kings,SAC
Golden State,Warriors,West,19-33,10,30,52,0.366,18-23,12-29,,1996-97,1997,Golden State Warriors,GSW
Indiana,Pacers,East,22-32,10,39,43,0.476,21-20,18-23,,1996-97,1997,Indiana Pacers,IND
Dallas,Mavericks,West,16-36,11,24,58,0.293,14-27,10-31,,1996-97,1997,Dallas Mavericks,DAL
Milwaukee,Bucks,East,22-32,11,33,49,0.402,20-21,13-28,,1996-97,1997,Milwaukee Bucks,MIL
Denver,Nuggets,West,13-39,12,21,61,0.256,12-29,9-32,,1996-97,1997,Denver Nuggets,DEN
Toronto,Raptors,East,16-38,12,30,52,0.366,18-23,12-29,,1996-97,1997,Toronto Raptors,TOR
New Jersey,Nets,East,16-38,13,26,56,0.317,16-25,10-31,,1996-97,1997,New Jersey Nets,
San Antonio,Spurs,West,12-40,13,20,62,0.244,12-29,8-33,,1996-97,1997,San Antonio Spurs,SAS
Vancouver,Grizzlies,West,9-43,14,14,68,0.171,8-33,6-35,,1996-97,1997,Vancouver Grizzlies,
Philadelphia,76ers,East,14-40,14,22,60,0.268,11-30,11-30,,1996-97,1997,Philadelphia 76ers,PHI
Boston,Celtics,East,8-46,15,15,67,0.183,11-30,4-37,,1996-97,1997,Boston Celtics,BOS
