RK,NAME,TEAM,SALARY,YEAR,Pos
1,Kobe Bryant,Los Angeles Lakers,23034375,2010,SF
2,Jermaine O'Neal,Miami Heat,23016000,2010,C
3,Tracy McGrady,New York Knicks,22843124,2010,SG
4,Tim Duncan,San Antonio Spurs,22183220,2010,C
5,Shaquille O'Neal,Cleveland Cavaliers,21000000,2010,C
6,Dirk Nowitzki,Dallas Mavericks,19795714,2010,F
7,Paul Pierce,Boston Celtics,19795712,2010,SF
8,Ray Allen,Boston Celtics,18776860,2010,SG
9,Rashard Lewis,Orlando Magic,18010791,2010,PF
10,Michael Redd,Milwaukee Bucks,17040000,2010,SG
11,Pau Gasol,Los Angeles Lakers,16452000,2010,PF
12,Andrei Kirilenko,Utah Jazz,16452000,2010,SF
13,Kevin Garnett,Boston Celtics,16417044,2010,PF
14,Amar'e Stoudemire,Phoenix Suns,16378325,2010,C
15,Yao Ming,Houston Rockets,16378325,2010,C
16,Gilbert Arenas,Washington Wizards,16192080,2010,PG
17,Vince Carter,Orlando Magic,16123250,2010,G
18,Zach Randolph,Memphis Grizzlies,16000000,2010,F
19,Kenyon Martin,Denver Nuggets,15852511,2010,F
20,Dwyane Wade,Miami Heat,15779912,2010,G
21,Chris Bosh,Toronto Raptors,15779912,2010,PF
22,Carmelo Anthony,Denver Nuggets,15779912,2010,PF
23,LeBron James,Cleveland Cavaliers,15779912,2010,SF
24,Dwight Howard,Orlando Magic,15202590,2010,C
25,Joe Johnson,Atlanta Hawks,14976754,2010,G
26,Elton Brand,Philadelphia 76ers,14858472,2010,PF
27,Richard Jefferson,San Antonio Spurs,14200000,2010,F
28,Chris Paul,New Orleans Hornets,13520500,2010,PG
29,Deron Williams,Utah Jazz,13520500,2010,PG
30,Peja Stojakovic,New Orleans Hornets,13392000,2010,SF
31,Jason Richardson,Phoenix Suns,13333332,2010,SG
32,Steve Nash,Phoenix Suns,13125000,2010,PG
33,Tony Parker,San Antonio Spurs,12600000,2010,G
34,Andrew Bynum,Los Angeles Lakers,12500000,2010,C
35,Carlos Boozer,Utah Jazz,12323900,2010,PF
36,Brad Miller,Chicago Bulls,12250000,2010,C
37,Andre Iguodala,Philadelphia 76ers,12200000,2010,F
38,Erick Dampier,Dallas Mavericks,12115500,2010,C
39,Baron Davis,LA Clippers,12100000,2010,PG
40,Chauncey Billups,Denver Nuggets,12100000,2010,PG
41,Samuel Dalembert,Philadelphia 76ers,12025694,2010,C
42,Al Jefferson,Minnesota Timberwolves,12000000,2010,C
43,Tyson Chandler,Charlotte Bobcats,11700000,2010,C
44,Antawn Jamison,Cleveland Cavaliers,11641095,2010,PF
45,Richard Hamilton,Detroit Pistons,11375000,2010,SG
46,Bobby Simmons,New Jersey Nets,11242666,2010,SF
47,Troy Murphy,Indiana Pacers,11047619,2010,PF
48,Monta Ellis,Golden State Warriors,11000000,2010,SG
49,Josh Howard,Washington Wizards,10890000,2010,SF
50,Josh Smith,Atlanta Hawks,10800000,2010,PF
51,Emeka Okafor,New Orleans Hornets,10797500,2010,C
52,Manu Ginobili,San Antonio Spurs,10728130,2010,G
53,Nene Hilario,Denver Nuggets,10520000,2010,C
54,Eddy Curry,New York Knicks,10500423,2010,NA
55,Chris Kaman,LA Clippers,10400000,2010,C
56,Luol Deng,Chicago Bulls,10365000,2010,F
57,Tayshaun Prince,Detroit Pistons,10324380,2010,SF
58,Danny Granger,Indiana Pacers,10130500,2010,SF
59,Al Harrington,New York Knicks,10026875,2010,PF
60,Andrew Bogut,Milwaukee Bucks,10000000,2010,C
61,Ben Gordon,Detroit Pistons,10000000,2010,SG
62,Mike Dunleavy,Indiana Pacers,9780992,2010,SG
63,Caron Butler,Dallas Mavericks,9780970,2010,SF
64,Mike Miller,Washington Wizards,9780937,2010,SG
65,Kevin Martin,Houston Rockets,9680170,2010,SG
66,Gerald Wallace,Charlotte Bobcats,9500000,2010,SF
67,Cuttino Mobley,LA Clippers,9500000,2010,SG
68,Kirk Hinrich,Chicago Bulls,9500000,2010,SG
69,Jamal Crawford,Atlanta Hawks,9360000,2010,G
70,Marcus Camby,Portland Trail Blazers,9150000,2010,C
71,Jason Terry,Dallas Mavericks,9075000,2010,G
72,David West,New Orleans Hornets,9075000,2010,F
73,Andris Biedrins,Golden State Warriors,9000000,2010,C
74,Boris Diaw,Charlotte Bobcats,9000000,2010,C
