GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020500009,2,1888,Richard Hamilton,1610612765,Detroit Pistons,1,11,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,130,30,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,14,1888,Richard Hamilton,1610612765,Detroit Pistons,1,10,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,30,1888,Richard Hamilton,1610612765,Detroit Pistons,1,8,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,47,1888,Richard Hamilton,1610612765,Detroit Pistons,1,6,27,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,112,1888,Richard Hamilton,1610612765,Detroit Pistons,2,11,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,132,1888,Richard Hamilton,1610612765,Detroit Pistons,2,9,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,164,1888,Richard Hamilton,1610612765,Detroit Pistons,2,6,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,222,1888,Richard Hamilton,1610612765,Detroit Pistons,2,1,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,136,49,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,251,1888,Richard Hamilton,1610612765,Detroit Pistons,3,9,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,176,86,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,351,1888,Richard Hamilton,1610612765,Detroit Pistons,4,9,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,115,125,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,357,1888,Richard Hamilton,1610612765,Detroit Pistons,4,8,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,364,1888,Richard Hamilton,1610612765,Detroit Pistons,4,7,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-200,-3,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,381,1888,Richard Hamilton,1610612765,Detroit Pistons,4,5,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,384,1888,Richard Hamilton,1610612765,Detroit Pistons,4,5,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,393,1888,Richard Hamilton,1610612765,Detroit Pistons,4,4,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-159,77,1,1,20051102,DET,PHI
Shot Chart Detail,0020500009,396,1888,Richard Hamilton,1610612765,Detroit Pistons,4,4,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,DET,PHI
Shot Chart Detail,0020500023,18,1888,Richard Hamilton,1610612765,Detroit Pistons,1,10,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-1,1,1,20051104,BOS,DET
Shot Chart Detail,0020500023,71,1888,Richard Hamilton,1610612765,Detroit Pistons,1,3,51,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,28,74,1,1,20051104,BOS,DET
Shot Chart Detail,0020500023,140,1888,Richard Hamilton,1610612765,Detroit Pistons,2,9,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,15,1,1,20051104,BOS,DET
Shot Chart Detail,0020500023,183,1888,Richard Hamilton,1610612765,Detroit Pistons,2,5,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,189,36,1,1,20051104,BOS,DET
Shot Chart Detail,0020500023,233,1888,Richard Hamilton,1610612765,Detroit Pistons,2,0,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,20,1,1,20051104,BOS,DET
Shot Chart Detail,0020500023,256,1888,Richard Hamilton,1610612765,Detroit Pistons,3,10,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,8,1,1,20051104,BOS,DET
Shot Chart Detail,0020500023,283,1888,Richard Hamilton,1610612765,Detroit Pistons,3,5,49,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,7,1,1,20051104,BOS,DET
Shot Chart Detail,0020500023,307,1888,Richard Hamilton,1610612765,Detroit Pistons,3,2,57,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-141,89,1,1,20051104,BOS,DET
Shot Chart Detail,0020500023,310,1888,Richard Hamilton,1610612765,Detroit Pistons,3,2,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-99,181,1,1,20051104,BOS,DET
Shot Chart Detail,0020500023,416,1888,Richard Hamilton,1610612765,Detroit Pistons,4,3,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,10,1,1,20051104,BOS,DET
Shot Chart Detail,0020500023,453,1888,Richard Hamilton,1610612765,Detroit Pistons,4,0,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,143,99,1,1,20051104,BOS,DET
Shot Chart Detail,0020500034,18,1888,Richard Hamilton,1610612765,Detroit Pistons,1,9,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-146,49,1,1,20051105,DET,TOR
Shot Chart Detail,0020500034,56,1888,Richard Hamilton,1610612765,Detroit Pistons,1,5,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,DET,TOR
Shot Chart Detail,0020500034,82,1888,Richard Hamilton,1610612765,Detroit Pistons,1,2,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,0,110,1,1,20051105,DET,TOR
Shot Chart Detail,0020500034,88,1888,Richard Hamilton,1610612765,Detroit Pistons,1,1,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,-3,1,1,20051105,DET,TOR
