GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020500005,49,1536,Stephen Jackson,1610612754,Indiana Pacers,1,4,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,ORL,IND
Shot Chart Detail,0020500005,255,1536,Stephen Jackson,1610612754,Indiana Pacers,3,7,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-85,135,1,1,20051102,ORL,IND
Shot Chart Detail,0020500005,414,1536,Stephen Jackson,1610612754,Indiana Pacers,4,3,13,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,ORL,IND
Shot Chart Detail,0020500018,9,1536,Stephen Jackson,1610612754,Indiana Pacers,1,10,43,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-245,41,1,1,20051103,MIA,IND
Shot Chart Detail,0020500018,86,1536,Stephen Jackson,1610612754,Indiana Pacers,1,2,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,138,168,1,1,20051103,MIA,IND
Shot Chart Detail,0020500018,468,1536,Stephen Jackson,1610612754,Indiana Pacers,4,5,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,148,118,1,1,20051103,MIA,IND
Shot Chart Detail,0020500035,36,1536,Stephen Jackson,1610612754,Indiana Pacers,1,7,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,189,15,1,1,20051105,IND,PHI
Shot Chart Detail,0020500035,43,1536,Stephen Jackson,1610612754,Indiana Pacers,1,6,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-3,1,1,20051105,IND,PHI
Shot Chart Detail,0020500035,343,1536,Stephen Jackson,1610612754,Indiana Pacers,4,11,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,156,206,1,1,20051105,IND,PHI
Shot Chart Detail,0020500035,409,1536,Stephen Jackson,1610612754,Indiana Pacers,4,4,5,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,5,1,1,20051105,IND,PHI
Shot Chart Detail,0020500035,423,1536,Stephen Jackson,1610612754,Indiana Pacers,4,2,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,82,233,1,1,20051105,IND,PHI
Shot Chart Detail,0020500035,432,1536,Stephen Jackson,1610612754,Indiana Pacers,4,1,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-102,220,1,1,20051105,IND,PHI
Shot Chart Detail,0020500035,472,1536,Stephen Jackson,1610612754,Indiana Pacers,4,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,215,143,1,1,20051105,IND,PHI
Shot Chart Detail,0020500062,8,1536,Stephen Jackson,1610612754,Indiana Pacers,1,10,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,18,1,1,20051109,IND,MIA
Shot Chart Detail,0020500062,77,1536,Stephen Jackson,1610612754,Indiana Pacers,1,3,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,15,1,1,20051109,IND,MIA
