GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020500013,2,2397,Yao Ming,1610612745,Houston Rockets,1,11,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,136,28,1,1,20051102,HOU,SAC
Shot Chart Detail,0020500013,4,2397,Yao Ming,1610612745,Houston Rockets,1,11,8,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,49,22,1,1,20051102,HOU,SAC
Shot Chart Detail,0020500013,126,2397,Yao Ming,1610612745,Houston Rockets,2,9,27,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,3,48,1,1,20051102,HOU,SAC
Shot Chart Detail,0020500013,130,2397,Yao Ming,1610612745,Houston Rockets,2,8,53,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,67,0,1,1,20051102,HOU,SAC
Shot Chart Detail,0020500013,144,2397,Yao Ming,1610612745,Houston Rockets,2,7,44,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,HOU,SAC
Shot Chart Detail,0020500013,240,2397,Yao Ming,1610612745,Houston Rockets,3,11,6,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,HOU,SAC
Shot Chart Detail,0020500013,255,2397,Yao Ming,1610612745,Houston Rockets,3,9,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051102,HOU,SAC
Shot Chart Detail,0020500013,437,2397,Yao Ming,1610612745,Houston Rockets,4,4,9,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,77,-23,1,1,20051102,HOU,SAC
Shot Chart Detail,0020500013,443,2397,Yao Ming,1610612745,Houston Rockets,4,3,21,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-110,-23,1,1,20051102,HOU,SAC
Shot Chart Detail,0020500013,449,2397,Yao Ming,1610612745,Houston Rockets,4,2,50,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,71,49,1,1,20051102,HOU,SAC
Shot Chart Detail,0020500038,4,2397,Yao Ming,1610612745,Houston Rockets,1,11,30,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,38,46,1,1,20051105,HOU,NOK
Shot Chart Detail,0020500038,137,2397,Yao Ming,1610612745,Houston Rockets,2,7,41,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,72,61,1,1,20051105,HOU,NOK
Shot Chart Detail,0020500038,182,2397,Yao Ming,1610612745,Houston Rockets,2,3,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,HOU,NOK
Shot Chart Detail,0020500038,187,2397,Yao Ming,1610612745,Houston Rockets,2,3,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,HOU,NOK
Shot Chart Detail,0020500038,236,2397,Yao Ming,1610612745,Houston Rockets,3,10,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051105,HOU,NOK
Shot Chart Detail,0020500038,334,2397,Yao Ming,1610612745,Houston Rockets,3,1,19,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,100,46,1,1,20051105,HOU,NOK
Shot Chart Detail,0020500038,405,2397,Yao Ming,1610612745,Houston Rockets,4,8,10,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-6,63,1,1,20051105,HOU,NOK
Shot Chart Detail,0020500038,488,2397,Yao Ming,1610612745,Houston Rockets,4,1,14,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-15,58,1,1,20051105,HOU,NOK
Shot Chart Detail,0020500054,3,2397,Yao Ming,1610612745,Houston Rockets,1,11,40,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-5,51,1,1,20051108,HOU,ORL
Shot Chart Detail,0020500054,64,2397,Yao Ming,1610612745,Houston Rockets,1,3,51,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,47,18,1,1,20051108,HOU,ORL
Shot Chart Detail,0020500054,152,2397,Yao Ming,1610612745,Houston Rockets,2,5,18,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051108,HOU,ORL
Shot Chart Detail,0020500054,200,2397,Yao Ming,1610612745,Houston Rockets,2,0,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20051108,HOU,ORL
