GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600010,7,2201,Eddy Curry,1610612752,New York Knicks,1,10,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600010,51,2201,Eddy Curry,1610612752,New York Knicks,1,4,28,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,95,18,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600010,157,2201,Eddy Curry,1610612752,New York Knicks,2,7,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600010,166,2201,Eddy Curry,1610612752,New York Knicks,2,6,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600010,183,2201,Eddy Curry,1610612752,New York Knicks,2,4,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600010,272,2201,Eddy Curry,1610612752,New York Knicks,3,9,5,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600010,328,2201,Eddy Curry,1610612752,New York Knicks,3,2,43,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-46,51,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600010,617,2201,Eddy Curry,1610612752,New York Knicks,6,3,10,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,MEM,NYK
Shot Chart Detail,0020600022,10,2201,Eddy Curry,1610612752,New York Knicks,1,10,44,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,22,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,48,2201,Eddy Curry,1610612752,New York Knicks,1,7,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,17,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,211,2201,Eddy Curry,1610612752,New York Knicks,2,5,27,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,302,2201,Eddy Curry,1610612752,New York Knicks,2,0,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,5,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,367,2201,Eddy Curry,1610612752,New York Knicks,3,7,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,13,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,394,2201,Eddy Curry,1610612752,New York Knicks,3,4,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,12,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,412,2201,Eddy Curry,1610612752,New York Knicks,3,3,0,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,8,5,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,501,2201,Eddy Curry,1610612752,New York Knicks,4,6,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,23,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,523,2201,Eddy Curry,1610612752,New York Knicks,4,5,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,7,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600033,27,2201,Eddy Curry,1610612752,New York Knicks,1,8,36,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,73,4,1,1,20061104,NYK,IND
Shot Chart Detail,0020600033,150,2201,Eddy Curry,1610612752,New York Knicks,2,8,46,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061104,NYK,IND
