GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600009,345,2240,Gilbert Arenas,1610612764,Washington Wizards,3,3,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,26,1,1,20061101,CLE,WAS
Shot Chart Detail,0020600009,477,2240,Gilbert Arenas,1610612764,Washington Wizards,4,3,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,143,210,1,1,20061101,CLE,WAS
Shot Chart Detail,0020600031,9,2240,Gilbert Arenas,1610612764,Washington Wizards,1,10,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,75,240,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,38,2240,Gilbert Arenas,1610612764,Washington Wizards,1,7,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-1,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,95,2240,Gilbert Arenas,1610612764,Washington Wizards,1,2,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,117,2240,Gilbert Arenas,1610612764,Washington Wizards,1,0,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,-3,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,195,2240,Gilbert Arenas,1610612764,Washington Wizards,2,5,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,31,210,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,201,2240,Gilbert Arenas,1610612764,Washington Wizards,2,4,15,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,23,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,295,2240,Gilbert Arenas,1610612764,Washington Wizards,3,8,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,3,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,317,2240,Gilbert Arenas,1610612764,Washington Wizards,3,6,27,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,-19,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,322,2240,Gilbert Arenas,1610612764,Washington Wizards,3,6,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,10,248,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,329,2240,Gilbert Arenas,1610612764,Washington Wizards,3,5,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,341,2240,Gilbert Arenas,1610612764,Washington Wizards,3,3,38,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,189,15,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,366,2240,Gilbert Arenas,1610612764,Washington Wizards,3,0,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,0,257,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,432,2240,Gilbert Arenas,1610612764,Washington Wizards,4,5,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,15,250,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600031,483,2240,Gilbert Arenas,1610612764,Washington Wizards,4,1,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,10,220,1,1,20061104,WAS,BOS
Shot Chart Detail,0020600045,29,2240,Gilbert Arenas,1610612764,Washington Wizards,1,7,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,144,117,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,33,2240,Gilbert Arenas,1610612764,Washington Wizards,1,7,15,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,15,-75,137,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,38,2240,Gilbert Arenas,1610612764,Washington Wizards,1,6,47,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,72,2240,Gilbert Arenas,1610612764,Washington Wizards,1,2,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,246,2240,Gilbert Arenas,1610612764,Washington Wizards,3,9,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,128,215,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600045,339,2240,Gilbert Arenas,1610612764,Washington Wizards,3,0,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,177,130,1,1,20061106,ORL,WAS
Shot Chart Detail,0020600059,3,2240,Gilbert Arenas,1610612764,Washington Wizards,1,11,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,-3,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,40,2240,Gilbert Arenas,1610612764,Washington Wizards,1,7,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-118,141,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,42,2240,Gilbert Arenas,1610612764,Washington Wizards,1,7,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-141,225,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,60,2240,Gilbert Arenas,1610612764,Washington Wizards,1,4,31,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-161,20,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,78,2240,Gilbert Arenas,1610612764,Washington Wizards,1,2,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-179,91,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,147,2240,Gilbert Arenas,1610612764,Washington Wizards,2,7,4,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-92,31,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,231,2240,Gilbert Arenas,1610612764,Washington Wizards,2,1,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,5,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,235,2240,Gilbert Arenas,1610612764,Washington Wizards,2,0,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,10,248,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,253,2240,Gilbert Arenas,1610612764,Washington Wizards,2,0,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,186,-8,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,259,2240,Gilbert Arenas,1610612764,Washington Wizards,3,11,46,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,47,0,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,267,2240,Gilbert Arenas,1610612764,Washington Wizards,3,10,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,308,2240,Gilbert Arenas,1610612764,Washington Wizards,3,6,52,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,354,2240,Gilbert Arenas,1610612764,Washington Wizards,3,3,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-16,253,1,1,20061108,WAS,IND
Shot Chart Detail,0020600059,408,2240,Gilbert Arenas,1610612764,Washington Wizards,4,10,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-21,252,1,1,20061108,WAS,IND
Shot Chart Detail,0020600074,5,2240,Gilbert Arenas,1610612764,Washington Wizards,1,11,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,39,2240,Gilbert Arenas,1610612764,Washington Wizards,1,7,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,68,2240,Gilbert Arenas,1610612764,Washington Wizards,1,4,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,151,201,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,73,2240,Gilbert Arenas,1610612764,Washington Wizards,1,3,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,153,199,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,118,2240,Gilbert Arenas,1610612764,Washington Wizards,2,11,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,186,174,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,223,2240,Gilbert Arenas,1610612764,Washington Wizards,2,1,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,0,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,439,2240,Gilbert Arenas,1610612764,Washington Wizards,4,5,59,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,135,-39,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,503,2240,Gilbert Arenas,1610612764,Washington Wizards,4,0,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600074,508,2240,Gilbert Arenas,1610612764,Washington Wizards,4,0,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,0,1,1,20061110,WAS,MIL
Shot Chart Detail,0020600091,58,2240,Gilbert Arenas,1610612764,Washington Wizards,1,4,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,228,123,1,1,20061112,WAS,NJN
