GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600003,78,2207,Joe Johnson,1610612737,Atlanta Hawks,1,2,53,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,15,95,1,1,20061101,PHI,ATL
Shot Chart Detail,0020600003,123,2207,Joe Johnson,1610612737,Atlanta Hawks,2,10,50,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,13,-74,117,1,1,20061101,PHI,ATL
Shot Chart Detail,0020600003,172,2207,Joe Johnson,1610612737,Atlanta Hawks,2,6,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-200,151,1,1,20061101,PHI,ATL
Shot Chart Detail,0020600003,216,2207,Joe Johnson,1610612737,Atlanta Hawks,2,1,31,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHI,ATL
Shot Chart Detail,0020600003,289,2207,Joe Johnson,1610612737,Atlanta Hawks,3,5,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,176,192,1,1,20061101,PHI,ATL
Shot Chart Detail,0020600003,321,2207,Joe Johnson,1610612737,Atlanta Hawks,3,2,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,236,138,1,1,20061101,PHI,ATL
Shot Chart Detail,0020600003,327,2207,Joe Johnson,1610612737,Atlanta Hawks,3,1,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHI,ATL
Shot Chart Detail,0020600003,351,2207,Joe Johnson,1610612737,Atlanta Hawks,3,0,8,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,7,1,1,20061101,PHI,ATL
Shot Chart Detail,0020600003,459,2207,Joe Johnson,1610612737,Atlanta Hawks,4,2,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,PHI,ATL
Shot Chart Detail,0020600022,159,2207,Joe Johnson,1610612737,Atlanta Hawks,2,9,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-115,137,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,176,2207,Joe Johnson,1610612737,Atlanta Hawks,2,8,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,77,174,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,210,2207,Joe Johnson,1610612737,Atlanta Hawks,2,5,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-108,40,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,236,2207,Joe Johnson,1610612737,Atlanta Hawks,2,4,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,0,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,330,2207,Joe Johnson,1610612737,Atlanta Hawks,3,11,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,121,250,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,333,2207,Joe Johnson,1610612737,Atlanta Hawks,3,10,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-10,271,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,355,2207,Joe Johnson,1610612737,Atlanta Hawks,3,8,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-217,143,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,395,2207,Joe Johnson,1610612737,Atlanta Hawks,3,4,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-182,38,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,538,2207,Joe Johnson,1610612737,Atlanta Hawks,4,3,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-123,145,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,547,2207,Joe Johnson,1610612737,Atlanta Hawks,4,3,19,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,29,86,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,579,2207,Joe Johnson,1610612737,Atlanta Hawks,4,0,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600022,590,2207,Joe Johnson,1610612737,Atlanta Hawks,4,0,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-151,148,1,1,20061103,ATL,NYK
Shot Chart Detail,0020600042,5,2207,Joe Johnson,1610612737,Atlanta Hawks,1,11,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,97,10,1,1,20061105,ATL,ORL
Shot Chart Detail,0020600042,11,2207,Joe Johnson,1610612737,Atlanta Hawks,1,10,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-3,253,1,1,20061105,ATL,ORL
Shot Chart Detail,0020600042,191,2207,Joe Johnson,1610612737,Atlanta Hawks,2,8,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-23,179,1,1,20061105,ATL,ORL
Shot Chart Detail,0020600042,213,2207,Joe Johnson,1610612737,Atlanta Hawks,2,6,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,123,120,1,1,20061105,ATL,ORL
Shot Chart Detail,0020600042,332,2207,Joe Johnson,1610612737,Atlanta Hawks,3,9,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,199,25,1,1,20061105,ATL,ORL
Shot Chart Detail,0020600042,373,2207,Joe Johnson,1610612737,Atlanta Hawks,3,7,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,156,22,1,1,20061105,ATL,ORL
Shot Chart Detail,0020600042,409,2207,Joe Johnson,1610612737,Atlanta Hawks,3,3,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-187,194,1,1,20061105,ATL,ORL
Shot Chart Detail,0020600042,416,2207,Joe Johnson,1610612737,Atlanta Hawks,3,3,14,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,23,89,1,1,20061105,ATL,ORL
Shot Chart Detail,0020600042,427,2207,Joe Johnson,1610612737,Atlanta Hawks,3,2,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-131,109,1,1,20061105,ATL,ORL
Shot Chart Detail,0020600042,526,2207,Joe Johnson,1610612737,Atlanta Hawks,4,4,56,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-52,26,1,1,20061105,ATL,ORL
Shot Chart Detail,0020600042,531,2207,Joe Johnson,1610612737,Atlanta Hawks,4,4,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-187,51,1,1,20061105,ATL,ORL
Shot Chart Detail,0020600052,69,2207,Joe Johnson,1610612737,Atlanta Hawks,1,3,53,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-159,132,1,1,20061107,CLE,ATL
Shot Chart Detail,0020600052,71,2207,Joe Johnson,1610612737,Atlanta Hawks,1,3,31,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,-3,1,1,20061107,CLE,ATL
Shot Chart Detail,0020600052,175,2207,Joe Johnson,1610612737,Atlanta Hawks,2,5,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-103,181,1,1,20061107,CLE,ATL
Shot Chart Detail,0020600052,265,2207,Joe Johnson,1610612737,Atlanta Hawks,3,10,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,3,23,1,1,20061107,CLE,ATL
Shot Chart Detail,0020600052,271,2207,Joe Johnson,1610612737,Atlanta Hawks,3,9,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-145,202,1,1,20061107,CLE,ATL
Shot Chart Detail,0020600052,487,2207,Joe Johnson,1610612737,Atlanta Hawks,4,1,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,209,178,1,1,20061107,CLE,ATL
Shot Chart Detail,0020600052,552,2207,Joe Johnson,1610612737,Atlanta Hawks,5,2,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,2,1,1,20061107,CLE,ATL
Shot Chart Detail,0020600052,560,2207,Joe Johnson,1610612737,Atlanta Hawks,5,1,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,141,212,1,1,20061107,CLE,ATL
Shot Chart Detail,0020600072,29,2207,Joe Johnson,1610612737,Atlanta Hawks,1,9,14,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-29,59,1,1,20061110,TOR,ATL
Shot Chart Detail,0020600072,34,2207,Joe Johnson,1610612737,Atlanta Hawks,1,8,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,167,181,1,1,20061110,TOR,ATL
Shot Chart Detail,0020600072,56,2207,Joe Johnson,1610612737,Atlanta Hawks,1,6,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-174,2,1,1,20061110,TOR,ATL
Shot Chart Detail,0020600072,82,2207,Joe Johnson,1610612737,Atlanta Hawks,1,3,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,182,33,1,1,20061110,TOR,ATL
Shot Chart Detail,0020600072,137,2207,Joe Johnson,1610612737,Atlanta Hawks,2,10,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,112,0,1,1,20061110,TOR,ATL
Shot Chart Detail,0020600072,139,2207,Joe Johnson,1610612737,Atlanta Hawks,2,10,20,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-13,54,1,1,20061110,TOR,ATL
Shot Chart Detail,0020600072,165,2207,Joe Johnson,1610612737,Atlanta Hawks,2,7,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,41,210,1,1,20061110,TOR,ATL
Shot Chart Detail,0020600072,170,2207,Joe Johnson,1610612737,Atlanta Hawks,2,6,39,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,30,1,1,20061110,TOR,ATL
Shot Chart Detail,0020600072,202,2207,Joe Johnson,1610612737,Atlanta Hawks,2,3,7,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061110,TOR,ATL
Shot Chart Detail,0020600072,261,2207,Joe Johnson,1610612737,Atlanta Hawks,3,8,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,172,174,1,1,20061110,TOR,ATL
Shot Chart Detail,0020600072,271,2207,Joe Johnson,1610612737,Atlanta Hawks,3,7,46,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061110,TOR,ATL
Shot Chart Detail,0020600072,279,2207,Joe Johnson,1610612737,Atlanta Hawks,3,6,47,Made Shot,Driving Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061110,TOR,ATL
Shot Chart Detail,0020600082,94,2207,Joe Johnson,1610612737,Atlanta Hawks,1,1,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,0,1,1,20061111,ATL,SEA
Shot Chart Detail,0020600082,120,2207,Joe Johnson,1610612737,Atlanta Hawks,1,0,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-171,219,1,1,20061111,ATL,SEA
Shot Chart Detail,0020600082,152,2207,Joe Johnson,1610612737,Atlanta Hawks,2,9,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,8,1,1,20061111,ATL,SEA
Shot Chart Detail,0020600082,273,2207,Joe Johnson,1610612737,Atlanta Hawks,3,10,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,115,238,1,1,20061111,ATL,SEA
Shot Chart Detail,0020600082,277,2207,Joe Johnson,1610612737,Atlanta Hawks,3,10,3,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,18,71,1,1,20061111,ATL,SEA
Shot Chart Detail,0020600082,283,2207,Joe Johnson,1610612737,Atlanta Hawks,3,9,0,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-6,86,1,1,20061111,ATL,SEA
