GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600011,52,2755,Kevin Martin,1610612758,Sacramento Kings,1,5,28,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,MIN,SAC
Shot Chart Detail,0020600011,63,2755,Kevin Martin,1610612758,Sacramento Kings,1,4,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-126,120,1,1,20061101,MIN,SAC
Shot Chart Detail,0020600011,182,2755,Kevin Martin,1610612758,Sacramento Kings,2,4,45,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,MIN,SAC
Shot Chart Detail,0020600011,208,2755,Kevin Martin,1610612758,Sacramento Kings,2,2,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-204,40,1,1,20061101,MIN,SAC
Shot Chart Detail,0020600011,243,2755,Kevin Martin,1610612758,Sacramento Kings,3,9,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-172,72,1,1,20061101,MIN,SAC
Shot Chart Detail,0020600011,273,2755,Kevin Martin,1610612758,Sacramento Kings,3,5,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,MIN,SAC
Shot Chart Detail,0020600011,293,2755,Kevin Martin,1610612758,Sacramento Kings,3,3,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,3,1,1,20061101,MIN,SAC
Shot Chart Detail,0020600011,405,2755,Kevin Martin,1610612758,Sacramento Kings,4,5,45,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,MIN,SAC
Shot Chart Detail,0020600011,473,2755,Kevin Martin,1610612758,Sacramento Kings,4,0,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061101,MIN,SAC
Shot Chart Detail,0020600026,41,2755,Kevin Martin,1610612758,Sacramento Kings,1,6,16,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600026,67,2755,Kevin Martin,1610612758,Sacramento Kings,1,3,30,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600026,173,2755,Kevin Martin,1610612758,Sacramento Kings,2,6,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600026,232,2755,Kevin Martin,1610612758,Sacramento Kings,2,1,28,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600026,301,2755,Kevin Martin,1610612758,Sacramento Kings,3,7,15,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,0,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600026,335,2755,Kevin Martin,1610612758,Sacramento Kings,3,4,23,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,43,127,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600026,368,2755,Kevin Martin,1610612758,Sacramento Kings,3,1,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600026,438,2755,Kevin Martin,1610612758,Sacramento Kings,4,7,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-102,166,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600026,443,2755,Kevin Martin,1610612758,Sacramento Kings,4,7,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600026,554,2755,Kevin Martin,1610612758,Sacramento Kings,4,0,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,182,10,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600035,5,2755,Kevin Martin,1610612758,Sacramento Kings,1,11,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-141,222,1,1,20061104,MIL,SAC
Shot Chart Detail,0020600035,57,2755,Kevin Martin,1610612758,Sacramento Kings,1,4,46,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,33,105,1,1,20061104,MIL,SAC
Shot Chart Detail,0020600035,239,2755,Kevin Martin,1610612758,Sacramento Kings,3,10,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,84,153,1,1,20061104,MIL,SAC
Shot Chart Detail,0020600035,256,2755,Kevin Martin,1610612758,Sacramento Kings,3,8,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-171,-13,1,1,20061104,MIL,SAC
Shot Chart Detail,0020600035,355,2755,Kevin Martin,1610612758,Sacramento Kings,4,10,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-113,105,1,1,20061104,MIL,SAC
Shot Chart Detail,0020600050,20,2755,Kevin Martin,1610612758,Sacramento Kings,1,9,36,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061106,SAC,MIN
Shot Chart Detail,0020600050,57,2755,Kevin Martin,1610612758,Sacramento Kings,1,3,51,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,0,89,1,1,20061106,SAC,MIN
Shot Chart Detail,0020600050,63,2755,Kevin Martin,1610612758,Sacramento Kings,1,3,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,22,202,94,1,1,20061106,SAC,MIN
Shot Chart Detail,0020600050,122,2755,Kevin Martin,1610612758,Sacramento Kings,2,9,52,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,36,1,1,20061106,SAC,MIN
Shot Chart Detail,0020600050,155,2755,Kevin Martin,1610612758,Sacramento Kings,2,6,15,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,38,18,1,1,20061106,SAC,MIN
Shot Chart Detail,0020600068,204,2755,Kevin Martin,1610612758,Sacramento Kings,2,3,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061108,SAC,DET
Shot Chart Detail,0020600068,231,2755,Kevin Martin,1610612758,Sacramento Kings,2,0,29,Made Shot,Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061108,SAC,DET
Shot Chart Detail,0020600068,293,2755,Kevin Martin,1610612758,Sacramento Kings,3,6,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-202,-6,1,1,20061108,SAC,DET
Shot Chart Detail,0020600068,297,2755,Kevin Martin,1610612758,Sacramento Kings,3,5,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-207,130,1,1,20061108,SAC,DET
Shot Chart Detail,0020600068,304,2755,Kevin Martin,1610612758,Sacramento Kings,3,4,44,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-102,48,1,1,20061108,SAC,DET
Shot Chart Detail,0020600068,331,2755,Kevin Martin,1610612758,Sacramento Kings,3,2,18,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,6,105,1,1,20061108,SAC,DET
Shot Chart Detail,0020600068,336,2755,Kevin Martin,1610612758,Sacramento Kings,3,1,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,3,160,1,1,20061108,SAC,DET
Shot Chart Detail,0020600068,364,2755,Kevin Martin,1610612758,Sacramento Kings,4,11,30,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,136,31,1,1,20061108,SAC,DET
Shot Chart Detail,0020600068,370,2755,Kevin Martin,1610612758,Sacramento Kings,4,11,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,163,192,1,1,20061108,SAC,DET
Shot Chart Detail,0020600068,481,2755,Kevin Martin,1610612758,Sacramento Kings,4,0,50,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,126,107,1,1,20061108,SAC,DET
Shot Chart Detail,0020600094,39,2755,Kevin Martin,1610612758,Sacramento Kings,1,7,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061112,SAC,TOR
Shot Chart Detail,0020600094,99,2755,Kevin Martin,1610612758,Sacramento Kings,1,1,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,215,117,1,1,20061112,SAC,TOR
Shot Chart Detail,0020600094,106,2755,Kevin Martin,1610612758,Sacramento Kings,1,0,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061112,SAC,TOR
Shot Chart Detail,0020600094,198,2755,Kevin Martin,1610612758,Sacramento Kings,2,4,1,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,3,143,1,1,20061112,SAC,TOR
Shot Chart Detail,0020600094,250,2755,Kevin Martin,1610612758,Sacramento Kings,3,10,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061112,SAC,TOR
Shot Chart Detail,0020600094,296,2755,Kevin Martin,1610612758,Sacramento Kings,3,4,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-171,-11,1,1,20061112,SAC,TOR
Shot Chart Detail,0020600094,316,2755,Kevin Martin,1610612758,Sacramento Kings,3,3,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-179,-1,1,1,20061112,SAC,TOR
Shot Chart Detail,0020600094,330,2755,Kevin Martin,1610612758,Sacramento Kings,3,1,37,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,7,1,1,20061112,SAC,TOR
Shot Chart Detail,0020600115,4,2755,Kevin Martin,1610612758,Sacramento Kings,1,11,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,182,169,1,1,20061115,SAC,MEM
Shot Chart Detail,0020600115,11,2755,Kevin Martin,1610612758,Sacramento Kings,1,10,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-163,186,1,1,20061115,SAC,MEM
Shot Chart Detail,0020600115,278,2755,Kevin Martin,1610612758,Sacramento Kings,3,6,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061115,SAC,MEM
Shot Chart Detail,0020600115,280,2755,Kevin Martin,1610612758,Sacramento Kings,3,6,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-200,143,1,1,20061115,SAC,MEM
Shot Chart Detail,0020600115,283,2755,Kevin Martin,1610612758,Sacramento Kings,3,6,8,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,28,74,1,1,20061115,SAC,MEM
Shot Chart Detail,0020600115,433,2755,Kevin Martin,1610612758,Sacramento Kings,4,4,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,184,161,1,1,20061115,SAC,MEM
Shot Chart Detail,0020600115,465,2755,Kevin Martin,1610612758,Sacramento Kings,4,1,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-89,227,1,1,20061115,SAC,MEM
Shot Chart Detail,0020600118,111,2755,Kevin Martin,1610612758,Sacramento Kings,1,1,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,17,1,1,20061116,GSW,SAC
Shot Chart Detail,0020600118,116,2755,Kevin Martin,1610612758,Sacramento Kings,1,0,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,12,1,1,20061116,GSW,SAC
Shot Chart Detail,0020600118,152,2755,Kevin Martin,1610612758,Sacramento Kings,2,9,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-128,138,1,1,20061116,GSW,SAC
Shot Chart Detail,0020600118,184,2755,Kevin Martin,1610612758,Sacramento Kings,2,6,37,Made Shot,Follow Up Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061116,GSW,SAC
Shot Chart Detail,0020600118,269,2755,Kevin Martin,1610612758,Sacramento Kings,3,10,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-66,173,1,1,20061116,GSW,SAC
Shot Chart Detail,0020600118,316,2755,Kevin Martin,1610612758,Sacramento Kings,3,4,23,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061116,GSW,SAC
