GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600016,2,1938,Manu Ginobili,1610612759,San Antonio Spurs,1,11,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-158,40,1,1,20061102,DAL,SAS
Shot Chart Detail,0020600016,46,1938,Manu Ginobili,1610612759,San Antonio Spurs,1,5,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-95,222,1,1,20061102,DAL,SAS
Shot Chart Detail,0020600016,122,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,9,47,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-59,36,1,1,20061102,DAL,SAS
Shot Chart Detail,0020600016,255,1938,Manu Ginobili,1610612759,San Antonio Spurs,3,7,49,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-59,125,1,1,20061102,DAL,SAS
Shot Chart Detail,0020600016,272,1938,Manu Ginobili,1610612759,San Antonio Spurs,3,6,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-125,118,1,1,20061102,DAL,SAS
Shot Chart Detail,0020600016,357,1938,Manu Ginobili,1610612759,San Antonio Spurs,4,10,10,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-61,43,1,1,20061102,DAL,SAS
Shot Chart Detail,0020600025,12,1938,Manu Ginobili,1610612759,San Antonio Spurs,1,10,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-207,141,1,1,20061103,SAS,CLE
Shot Chart Detail,0020600025,88,1938,Manu Ginobili,1610612759,San Antonio Spurs,1,1,2,Made Shot,Driving Finger Roll Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-10,30,1,1,20061103,SAS,CLE
Shot Chart Detail,0020600025,130,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,9,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,22,1,1,20061103,SAS,CLE
Shot Chart Detail,0020600025,137,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,8,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,159,217,1,1,20061103,SAS,CLE
Shot Chart Detail,0020600025,196,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,2,59,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,5,1,1,20061103,SAS,CLE
Shot Chart Detail,0020600040,55,1938,Manu Ginobili,1610612759,San Antonio Spurs,1,5,33,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061105,TOR,SAS
Shot Chart Detail,0020600040,267,1938,Manu Ginobili,1610612759,San Antonio Spurs,3,11,0,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,141,3,1,1,20061105,TOR,SAS
Shot Chart Detail,0020600040,477,1938,Manu Ginobili,1610612759,San Antonio Spurs,4,1,38,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,52,15,1,1,20061105,TOR,SAS
Shot Chart Detail,0020600040,484,1938,Manu Ginobili,1610612759,San Antonio Spurs,4,1,13,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061105,TOR,SAS
Shot Chart Detail,0020600046,19,1938,Manu Ginobili,1610612759,San Antonio Spurs,1,9,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,160,196,1,1,20061106,NYK,SAS
Shot Chart Detail,0020600046,51,1938,Manu Ginobili,1610612759,San Antonio Spurs,1,6,21,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-59,28,1,1,20061106,NYK,SAS
Shot Chart Detail,0020600046,124,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,11,0,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-14,1,1,20061106,NYK,SAS
Shot Chart Detail,0020600046,476,1938,Manu Ginobili,1610612759,San Antonio Spurs,4,0,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,74,175,1,1,20061106,NYK,SAS
Shot Chart Detail,0020600064,120,1938,Manu Ginobili,1610612759,San Antonio Spurs,2,11,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-220,133,1,1,20061108,SAS,PHX
Shot Chart Detail,0020600064,281,1938,Manu Ginobili,1610612759,San Antonio Spurs,3,6,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,213,46,1,1,20061108,SAS,PHX
Shot Chart Detail,0020600064,354,1938,Manu Ginobili,1610612759,San Antonio Spurs,4,11,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,10,1,1,20061108,SAS,PHX
Shot Chart Detail,0020600084,4,1938,Manu Ginobili,1610612759,San Antonio Spurs,1,11,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,15,1,1,20061111,SAS,NYK
Shot Chart Detail,0020600084,24,1938,Manu Ginobili,1610612759,San Antonio Spurs,1,8,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,148,201,1,1,20061111,SAS,NYK
