GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020600011,17,1710,Mike Bibby,1610612758,Sacramento Kings,1,9,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-189,94,1,1,20061101,MIN,SAC
Shot Chart Detail,0020600011,101,1710,Mike Bibby,1610612758,Sacramento Kings,1,0,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-31,243,1,1,20061101,MIN,SAC
Shot Chart Detail,0020600011,223,1710,Mike Bibby,1610612758,Sacramento Kings,2,0,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-125,158,1,1,20061101,MIN,SAC
Shot Chart Detail,0020600011,280,1710,Mike Bibby,1610612758,Sacramento Kings,3,5,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-149,3,1,1,20061101,MIN,SAC
Shot Chart Detail,0020600011,284,1710,Mike Bibby,1610612758,Sacramento Kings,3,4,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-107,220,1,1,20061101,MIN,SAC
Shot Chart Detail,0020600026,12,1710,Mike Bibby,1610612758,Sacramento Kings,1,10,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-31,250,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600026,33,1710,Mike Bibby,1610612758,Sacramento Kings,1,7,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-138,141,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600026,294,1710,Mike Bibby,1610612758,Sacramento Kings,3,8,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-171,107,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600026,338,1710,Mike Bibby,1610612758,Sacramento Kings,3,3,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,16,248,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600026,541,1710,Mike Bibby,1610612758,Sacramento Kings,4,0,14,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-6,1,1,20061103,CHI,SAC
Shot Chart Detail,0020600035,7,1710,Mike Bibby,1610612758,Sacramento Kings,1,10,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,138,109,1,1,20061104,MIL,SAC
Shot Chart Detail,0020600035,11,1710,Mike Bibby,1610612758,Sacramento Kings,1,10,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,144,214,1,1,20061104,MIL,SAC
Shot Chart Detail,0020600035,88,1710,Mike Bibby,1610612758,Sacramento Kings,1,2,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-154,18,1,1,20061104,MIL,SAC
Shot Chart Detail,0020600035,208,1710,Mike Bibby,1610612758,Sacramento Kings,2,1,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061104,MIL,SAC
Shot Chart Detail,0020600050,47,1710,Mike Bibby,1610612758,Sacramento Kings,1,5,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-189,153,1,1,20061106,SAC,MIN
Shot Chart Detail,0020600050,251,1710,Mike Bibby,1610612758,Sacramento Kings,3,9,12,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,0,56,1,1,20061106,SAC,MIN
Shot Chart Detail,0020600050,261,1710,Mike Bibby,1610612758,Sacramento Kings,3,8,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-156,158,1,1,20061106,SAC,MIN
Shot Chart Detail,0020600050,414,1710,Mike Bibby,1610612758,Sacramento Kings,4,4,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20061106,SAC,MIN
Shot Chart Detail,0020600068,17,1710,Mike Bibby,1610612758,Sacramento Kings,1,9,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-135,146,1,1,20061108,SAC,DET
