GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020700011,52,947,Allen Iverson,1610612743,Denver Nuggets,1,6,55,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,DEN,SEA
Shot Chart Detail,0020700011,63,947,Allen Iverson,1610612743,Denver Nuggets,1,6,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,DEN,SEA
Shot Chart Detail,0020700011,86,947,Allen Iverson,1610612743,Denver Nuggets,1,3,49,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,DEN,SEA
Shot Chart Detail,0020700011,228,947,Allen Iverson,1610612743,Denver Nuggets,2,5,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,DEN,SEA
Shot Chart Detail,0020700011,278,947,Allen Iverson,1610612743,Denver Nuggets,2,0,54,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,1,102,1,1,20071031,DEN,SEA
Shot Chart Detail,0020700011,309,947,Allen Iverson,1610612743,Denver Nuggets,3,11,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,DEN,SEA
Shot Chart Detail,0020700011,399,947,Allen Iverson,1610612743,Denver Nuggets,3,2,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,DEN,SEA
Shot Chart Detail,0020700011,540,947,Allen Iverson,1610612743,Denver Nuggets,4,2,29,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,DEN,SEA
Shot Chart Detail,0020700011,546,947,Allen Iverson,1610612743,Denver Nuggets,4,2,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,DEN,SEA
Shot Chart Detail,0020700023,52,947,Allen Iverson,1610612743,Denver Nuggets,1,6,27,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-48,23,1,1,20071102,MIN,DEN
Shot Chart Detail,0020700023,211,947,Allen Iverson,1610612743,Denver Nuggets,2,2,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-184,41,1,1,20071102,MIN,DEN
Shot Chart Detail,0020700023,351,947,Allen Iverson,1610612743,Denver Nuggets,3,0,40,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,3,69,1,1,20071102,MIN,DEN
Shot Chart Detail,0020700023,474,947,Allen Iverson,1610612743,Denver Nuggets,4,0,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-146,220,1,1,20071102,MIN,DEN
Shot Chart Detail,0020700040,28,947,Allen Iverson,1610612743,Denver Nuggets,1,9,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071104,DEN,NOH
Shot Chart Detail,0020700040,47,947,Allen Iverson,1610612743,Denver Nuggets,1,6,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-41,250,1,1,20071104,DEN,NOH
Shot Chart Detail,0020700040,76,947,Allen Iverson,1610612743,Denver Nuggets,1,4,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-108,156,1,1,20071104,DEN,NOH
Shot Chart Detail,0020700040,159,947,Allen Iverson,1610612743,Denver Nuggets,2,9,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-166,59,1,1,20071104,DEN,NOH
Shot Chart Detail,0020700040,312,947,Allen Iverson,1610612743,Denver Nuggets,3,7,41,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-75,86,1,1,20071104,DEN,NOH
Shot Chart Detail,0020700040,326,947,Allen Iverson,1610612743,Denver Nuggets,3,6,17,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,59,36,1,1,20071104,DEN,NOH
Shot Chart Detail,0020700040,368,947,Allen Iverson,1610612743,Denver Nuggets,3,2,16,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-95,31,1,1,20071104,DEN,NOH
Shot Chart Detail,0020700040,466,947,Allen Iverson,1610612743,Denver Nuggets,4,4,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-220,135,1,1,20071104,DEN,NOH
Shot Chart Detail,0020700046,8,947,Allen Iverson,1610612743,Denver Nuggets,1,11,7,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071106,NYK,DEN
Shot Chart Detail,0020700046,24,947,Allen Iverson,1610612743,Denver Nuggets,1,8,21,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071106,NYK,DEN
Shot Chart Detail,0020700046,42,947,Allen Iverson,1610612743,Denver Nuggets,1,5,33,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,94,26,1,1,20071106,NYK,DEN
Shot Chart Detail,0020700046,47,947,Allen Iverson,1610612743,Denver Nuggets,1,4,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071106,NYK,DEN
Shot Chart Detail,0020700046,72,947,Allen Iverson,1610612743,Denver Nuggets,1,3,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071106,NYK,DEN
Shot Chart Detail,0020700046,201,947,Allen Iverson,1610612743,Denver Nuggets,2,3,24,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-62,114,1,1,20071106,NYK,DEN
