GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020700003,19,101114,Deron Williams,1610612762,Utah Jazz,1,9,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-66,206,1,1,20071030,GSW,UTA
Shot Chart Detail,0020700003,56,101114,Deron Williams,1610612762,Utah Jazz,1,5,13,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-15,43,1,1,20071030,GSW,UTA
Shot Chart Detail,0020700003,152,101114,Deron Williams,1610612762,Utah Jazz,2,9,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,29,7,1,1,20071030,GSW,UTA
Shot Chart Detail,0020700003,172,101114,Deron Williams,1610612762,Utah Jazz,2,7,59,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-23,71,1,1,20071030,GSW,UTA
Shot Chart Detail,0020700003,306,101114,Deron Williams,1610612762,Utah Jazz,3,8,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,56,248,1,1,20071030,GSW,UTA
Shot Chart Detail,0020700003,414,101114,Deron Williams,1610612762,Utah Jazz,4,11,20,Made Shot,Turnaround Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,71,255,1,1,20071030,GSW,UTA
Shot Chart Detail,0020700003,448,101114,Deron Williams,1610612762,Utah Jazz,4,7,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-113,229,1,1,20071030,GSW,UTA
Shot Chart Detail,0020700003,460,101114,Deron Williams,1610612762,Utah Jazz,4,6,29,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-122,137,1,1,20071030,GSW,UTA
Shot Chart Detail,0020700013,37,101114,Deron Williams,1610612762,Utah Jazz,1,7,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,103,-9,1,1,20071101,UTA,HOU
Shot Chart Detail,0020700013,149,101114,Deron Williams,1610612762,Utah Jazz,2,9,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-112,179,1,1,20071101,UTA,HOU
Shot Chart Detail,0020700013,242,101114,Deron Williams,1610612762,Utah Jazz,2,0,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071101,UTA,HOU
Shot Chart Detail,0020700013,281,101114,Deron Williams,1610612762,Utah Jazz,3,9,8,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071101,UTA,HOU
Shot Chart Detail,0020700013,414,101114,Deron Williams,1610612762,Utah Jazz,4,7,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-31,169,1,1,20071101,UTA,HOU
Shot Chart Detail,0020700013,488,101114,Deron Williams,1610612762,Utah Jazz,4,0,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071101,UTA,HOU
Shot Chart Detail,0020700034,12,101114,Deron Williams,1610612762,Utah Jazz,1,10,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-146,199,1,1,20071103,UTA,GSW
Shot Chart Detail,0020700034,123,101114,Deron Williams,1610612762,Utah Jazz,2,10,51,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071103,UTA,GSW
Shot Chart Detail,0020700034,161,101114,Deron Williams,1610612762,Utah Jazz,2,7,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071103,UTA,GSW
Shot Chart Detail,0020700034,176,101114,Deron Williams,1610612762,Utah Jazz,2,6,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071103,UTA,GSW
Shot Chart Detail,0020700034,266,101114,Deron Williams,1610612762,Utah Jazz,3,11,43,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-46,23,1,1,20071103,UTA,GSW
Shot Chart Detail,0020700034,291,101114,Deron Williams,1610612762,Utah Jazz,3,6,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,34,237,1,1,20071103,UTA,GSW
Shot Chart Detail,0020700034,360,101114,Deron Williams,1610612762,Utah Jazz,4,11,14,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-72,69,1,1,20071103,UTA,GSW
Shot Chart Detail,0020700034,381,101114,Deron Williams,1610612762,Utah Jazz,4,8,46,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,0,114,1,1,20071103,UTA,GSW
Shot Chart Detail,0020700034,389,101114,Deron Williams,1610612762,Utah Jazz,4,8,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-161,179,1,1,20071103,UTA,GSW
Shot Chart Detail,0020700034,404,101114,Deron Williams,1610612762,Utah Jazz,4,6,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,105,189,1,1,20071103,UTA,GSW
Shot Chart Detail,0020700034,409,101114,Deron Williams,1610612762,Utah Jazz,4,6,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,10,187,1,1,20071103,UTA,GSW
Shot Chart Detail,0020700034,428,101114,Deron Williams,1610612762,Utah Jazz,4,3,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-52,215,1,1,20071103,UTA,GSW
Shot Chart Detail,0020700034,435,101114,Deron Williams,1610612762,Utah Jazz,4,2,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,210,132,1,1,20071103,UTA,GSW
Shot Chart Detail,0020700042,33,101114,Deron Williams,1610612762,Utah Jazz,1,8,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,105,194,1,1,20071104,LAL,UTA
Shot Chart Detail,0020700042,62,101114,Deron Williams,1610612762,Utah Jazz,1,5,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,117,164,1,1,20071104,LAL,UTA
Shot Chart Detail,0020700042,154,101114,Deron Williams,1610612762,Utah Jazz,2,8,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-8,207,1,1,20071104,LAL,UTA
Shot Chart Detail,0020700042,247,101114,Deron Williams,1610612762,Utah Jazz,2,0,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,47,257,1,1,20071104,LAL,UTA
Shot Chart Detail,0020700042,260,101114,Deron Williams,1610612762,Utah Jazz,3,11,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071104,LAL,UTA
Shot Chart Detail,0020700042,275,101114,Deron Williams,1610612762,Utah Jazz,3,10,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-115,110,1,1,20071104,LAL,UTA
Shot Chart Detail,0020700042,321,101114,Deron Williams,1610612762,Utah Jazz,3,5,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-118,155,1,1,20071104,LAL,UTA
Shot Chart Detail,0020700042,420,101114,Deron Williams,1610612762,Utah Jazz,4,8,22,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,16,63,1,1,20071104,LAL,UTA
Shot Chart Detail,0020700042,471,101114,Deron Williams,1610612762,Utah Jazz,4,2,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-149,220,1,1,20071104,LAL,UTA
Shot Chart Detail,0020700042,486,101114,Deron Williams,1610612762,Utah Jazz,4,1,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,105,227,1,1,20071104,LAL,UTA
Shot Chart Detail,0020700060,9,101114,Deron Williams,1610612762,Utah Jazz,1,10,47,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,5,74,1,1,20071107,UTA,CLE
Shot Chart Detail,0020700060,356,101114,Deron Williams,1610612762,Utah Jazz,3,1,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071107,UTA,CLE
Shot Chart Detail,0020700060,393,101114,Deron Williams,1610612762,Utah Jazz,4,9,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071107,UTA,CLE
Shot Chart Detail,0020700060,521,101114,Deron Williams,1610612762,Utah Jazz,4,0,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071107,UTA,CLE
Shot Chart Detail,0020700078,8,101114,Deron Williams,1610612762,Utah Jazz,1,10,59,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-44,28,1,1,20071109,SEA,UTA
Shot Chart Detail,0020700078,18,101114,Deron Williams,1610612762,Utah Jazz,1,9,26,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071109,SEA,UTA
Shot Chart Detail,0020700078,54,101114,Deron Williams,1610612762,Utah Jazz,1,6,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071109,SEA,UTA
