GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020700008,284,2544,LeBron James,1610612739,Cleveland Cavaliers,3,6,41,Made Shot,Running Bank Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,89,38,1,1,20071031,CLE,DAL
Shot Chart Detail,0020700008,459,2544,LeBron James,1610612739,Cleveland Cavaliers,4,2,19,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-3,1,1,20071031,CLE,DAL
Shot Chart Detail,0020700020,35,2544,LeBron James,1610612739,Cleveland Cavaliers,1,8,3,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-11,89,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700020,81,2544,LeBron James,1610612739,Cleveland Cavaliers,1,1,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,141,202,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700020,162,2544,LeBron James,1610612739,Cleveland Cavaliers,2,6,5,Made Shot,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-46,8,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700020,190,2544,LeBron James,1610612739,Cleveland Cavaliers,2,3,32,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,100,53,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700020,194,2544,LeBron James,1610612739,Cleveland Cavaliers,2,2,55,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-3,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700020,205,2544,LeBron James,1610612739,Cleveland Cavaliers,2,2,26,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-3,137,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700020,228,2544,LeBron James,1610612739,Cleveland Cavaliers,2,1,16,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20071102,CLE,NYK
Shot Chart Detail,0020700020,275,2544,LeBron James,1610612739,Cleveland Cavaliers,3,9,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-238,45,1,1,20071102,CLE,NYK
