GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020700010,69,978,Peja Stojakovic,1610612740,New Orleans Hornets,1,4,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,NOH,SAC
Shot Chart Detail,0020700010,229,978,Peja Stojakovic,1610612740,New Orleans Hornets,2,1,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-223,105,1,1,20071031,NOH,SAC
Shot Chart Detail,0020700010,234,978,Peja Stojakovic,1610612740,New Orleans Hornets,2,0,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,213,138,1,1,20071031,NOH,SAC
Shot Chart Detail,0020700010,278,978,Peja Stojakovic,1610612740,New Orleans Hornets,3,7,42,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,7,1,1,20071031,NOH,SAC
Shot Chart Detail,0020700010,311,978,Peja Stojakovic,1610612740,New Orleans Hornets,3,4,57,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-168,33,1,1,20071031,NOH,SAC
Shot Chart Detail,0020700010,463,978,Peja Stojakovic,1610612740,New Orleans Hornets,4,3,43,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,7,1,1,20071031,NOH,SAC
Shot Chart Detail,0020700010,466,978,Peja Stojakovic,1610612740,New Orleans Hornets,4,3,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,NOH,SAC
Shot Chart Detail,0020700022,22,978,Peja Stojakovic,1610612740,New Orleans Hornets,1,9,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-214,7,1,1,20071102,NOH,POR
Shot Chart Detail,0020700022,66,978,Peja Stojakovic,1610612740,New Orleans Hornets,1,5,21,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,35,1,1,20071102,NOH,POR
Shot Chart Detail,0020700022,73,978,Peja Stojakovic,1610612740,New Orleans Hornets,1,4,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-46,252,1,1,20071102,NOH,POR
