GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020700005,6,1740,Rashard Lewis,1610612753,Orlando Magic,1,11,10,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-122,22,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,20,1740,Rashard Lewis,1610612753,Orlando Magic,1,8,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,128,92,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,27,1740,Rashard Lewis,1610612753,Orlando Magic,1,8,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,65,1740,Rashard Lewis,1610612753,Orlando Magic,1,4,26,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,159,23,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,155,1740,Rashard Lewis,1610612753,Orlando Magic,2,7,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,64,240,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,229,1740,Rashard Lewis,1610612753,Orlando Magic,2,1,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,291,1740,Rashard Lewis,1610612753,Orlando Magic,3,6,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,125,215,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,321,1740,Rashard Lewis,1610612753,Orlando Magic,3,2,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,-21,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700005,327,1740,Rashard Lewis,1610612753,Orlando Magic,3,1,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,209,148,1,1,20071031,ORL,MIL
Shot Chart Detail,0020700016,24,1740,Rashard Lewis,1610612753,Orlando Magic,1,8,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,158,20,1,1,20071102,ORL,DET
Shot Chart Detail,0020700016,28,1740,Rashard Lewis,1610612753,Orlando Magic,1,8,18,Made Shot,Running Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,121,61,1,1,20071102,ORL,DET
Shot Chart Detail,0020700016,35,1740,Rashard Lewis,1610612753,Orlando Magic,1,6,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,195,160,1,1,20071102,ORL,DET
Shot Chart Detail,0020700016,202,1740,Rashard Lewis,1610612753,Orlando Magic,2,2,31,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-48,26,1,1,20071102,ORL,DET
Shot Chart Detail,0020700016,213,1740,Rashard Lewis,1610612753,Orlando Magic,2,0,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071102,ORL,DET
Shot Chart Detail,0020700029,20,1740,Rashard Lewis,1610612753,Orlando Magic,1,9,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,16,222,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700029,26,1740,Rashard Lewis,1610612753,Orlando Magic,1,8,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,179,-32,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700029,45,1740,Rashard Lewis,1610612753,Orlando Magic,1,6,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700029,57,1740,Rashard Lewis,1610612753,Orlando Magic,1,5,27,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,-6,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700029,95,1740,Rashard Lewis,1610612753,Orlando Magic,1,0,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,199,-26,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700029,148,1740,Rashard Lewis,1610612753,Orlando Magic,2,6,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,108,176,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700029,191,1740,Rashard Lewis,1610612753,Orlando Magic,2,2,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,159,191,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700029,206,1740,Rashard Lewis,1610612753,Orlando Magic,2,0,27,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,-34,1,1,20071103,WAS,ORL
Shot Chart Detail,0020700048,38,1740,Rashard Lewis,1610612753,Orlando Magic,1,7,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,156,183,1,1,20071106,MIN,ORL
Shot Chart Detail,0020700048,68,1740,Rashard Lewis,1610612753,Orlando Magic,1,4,35,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,8,1,1,20071106,MIN,ORL
Shot Chart Detail,0020700048,158,1740,Rashard Lewis,1610612753,Orlando Magic,2,6,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-72,233,1,1,20071106,MIN,ORL
Shot Chart Detail,0020700048,201,1740,Rashard Lewis,1610612753,Orlando Magic,2,2,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-128,114,1,1,20071106,MIN,ORL
Shot Chart Detail,0020700048,257,1740,Rashard Lewis,1610612753,Orlando Magic,3,8,56,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-23,35,1,1,20071106,MIN,ORL
