GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020700001,10,2225,Tony Parker,1610612759,San Antonio Spurs,1,10,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,118,153,1,1,20071030,SAS,POR
Shot Chart Detail,0020700001,33,2225,Tony Parker,1610612759,San Antonio Spurs,1,7,43,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,15,1,1,20071030,SAS,POR
Shot Chart Detail,0020700001,51,2225,Tony Parker,1610612759,San Antonio Spurs,1,5,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,12,1,1,20071030,SAS,POR
Shot Chart Detail,0020700001,53,2225,Tony Parker,1610612759,San Antonio Spurs,1,5,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,22,1,1,20071030,SAS,POR
Shot Chart Detail,0020700001,398,2225,Tony Parker,1610612759,San Antonio Spurs,4,6,5,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,10,45,1,1,20071030,SAS,POR
Shot Chart Detail,0020700001,427,2225,Tony Parker,1610612759,San Antonio Spurs,4,1,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-141,97,1,1,20071030,SAS,POR
Shot Chart Detail,0020700001,431,2225,Tony Parker,1610612759,San Antonio Spurs,4,1,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,0,1,1,20071030,SAS,POR
Shot Chart Detail,0020700009,16,2225,Tony Parker,1610612759,San Antonio Spurs,1,9,34,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,MEM,SAS
Shot Chart Detail,0020700009,26,2225,Tony Parker,1610612759,San Antonio Spurs,1,8,15,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,MEM,SAS
Shot Chart Detail,0020700009,35,2225,Tony Parker,1610612759,San Antonio Spurs,1,6,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-138,141,1,1,20071031,MEM,SAS
Shot Chart Detail,0020700009,69,2225,Tony Parker,1610612759,San Antonio Spurs,1,4,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071031,MEM,SAS
Shot Chart Detail,0020700009,156,2225,Tony Parker,1610612759,San Antonio Spurs,2,9,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,120,125,1,1,20071031,MEM,SAS
Shot Chart Detail,0020700009,223,2225,Tony Parker,1610612759,San Antonio Spurs,2,2,20,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,-5,1,1,20071031,MEM,SAS
Shot Chart Detail,0020700009,280,2225,Tony Parker,1610612759,San Antonio Spurs,3,7,47,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-143,128,1,1,20071031,MEM,SAS
Shot Chart Detail,0020700009,378,2225,Tony Parker,1610612759,San Antonio Spurs,4,9,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-122,132,1,1,20071031,MEM,SAS
Shot Chart Detail,0020700025,9,2225,Tony Parker,1610612759,San Antonio Spurs,1,10,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,95,153,1,1,20071102,SAS,SAC
Shot Chart Detail,0020700025,16,2225,Tony Parker,1610612759,San Antonio Spurs,1,9,23,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-8,30,1,1,20071102,SAS,SAC
Shot Chart Detail,0020700025,18,2225,Tony Parker,1610612759,San Antonio Spurs,1,8,59,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,85,20,1,1,20071102,SAS,SAC
Shot Chart Detail,0020700025,156,2225,Tony Parker,1610612759,San Antonio Spurs,2,7,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,8,1,1,20071102,SAS,SAC
Shot Chart Detail,0020700025,273,2225,Tony Parker,1610612759,San Antonio Spurs,3,8,46,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,2,1,1,20071102,SAS,SAC
Shot Chart Detail,0020700050,45,2225,Tony Parker,1610612759,San Antonio Spurs,1,6,24,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,46,58,1,1,20071106,HOU,SAS
Shot Chart Detail,0020700050,48,2225,Tony Parker,1610612759,San Antonio Spurs,1,5,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071106,HOU,SAS
Shot Chart Detail,0020700050,154,2225,Tony Parker,1610612759,San Antonio Spurs,2,7,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20071106,HOU,SAS
