GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020800001,244,951,Ray Allen,1610612738,Boston Celtics,2,1,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,86,176,1,1,20081028,BOS,CLE
Shot Chart Detail,0020800001,274,951,Ray Allen,1610612738,Boston Celtics,3,10,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-169,178,1,1,20081028,BOS,CLE
Shot Chart Detail,0020800022,20,951,Ray Allen,1610612738,Boston Celtics,1,10,26,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,47,190,1,1,20081031,BOS,CHI
Shot Chart Detail,0020800022,297,951,Ray Allen,1610612738,Boston Celtics,3,10,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,234,91,1,1,20081031,BOS,CHI
Shot Chart Detail,0020800022,306,951,Ray Allen,1610612738,Boston Celtics,3,10,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,28,1,1,20081031,BOS,CHI
Shot Chart Detail,0020800022,331,951,Ray Allen,1610612738,Boston Celtics,3,7,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-185,-5,1,1,20081031,BOS,CHI
Shot Chart Detail,0020800022,355,951,Ray Allen,1610612738,Boston Celtics,3,5,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,14,1,1,20081031,BOS,CHI
Shot Chart Detail,0020800028,26,951,Ray Allen,1610612738,Boston Celtics,1,8,58,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,159,206,1,1,20081101,IND,BOS
Shot Chart Detail,0020800028,247,951,Ray Allen,1610612738,Boston Celtics,2,2,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,10,208,1,1,20081101,IND,BOS
Shot Chart Detail,0020800028,301,951,Ray Allen,1610612738,Boston Celtics,3,11,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-171,23,1,1,20081101,IND,BOS
Shot Chart Detail,0020800028,313,951,Ray Allen,1610612738,Boston Celtics,3,9,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,138,104,1,1,20081101,IND,BOS
Shot Chart Detail,0020800049,30,951,Ray Allen,1610612738,Boston Celtics,1,8,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081104,HOU,BOS
Shot Chart Detail,0020800049,79,951,Ray Allen,1610612738,Boston Celtics,1,3,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-172,50,1,1,20081104,HOU,BOS
Shot Chart Detail,0020800049,239,951,Ray Allen,1610612738,Boston Celtics,2,2,35,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,62,119,1,1,20081104,HOU,BOS
Shot Chart Detail,0020800049,245,951,Ray Allen,1610612738,Boston Celtics,2,2,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,116,231,1,1,20081104,HOU,BOS
Shot Chart Detail,0020800049,306,951,Ray Allen,1610612738,Boston Celtics,3,8,57,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20081104,HOU,BOS
Shot Chart Detail,0020800049,315,951,Ray Allen,1610612738,Boston Celtics,3,7,56,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,40,93,1,1,20081104,HOU,BOS
