GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900003,47,201166,Aaron Brooks,1610612745,Houston Rockets,1,6,52,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,9,63,1,1,20091027,POR,HOU
Shot Chart Detail,0020900003,237,201166,Aaron Brooks,1610612745,Houston Rockets,2,2,39,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,70,0,1,1,20091027,POR,HOU
Shot Chart Detail,0020900003,250,201166,Aaron Brooks,1610612745,Houston Rockets,2,1,12,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091027,POR,HOU
Shot Chart Detail,0020900003,294,201166,Aaron Brooks,1610612745,Houston Rockets,3,8,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091027,POR,HOU
Shot Chart Detail,0020900003,317,201166,Aaron Brooks,1610612745,Houston Rockets,3,6,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091027,POR,HOU
Shot Chart Detail,0020900003,398,201166,Aaron Brooks,1610612745,Houston Rockets,4,11,29,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-105,123,1,1,20091027,POR,HOU
Shot Chart Detail,0020900003,403,201166,Aaron Brooks,1610612745,Houston Rockets,4,10,42,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091027,POR,HOU
Shot Chart Detail,0020900003,453,201166,Aaron Brooks,1610612745,Houston Rockets,4,5,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091027,POR,HOU
Shot Chart Detail,0020900015,48,201166,Aaron Brooks,1610612745,Houston Rockets,1,6,30,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,GSW,HOU
Shot Chart Detail,0020900015,105,201166,Aaron Brooks,1610612745,Houston Rockets,1,0,44,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-130,227,1,1,20091028,GSW,HOU
Shot Chart Detail,0020900015,300,201166,Aaron Brooks,1610612745,Houston Rockets,3,10,45,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-153,205,1,1,20091028,GSW,HOU
Shot Chart Detail,0020900015,309,201166,Aaron Brooks,1610612745,Houston Rockets,3,9,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,198,-5,1,1,20091028,GSW,HOU
Shot Chart Detail,0020900015,316,201166,Aaron Brooks,1610612745,Houston Rockets,3,8,40,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,233,75,1,1,20091028,GSW,HOU
Shot Chart Detail,0020900015,336,201166,Aaron Brooks,1610612745,Houston Rockets,3,6,18,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,11,1,1,20091028,GSW,HOU
Shot Chart Detail,0020900035,43,201166,Aaron Brooks,1610612745,Houston Rockets,1,5,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-185,63,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,82,201166,Aaron Brooks,1610612745,Houston Rockets,1,1,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-212,154,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,109,201166,Aaron Brooks,1610612745,Houston Rockets,2,11,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-142,211,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,244,201166,Aaron Brooks,1610612745,Houston Rockets,3,9,59,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,152,15,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,247,201166,Aaron Brooks,1610612745,Houston Rockets,3,9,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,284,201166,Aaron Brooks,1610612745,Houston Rockets,3,5,36,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,6,75,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,308,201166,Aaron Brooks,1610612745,Houston Rockets,3,3,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,125,233,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,462,201166,Aaron Brooks,1610612745,Houston Rockets,4,4,16,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-183,45,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,486,201166,Aaron Brooks,1610612745,Houston Rockets,4,3,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,218,146,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,520,201166,Aaron Brooks,1610612745,Houston Rockets,4,0,56,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,21,101,1,1,20091031,HOU,POR
Shot Chart Detail,0020900048,6,201166,Aaron Brooks,1610612745,Houston Rockets,1,11,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-149,213,1,1,20091102,UTA,HOU
Shot Chart Detail,0020900048,8,201166,Aaron Brooks,1610612745,Houston Rockets,1,11,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091102,UTA,HOU
Shot Chart Detail,0020900048,28,201166,Aaron Brooks,1610612745,Houston Rockets,1,9,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,149,151,1,1,20091102,UTA,HOU
Shot Chart Detail,0020900048,271,201166,Aaron Brooks,1610612745,Houston Rockets,3,11,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091102,UTA,HOU
Shot Chart Detail,0020900048,317,201166,Aaron Brooks,1610612745,Houston Rockets,3,5,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091102,UTA,HOU
Shot Chart Detail,0020900048,516,201166,Aaron Brooks,1610612745,Houston Rockets,4,1,43,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,-11,1,1,20091102,UTA,HOU
Shot Chart Detail,0020900066,69,201166,Aaron Brooks,1610612745,Houston Rockets,1,3,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091104,HOU,LAL
Shot Chart Detail,0020900066,272,201166,Aaron Brooks,1610612745,Houston Rockets,3,11,47,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-201,146,1,1,20091104,HOU,LAL
Shot Chart Detail,0020900066,336,201166,Aaron Brooks,1610612745,Houston Rockets,3,5,33,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,201,178,1,1,20091104,HOU,LAL
Shot Chart Detail,0020900066,480,201166,Aaron Brooks,1610612745,Houston Rockets,4,1,33,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,64,249,1,1,20091104,HOU,LAL
Shot Chart Detail,0020900066,563,201166,Aaron Brooks,1610612745,Houston Rockets,5,1,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091104,HOU,LAL
Shot Chart Detail,0020900081,251,201166,Aaron Brooks,1610612745,Houston Rockets,3,11,28,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,155,165,1,1,20091106,HOU,OKC
