GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900003,32,200750,Brandon Roy,1610612757,Portland Trail Blazers,1,8,31,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,133,140,1,1,20091027,POR,HOU
Shot Chart Detail,0020900003,46,200750,Brandon Roy,1610612757,Portland Trail Blazers,1,7,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,212,0,1,1,20091027,POR,HOU
Shot Chart Detail,0020900003,61,200750,Brandon Roy,1610612757,Portland Trail Blazers,1,5,8,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091027,POR,HOU
Shot Chart Detail,0020900003,374,200750,Brandon Roy,1610612757,Portland Trail Blazers,3,0,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091027,POR,HOU
Shot Chart Detail,0020900003,510,200750,Brandon Roy,1610612757,Portland Trail Blazers,4,1,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,37,184,1,1,20091027,POR,HOU
Shot Chart Detail,0020900018,238,200750,Brandon Roy,1610612757,Portland Trail Blazers,2,3,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,28,213,1,1,20091029,POR,DEN
Shot Chart Detail,0020900018,350,200750,Brandon Roy,1610612757,Portland Trail Blazers,3,5,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,26,197,1,1,20091029,POR,DEN
Shot Chart Detail,0020900018,369,200750,Brandon Roy,1610612757,Portland Trail Blazers,3,3,17,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-68,118,1,1,20091029,POR,DEN
Shot Chart Detail,0020900018,371,200750,Brandon Roy,1610612757,Portland Trail Blazers,3,2,43,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-228,31,1,1,20091029,POR,DEN
Shot Chart Detail,0020900018,413,200750,Brandon Roy,1610612757,Portland Trail Blazers,3,0,0,Made Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,130,249,1,1,20091029,POR,DEN
Shot Chart Detail,0020900018,563,200750,Brandon Roy,1610612757,Portland Trail Blazers,4,0,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091029,POR,DEN
Shot Chart Detail,0020900035,81,200750,Brandon Roy,1610612757,Portland Trail Blazers,1,2,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-79,241,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,87,200750,Brandon Roy,1610612757,Portland Trail Blazers,1,0,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-155,201,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,160,200750,Brandon Roy,1610612757,Portland Trail Blazers,2,5,59,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,12,192,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,196,200750,Brandon Roy,1610612757,Portland Trail Blazers,2,1,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-105,266,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,199,200750,Brandon Roy,1610612757,Portland Trail Blazers,2,1,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,95,236,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,282,200750,Brandon Roy,1610612757,Portland Trail Blazers,3,6,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,135,123,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,307,200750,Brandon Roy,1610612757,Portland Trail Blazers,3,3,56,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,25,244,56,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,309,200750,Brandon Roy,1610612757,Portland Trail Blazers,3,3,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,170,96,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,442,200750,Brandon Roy,1610612757,Portland Trail Blazers,4,5,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,448,200750,Brandon Roy,1610612757,Portland Trail Blazers,4,5,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,521,200750,Brandon Roy,1610612757,Portland Trail Blazers,4,0,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091031,HOU,POR
Shot Chart Detail,0020900035,545,200750,Brandon Roy,1610612757,Portland Trail Blazers,4,0,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-111,137,1,1,20091031,HOU,POR
Shot Chart Detail,0020900042,45,200750,Brandon Roy,1610612757,Portland Trail Blazers,1,6,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091101,OKC,POR
Shot Chart Detail,0020900042,157,200750,Brandon Roy,1610612757,Portland Trail Blazers,2,7,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,116,213,1,1,20091101,OKC,POR
