GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900011,32,201572,Brook Lopez,1610612751,New Jersey Nets,1,9,15,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,MIN,NJN
Shot Chart Detail,0020900011,46,201572,Brook Lopez,1610612751,New Jersey Nets,1,8,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,MIN,NJN
Shot Chart Detail,0020900011,84,201572,Brook Lopez,1610612751,New Jersey Nets,1,5,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,MIN,NJN
Shot Chart Detail,0020900011,93,201572,Brook Lopez,1610612751,New Jersey Nets,1,4,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-198,12,1,1,20091028,MIN,NJN
Shot Chart Detail,0020900011,117,201572,Brook Lopez,1610612751,New Jersey Nets,1,2,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,86,190,1,1,20091028,MIN,NJN
Shot Chart Detail,0020900011,194,201572,Brook Lopez,1610612751,New Jersey Nets,2,7,2,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,MIN,NJN
Shot Chart Detail,0020900011,284,201572,Brook Lopez,1610612751,New Jersey Nets,2,0,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,MIN,NJN
Shot Chart Detail,0020900011,312,201572,Brook Lopez,1610612751,New Jersey Nets,3,9,25,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,MIN,NJN
Shot Chart Detail,0020900011,335,201572,Brook Lopez,1610612751,New Jersey Nets,3,7,45,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,17,69,1,1,20091028,MIN,NJN
Shot Chart Detail,0020900011,348,201572,Brook Lopez,1610612751,New Jersey Nets,3,6,54,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,MIN,NJN
