GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900008,193,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,6,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,3,1,1,20091028,BOS,CHA
Shot Chart Detail,0020900008,199,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,5,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,6,1,1,20091028,BOS,CHA
Shot Chart Detail,0020900008,227,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,2,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,14,1,1,20091028,BOS,CHA
Shot Chart Detail,0020900019,93,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,3,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,CHA,NYK
Shot Chart Detail,0020900019,117,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,1,55,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,0,75,1,1,20091030,CHA,NYK
Shot Chart Detail,0020900019,194,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,6,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,CHA,NYK
Shot Chart Detail,0020900019,209,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,5,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,CHA,NYK
Shot Chart Detail,0020900033,33,2222,Gerald Wallace,1610612766,Charlotte Bobcats,1,6,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,189,3,1,1,20091031,CLE,CHA
Shot Chart Detail,0020900033,185,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,2,42,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,6,1,1,20091031,CLE,CHA
Shot Chart Detail,0020900033,195,2222,Gerald Wallace,1610612766,Charlotte Bobcats,2,1,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,25,1,1,20091031,CLE,CHA
