GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900005,367,2037,Jamal Crawford,1610612737,Atlanta Hawks,3,5,16,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-19,97,1,1,20091028,ATL,IND
Shot Chart Detail,0020900021,101,2037,Jamal Crawford,1610612737,Atlanta Hawks,1,2,2,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,4,89,1,1,20091030,ATL,WAS
Shot Chart Detail,0020900021,126,2037,Jamal Crawford,1610612737,Atlanta Hawks,1,0,1,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,6,1,1,20091030,ATL,WAS
Shot Chart Detail,0020900021,191,2037,Jamal Crawford,1610612737,Atlanta Hawks,2,6,26,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,19,1,1,20091030,ATL,WAS
Shot Chart Detail,0020900021,214,2037,Jamal Crawford,1610612737,Atlanta Hawks,2,4,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,10,194,1,1,20091030,ATL,WAS
Shot Chart Detail,0020900021,243,2037,Jamal Crawford,1610612737,Atlanta Hawks,2,2,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,34,0,1,1,20091030,ATL,WAS
Shot Chart Detail,0020900045,64,2037,Jamal Crawford,1610612737,Atlanta Hawks,1,3,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-141,118,1,1,20091101,LAL,ATL
Shot Chart Detail,0020900045,159,2037,Jamal Crawford,1610612737,Atlanta Hawks,2,8,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091101,LAL,ATL
Shot Chart Detail,0020900045,426,2037,Jamal Crawford,1610612737,Atlanta Hawks,4,9,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-105,86,1,1,20091101,LAL,ATL
Shot Chart Detail,0020900045,528,2037,Jamal Crawford,1610612737,Atlanta Hawks,4,1,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091101,LAL,ATL
Shot Chart Detail,0020900045,534,2037,Jamal Crawford,1610612737,Atlanta Hawks,4,0,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091101,LAL,ATL
Shot Chart Detail,0020900045,537,2037,Jamal Crawford,1610612737,Atlanta Hawks,4,0,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091101,LAL,ATL
Shot Chart Detail,0020900059,102,2037,Jamal Crawford,1610612737,Atlanta Hawks,1,0,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091103,POR,ATL
Shot Chart Detail,0020900059,123,2037,Jamal Crawford,1610612737,Atlanta Hawks,2,11,15,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,2,244,1,1,20091103,POR,ATL
Shot Chart Detail,0020900059,153,2037,Jamal Crawford,1610612737,Atlanta Hawks,2,7,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091103,POR,ATL
