GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900005,5,2746,Josh Smith,1610612737,Atlanta Hawks,1,11,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,ATL,IND
Shot Chart Detail,0020900005,25,2746,Josh Smith,1610612737,Atlanta Hawks,1,8,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,1,20091028,ATL,IND
Shot Chart Detail,0020900005,34,2746,Josh Smith,1610612737,Atlanta Hawks,1,7,57,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,3,1,1,20091028,ATL,IND
Shot Chart Detail,0020900005,53,2746,Josh Smith,1610612737,Atlanta Hawks,1,5,43,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,ATL,IND
Shot Chart Detail,0020900005,68,2746,Josh Smith,1610612737,Atlanta Hawks,1,2,31,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,ATL,IND
Shot Chart Detail,0020900005,200,2746,Josh Smith,1610612737,Atlanta Hawks,2,5,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,1,1,1,20091028,ATL,IND
Shot Chart Detail,0020900005,223,2746,Josh Smith,1610612737,Atlanta Hawks,2,3,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,-2,1,1,20091028,ATL,IND
Shot Chart Detail,0020900021,9,2746,Josh Smith,1610612737,Atlanta Hawks,1,10,54,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,ATL,WAS
Shot Chart Detail,0020900021,86,2746,Josh Smith,1610612737,Atlanta Hawks,1,3,19,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,0,1,1,20091030,ATL,WAS
Shot Chart Detail,0020900021,104,2746,Josh Smith,1610612737,Atlanta Hawks,1,1,38,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,ATL,WAS
Shot Chart Detail,0020900021,208,2746,Josh Smith,1610612737,Atlanta Hawks,2,5,9,Made Shot,Running Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,24,30,1,1,20091030,ATL,WAS
Shot Chart Detail,0020900021,464,2746,Josh Smith,1610612737,Atlanta Hawks,4,9,43,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,ATL,WAS
Shot Chart Detail,0020900021,512,2746,Josh Smith,1610612737,Atlanta Hawks,4,4,22,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,ATL,WAS
Shot Chart Detail,0020900021,535,2746,Josh Smith,1610612737,Atlanta Hawks,4,2,11,Made Shot,Running Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-35,3,1,1,20091030,ATL,WAS
Shot Chart Detail,0020900021,556,2746,Josh Smith,1610612737,Atlanta Hawks,4,0,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-155,42,1,1,20091030,ATL,WAS
Shot Chart Detail,0020900045,219,2746,Josh Smith,1610612737,Atlanta Hawks,2,4,40,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091101,LAL,ATL
Shot Chart Detail,0020900045,221,2746,Josh Smith,1610612737,Atlanta Hawks,2,4,11,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,99,94,1,1,20091101,LAL,ATL
Shot Chart Detail,0020900045,485,2746,Josh Smith,1610612737,Atlanta Hawks,4,4,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091101,LAL,ATL
Shot Chart Detail,0020900059,36,2746,Josh Smith,1610612737,Atlanta Hawks,1,7,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,141,157,1,1,20091103,POR,ATL
Shot Chart Detail,0020900059,183,2746,Josh Smith,1610612737,Atlanta Hawks,2,5,50,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,2,48,1,1,20091103,POR,ATL
Shot Chart Detail,0020900059,201,2746,Josh Smith,1610612737,Atlanta Hawks,2,3,26,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-23,48,1,1,20091103,POR,ATL
Shot Chart Detail,0020900059,220,2746,Josh Smith,1610612737,Atlanta Hawks,2,1,50,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091103,POR,ATL
Shot Chart Detail,0020900059,340,2746,Josh Smith,1610612737,Atlanta Hawks,3,1,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091103,POR,ATL
Shot Chart Detail,0020900059,394,2746,Josh Smith,1610612737,Atlanta Hawks,4,7,10,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091103,POR,ATL
Shot Chart Detail,0020900068,37,2746,Josh Smith,1610612737,Atlanta Hawks,1,7,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,157,36,1,1,20091104,SAC,ATL
Shot Chart Detail,0020900068,66,2746,Josh Smith,1610612737,Atlanta Hawks,1,3,54,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091104,SAC,ATL
Shot Chart Detail,0020900068,281,2746,Josh Smith,1610612737,Atlanta Hawks,3,9,30,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,18,83,1,1,20091104,SAC,ATL
Shot Chart Detail,0020900068,329,2746,Josh Smith,1610612737,Atlanta Hawks,3,4,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091104,SAC,ATL
Shot Chart Detail,0020900068,427,2746,Josh Smith,1610612737,Atlanta Hawks,4,9,39,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,17,1,1,20091104,SAC,ATL
Shot Chart Detail,0020900068,468,2746,Josh Smith,1610612737,Atlanta Hawks,4,5,38,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091104,SAC,ATL
Shot Chart Detail,0020900072,187,2746,Josh Smith,1610612737,Atlanta Hawks,2,4,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091106,CHA,ATL
Shot Chart Detail,0020900072,195,2746,Josh Smith,1610612737,Atlanta Hawks,2,3,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091106,CHA,ATL
