GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900010,147,201564,O.J. Mayo,1610612763,Memphis Grizzlies,2,10,15,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,MEM,DET
Shot Chart Detail,0020900010,229,201564,O.J. Mayo,1610612763,Memphis Grizzlies,2,2,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,MEM,DET
Shot Chart Detail,0020900025,8,201564,O.J. Mayo,1610612763,Memphis Grizzlies,1,10,59,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,156,73,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,93,201564,O.J. Mayo,1610612763,Memphis Grizzlies,1,2,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-40,153,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,95,201564,O.J. Mayo,1610612763,Memphis Grizzlies,1,1,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,163,58,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,282,201564,O.J. Mayo,1610612763,Memphis Grizzlies,3,9,22,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,-22,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,513,201564,O.J. Mayo,1610612763,Memphis Grizzlies,4,2,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-209,129,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,533,201564,O.J. Mayo,1610612763,Memphis Grizzlies,4,1,43,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,542,201564,O.J. Mayo,1610612763,Memphis Grizzlies,4,0,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,23,1,230,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900043,7,201564,O.J. Mayo,1610612763,Memphis Grizzlies,1,10,42,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,37,1,1,20091101,DEN,MEM
