GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900016,3,959,Steve Nash,1610612756,Phoenix Suns,1,11,25,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,184,959,Steve Nash,1610612756,Phoenix Suns,2,6,3,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,211,959,Steve Nash,1610612756,Phoenix Suns,2,3,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,185,26,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,309,959,Steve Nash,1610612756,Phoenix Suns,3,6,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,106,63,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,437,959,Steve Nash,1610612756,Phoenix Suns,4,7,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,50,195,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,487,959,Steve Nash,1610612756,Phoenix Suns,4,3,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,177,26,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,491,959,Steve Nash,1610612756,Phoenix Suns,4,2,47,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-123,107,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,499,959,Steve Nash,1610612756,Phoenix Suns,4,1,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,118,250,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900016,517,959,Steve Nash,1610612756,Phoenix Suns,4,0,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,LAC,PHX
Shot Chart Detail,0020900030,14,959,Steve Nash,1610612756,Phoenix Suns,1,10,5,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,PHX,GSW
Shot Chart Detail,0020900030,55,959,Steve Nash,1610612756,Phoenix Suns,1,5,30,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,PHX,GSW
Shot Chart Detail,0020900030,265,959,Steve Nash,1610612756,Phoenix Suns,2,0,52,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,13,64,1,1,20091030,PHX,GSW
Shot Chart Detail,0020900030,272,959,Steve Nash,1610612756,Phoenix Suns,2,0,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,195,159,1,1,20091030,PHX,GSW
Shot Chart Detail,0020900030,347,959,Steve Nash,1610612756,Phoenix Suns,3,5,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-136,209,1,1,20091030,PHX,GSW
Shot Chart Detail,0020900030,355,959,Steve Nash,1610612756,Phoenix Suns,3,4,59,Made Shot,Running Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-93,33,1,1,20091030,PHX,GSW
