GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900006,5,1713,Vince Carter,1610612753,Orlando Magic,1,11,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,121,116,1,1,20091028,ORL,PHI
Shot Chart Detail,0020900006,115,1713,Vince Carter,1610612753,Orlando Magic,1,0,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,43,249,1,1,20091028,ORL,PHI
Shot Chart Detail,0020900006,196,1713,Vince Carter,1610612753,Orlando Magic,2,4,19,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,ORL,PHI
Shot Chart Detail,0020900006,200,1713,Vince Carter,1610612753,Orlando Magic,2,3,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,165,197,1,1,20091028,ORL,PHI
Shot Chart Detail,0020900006,304,1713,Vince Carter,1610612753,Orlando Magic,3,5,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-199,163,1,1,20091028,ORL,PHI
Shot Chart Detail,0020900027,2,1713,Vince Carter,1610612753,Orlando Magic,1,11,49,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,NJN,ORL
Shot Chart Detail,0020900027,33,1713,Vince Carter,1610612753,Orlando Magic,1,8,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,NJN,ORL
Shot Chart Detail,0020900027,61,1713,Vince Carter,1610612753,Orlando Magic,1,6,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,185,159,1,1,20091030,NJN,ORL
Shot Chart Detail,0020900027,68,1713,Vince Carter,1610612753,Orlando Magic,1,5,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,147,126,1,1,20091030,NJN,ORL
Shot Chart Detail,0020900027,104,1713,Vince Carter,1610612753,Orlando Magic,1,1,54,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,NJN,ORL
Shot Chart Detail,0020900027,213,1713,Vince Carter,1610612753,Orlando Magic,2,3,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-46,249,1,1,20091030,NJN,ORL
Shot Chart Detail,0020900054,37,1713,Vince Carter,1610612753,Orlando Magic,1,7,16,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,18,126,1,1,20091103,DET,ORL
Shot Chart Detail,0020900054,64,1713,Vince Carter,1610612753,Orlando Magic,1,4,53,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-109,11,1,1,20091103,DET,ORL
Shot Chart Detail,0020900054,105,1713,Vince Carter,1610612753,Orlando Magic,1,0,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-19,197,1,1,20091103,DET,ORL
Shot Chart Detail,0020900054,239,1713,Vince Carter,1610612753,Orlando Magic,3,11,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-158,197,1,1,20091103,DET,ORL
Shot Chart Detail,0020900054,258,1713,Vince Carter,1610612753,Orlando Magic,3,9,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,33,1,1,20091103,DET,ORL
Shot Chart Detail,0020900054,282,1713,Vince Carter,1610612753,Orlando Magic,3,6,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,211,143,1,1,20091103,DET,ORL
Shot Chart Detail,0020900103,114,1713,Vince Carter,1610612753,Orlando Magic,2,9,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-220,110,1,1,20091110,CHA,ORL
Shot Chart Detail,0020900103,145,1713,Vince Carter,1610612753,Orlando Magic,2,6,4,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,242,28,1,1,20091110,CHA,ORL
