GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0020900010,48,2216,Zach Randolph,1610612763,Memphis Grizzlies,1,7,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,17,143,1,1,20091028,MEM,DET
Shot Chart Detail,0020900010,178,2216,Zach Randolph,1610612763,Memphis Grizzlies,2,7,57,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,9,52,1,1,20091028,MEM,DET
Shot Chart Detail,0020900010,193,2216,Zach Randolph,1610612763,Memphis Grizzlies,2,6,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-157,-5,1,1,20091028,MEM,DET
Shot Chart Detail,0020900010,237,2216,Zach Randolph,1610612763,Memphis Grizzlies,2,1,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091028,MEM,DET
Shot Chart Detail,0020900010,288,2216,Zach Randolph,1610612763,Memphis Grizzlies,3,8,53,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,20,56,1,1,20091028,MEM,DET
Shot Chart Detail,0020900010,417,2216,Zach Randolph,1610612763,Memphis Grizzlies,4,9,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,106,50,1,1,20091028,MEM,DET
Shot Chart Detail,0020900025,25,2216,Zach Randolph,1610612763,Memphis Grizzlies,1,8,56,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,76,2216,Zach Randolph,1610612763,Memphis Grizzlies,1,3,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,79,2216,Zach Randolph,1610612763,Memphis Grizzlies,1,3,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,160,2216,Zach Randolph,1610612763,Memphis Grizzlies,2,7,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,124,19,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,180,2216,Zach Randolph,1610612763,Memphis Grizzlies,2,6,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,202,2216,Zach Randolph,1610612763,Memphis Grizzlies,2,4,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,209,2216,Zach Randolph,1610612763,Memphis Grizzlies,2,3,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20091030,MEM,TOR
Shot Chart Detail,0020900025,269,2216,Zach Randolph,1610612763,Memphis Grizzlies,3,10,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-171,121,1,1,20091030,MEM,TOR
