GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000014,98,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,3,56,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,7,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,284,2546,Carmelo Anthony,1610612743,Denver Nuggets,2,3,32,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,12,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,321,2546,Carmelo Anthony,1610612743,Denver Nuggets,2,1,3,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,15,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,325,2546,Carmelo Anthony,1610612743,Denver Nuggets,2,0,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,77,184,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,350,2546,Carmelo Anthony,1610612743,Denver Nuggets,3,11,31,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,152,20,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,359,2546,Carmelo Anthony,1610612743,Denver Nuggets,3,10,24,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,4,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,539,2546,Carmelo Anthony,1610612743,Denver Nuggets,4,6,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,189,66,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000027,6,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,11,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,193,156,1,1,20101029,NOH,DEN
Shot Chart Detail,0021000027,99,2546,Carmelo Anthony,1610612743,Denver Nuggets,1,1,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-146,85,1,1,20101029,NOH,DEN
Shot Chart Detail,0021000027,247,2546,Carmelo Anthony,1610612743,Denver Nuggets,2,2,17,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,11,1,1,20101029,NOH,DEN
Shot Chart Detail,0021000027,320,2546,Carmelo Anthony,1610612743,Denver Nuggets,3,9,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,97,135,1,1,20101029,NOH,DEN
Shot Chart Detail,0021000027,323,2546,Carmelo Anthony,1610612743,Denver Nuggets,3,8,45,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,108,148,1,1,20101029,NOH,DEN
Shot Chart Detail,0021000027,332,2546,Carmelo Anthony,1610612743,Denver Nuggets,3,7,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-5,1,1,20101029,NOH,DEN
