GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000014,131,1497,Chauncey Billups,1610612743,Denver Nuggets,1,1,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-109,162,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000014,378,1497,Chauncey Billups,1610612743,Denver Nuggets,3,9,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,3,1,1,20101027,DEN,UTA
Shot Chart Detail,0021000027,16,1497,Chauncey Billups,1610612743,Denver Nuggets,1,9,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-19,30,1,1,20101029,NOH,DEN
Shot Chart Detail,0021000027,41,1497,Chauncey Billups,1610612743,Denver Nuggets,1,6,23,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,36,22,1,1,20101029,NOH,DEN
Shot Chart Detail,0021000027,357,1497,Chauncey Billups,1610612743,Denver Nuggets,3,3,23,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-100,0,1,1,20101029,NOH,DEN
Shot Chart Detail,0021000027,500,1497,Chauncey Billups,1610612743,Denver Nuggets,4,1,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,9,1,1,20101029,NOH,DEN
Shot Chart Detail,0021000027,535,1497,Chauncey Billups,1610612743,Denver Nuggets,4,0,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,-2,1,1,20101029,NOH,DEN
Shot Chart Detail,0021000037,536,1497,Chauncey Billups,1610612743,Denver Nuggets,4,4,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-127,213,1,1,20101030,HOU,DEN
Shot Chart Detail,0021000051,64,1497,Chauncey Billups,1610612752,New York Knicks,1,4,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,215,142,1,1,20110328,NYK,ORL
Shot Chart Detail,0021000051,266,1497,Chauncey Billups,1610612752,New York Knicks,2,0,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,1,1,1,20110328,NYK,ORL
Shot Chart Detail,0021000051,485,1497,Chauncey Billups,1610612752,New York Knicks,4,5,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,80,236,1,1,20110328,NYK,ORL
Shot Chart Detail,0021000051,572,1497,Chauncey Billups,1610612752,New York Knicks,5,3,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-105,225,1,1,20110328,NYK,ORL
Shot Chart Detail,0021000060,12,1497,Chauncey Billups,1610612743,Denver Nuggets,1,9,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-153,201,1,1,20101103,DEN,DAL
Shot Chart Detail,0021000060,71,1497,Chauncey Billups,1610612743,Denver Nuggets,1,3,38,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,25,1,1,20101103,DEN,DAL
Shot Chart Detail,0021000060,84,1497,Chauncey Billups,1610612743,Denver Nuggets,1,2,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-182,179,1,1,20101103,DEN,DAL
Shot Chart Detail,0021000060,273,1497,Chauncey Billups,1610612743,Denver Nuggets,2,0,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-134,231,1,1,20101103,DEN,DAL
Shot Chart Detail,0021000060,364,1497,Chauncey Billups,1610612743,Denver Nuggets,3,3,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,185,178,1,1,20101103,DEN,DAL
Shot Chart Detail,0021000077,71,1497,Chauncey Billups,1610612743,Denver Nuggets,1,4,7,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,17,1,1,20101105,DEN,LAC
Shot Chart Detail,0021000077,207,1497,Chauncey Billups,1610612743,Denver Nuggets,2,3,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-182,172,1,1,20101105,DEN,LAC
Shot Chart Detail,0021000077,271,1497,Chauncey Billups,1610612743,Denver Nuggets,3,10,31,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,28,1,1,20101105,DEN,LAC
Shot Chart Detail,0021000077,283,1497,Chauncey Billups,1610612743,Denver Nuggets,3,9,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,4,1,1,20101105,DEN,LAC
Shot Chart Detail,0021000085,38,1497,Chauncey Billups,1610612743,Denver Nuggets,1,7,32,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-164,20,1,1,20101106,DAL,DEN
Shot Chart Detail,0021000085,84,1497,Chauncey Billups,1610612743,Denver Nuggets,1,3,30,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,4,1,1,20101106,DAL,DEN
Shot Chart Detail,0021000085,210,1497,Chauncey Billups,1610612743,Denver Nuggets,2,3,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,111,233,1,1,20101106,DAL,DEN
Shot Chart Detail,0021000085,412,1497,Chauncey Billups,1610612743,Denver Nuggets,4,9,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-19,261,1,1,20101106,DAL,DEN
Shot Chart Detail,0021000085,445,1497,Chauncey Billups,1610612743,Denver Nuggets,4,5,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-160,179,1,1,20101106,DAL,DEN
Shot Chart Detail,0021000098,47,1497,Chauncey Billups,1610612743,Denver Nuggets,1,6,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-179,173,1,1,20101108,CHI,DEN
Shot Chart Detail,0021000098,90,1497,Chauncey Billups,1610612743,Denver Nuggets,1,1,32,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,-10,1,1,20101108,CHI,DEN
Shot Chart Detail,0021000098,287,1497,Chauncey Billups,1610612743,Denver Nuggets,3,10,22,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,61,89,1,1,20101108,CHI,DEN
Shot Chart Detail,0021000098,289,1497,Chauncey Billups,1610612743,Denver Nuggets,3,9,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,1,20101108,CHI,DEN
Shot Chart Detail,0021000098,464,1497,Chauncey Billups,1610612743,Denver Nuggets,4,6,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-111,173,1,1,20101108,CHI,DEN
Shot Chart Detail,0021000101,205,1497,Chauncey Billups,1610612743,Denver Nuggets,2,5,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,179,201,1,1,20101109,IND,DEN
Shot Chart Detail,0021000101,245,1497,Chauncey Billups,1610612743,Denver Nuggets,2,1,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20101109,IND,DEN
Shot Chart Detail,0021000101,262,1497,Chauncey Billups,1610612743,Denver Nuggets,3,10,40,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,1,1,1,20101109,IND,DEN
Shot Chart Detail,0021000120,30,1497,Chauncey Billups,1610612743,Denver Nuggets,1,8,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,195,23,1,1,20101111,DEN,LAL
Shot Chart Detail,0021000120,284,1497,Chauncey Billups,1610612743,Denver Nuggets,2,2,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,201,146,1,1,20101111,DEN,LAL
Shot Chart Detail,0021000120,388,1497,Chauncey Billups,1610612743,Denver Nuggets,3,4,20,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,59,110,1,1,20101111,DEN,LAL
Shot Chart Detail,0021000147,151,1497,Chauncey Billups,1610612743,Denver Nuggets,2,11,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,9,1,1,20101115,PHX,DEN
Shot Chart Detail,0021000147,154,1497,Chauncey Billups,1610612743,Denver Nuggets,2,10,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20101115,PHX,DEN
Shot Chart Detail,0021000147,482,1497,Chauncey Billups,1610612743,Denver Nuggets,4,5,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-2,1,1,20101115,PHX,DEN
Shot Chart Detail,0021000147,520,1497,Chauncey Billups,1610612743,Denver Nuggets,4,2,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,173,176,1,1,20101115,PHX,DEN
Shot Chart Detail,0021000157,25,1497,Chauncey Billups,1610612743,Denver Nuggets,1,9,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,171,91,1,1,20101116,DEN,NYK
Shot Chart Detail,0021000157,367,1497,Chauncey Billups,1610612743,Denver Nuggets,3,8,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,23,165,167,1,1,20101116,DEN,NYK
Shot Chart Detail,0021000157,464,1497,Chauncey Billups,1610612743,Denver Nuggets,3,0,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,1,1,1,20101116,DEN,NYK
Shot Chart Detail,0021000157,594,1497,Chauncey Billups,1610612743,Denver Nuggets,4,2,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-187,71,1,1,20101116,DEN,NYK
Shot Chart Detail,0021000170,297,1497,Chauncey Billups,1610612743,Denver Nuggets,3,7,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,0,258,1,1,20101118,POR,DEN
Shot Chart Detail,0021000170,367,1497,Chauncey Billups,1610612743,Denver Nuggets,3,0,35,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,15,1,1,20101118,POR,DEN
Shot Chart Detail,0021000170,481,1497,Chauncey Billups,1610612743,Denver Nuggets,4,2,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-164,189,1,1,20101118,POR,DEN
Shot Chart Detail,0021000188,19,1497,Chauncey Billups,1610612743,Denver Nuggets,1,10,17,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,28,1,1,20101120,DEN,NJN
Shot Chart Detail,0021000248,57,1497,Chauncey Billups,1610612743,Denver Nuggets,1,7,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,12,160,1,1,20101128,DEN,PHX
Shot Chart Detail,0021000248,76,1497,Chauncey Billups,1610612743,Denver Nuggets,1,5,35,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,25,1,1,20101128,DEN,PHX
Shot Chart Detail,0021000248,265,1497,Chauncey Billups,1610612743,Denver Nuggets,2,1,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-161,192,1,1,20101128,DEN,PHX
Shot Chart Detail,0021000248,309,1497,Chauncey Billups,1610612743,Denver Nuggets,3,9,32,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,12,1,1,20101128,DEN,PHX
Shot Chart Detail,0021000248,398,1497,Chauncey Billups,1610612743,Denver Nuggets,3,3,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,54,244,1,1,20101128,DEN,PHX
Shot Chart Detail,0021000248,403,1497,Chauncey Billups,1610612743,Denver Nuggets,3,2,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-134,224,1,1,20101128,DEN,PHX
Shot Chart Detail,0021000248,470,1497,Chauncey Billups,1610612743,Denver Nuggets,4,10,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,214,146,1,1,20101128,DEN,PHX
Shot Chart Detail,0021000248,575,1497,Chauncey Billups,1610612743,Denver Nuggets,4,1,16,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,1,1,1,20101128,DEN,PHX
Shot Chart Detail,0021000270,43,1497,Chauncey Billups,1610612743,Denver Nuggets,1,6,0,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-144,4,1,1,20101201,DEN,MIL
Shot Chart Detail,0021000270,391,1497,Chauncey Billups,1610612743,Denver Nuggets,3,2,7,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,24,48,1,1,20101201,DEN,MIL
Shot Chart Detail,0021000270,486,1497,Chauncey Billups,1610612743,Denver Nuggets,4,7,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,204,156,1,1,20101201,DEN,MIL
Shot Chart Detail,0021000270,548,1497,Chauncey Billups,1610612743,Denver Nuggets,4,2,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,4,1,1,20101201,DEN,MIL
Shot Chart Detail,0021000284,236,1497,Chauncey Billups,1610612743,Denver Nuggets,2,6,9,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,245,25,1,1,20101203,DEN,LAC
Shot Chart Detail,0021000284,387,1497,Chauncey Billups,1610612743,Denver Nuggets,3,7,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,129,217,1,1,20101203,DEN,LAC
Shot Chart Detail,0021000284,422,1497,Chauncey Billups,1610612743,Denver Nuggets,3,3,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,19,1,1,20101203,DEN,LAC
Shot Chart Detail,0021000299,101,1497,Chauncey Billups,1610612743,Denver Nuggets,1,3,38,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,1,1,1,20101205,DEN,MEM
Shot Chart Detail,0021000299,214,1497,Chauncey Billups,1610612743,Denver Nuggets,2,4,36,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,33,1,1,20101205,DEN,MEM
Shot Chart Detail,0021000310,76,1497,Chauncey Billups,1610612743,Denver Nuggets,1,4,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,23,1,1,20101207,CHA,DEN
Shot Chart Detail,0021000310,262,1497,Chauncey Billups,1610612743,Denver Nuggets,2,0,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,127,233,1,1,20101207,CHA,DEN
Shot Chart Detail,0021000310,297,1497,Chauncey Billups,1610612743,Denver Nuggets,3,10,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,105,230,1,1,20101207,CHA,DEN
Shot Chart Detail,0021000310,444,1497,Chauncey Billups,1610612743,Denver Nuggets,4,7,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,83,247,1,1,20101207,CHA,DEN
Shot Chart Detail,0021000310,462,1497,Chauncey Billups,1610612743,Denver Nuggets,4,5,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,103,246,1,1,20101207,CHA,DEN
Shot Chart Detail,0021000316,194,1497,Chauncey Billups,1610612743,Denver Nuggets,2,4,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,111,222,1,1,20101208,BOS,DEN
Shot Chart Detail,0021000316,482,1497,Chauncey Billups,1610612743,Denver Nuggets,4,2,50,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,3,1,1,20101208,BOS,DEN
Shot Chart Detail,0021000331,8,1497,Chauncey Billups,1610612743,Denver Nuggets,1,11,2,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-120,148,1,1,20101210,TOR,DEN
Shot Chart Detail,0021000331,35,1497,Chauncey Billups,1610612743,Denver Nuggets,1,8,10,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-68,238,1,1,20101210,TOR,DEN
Shot Chart Detail,0021000331,103,1497,Chauncey Billups,1610612743,Denver Nuggets,1,1,42,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,58,36,1,1,20101210,TOR,DEN
Shot Chart Detail,0021000331,143,1497,Chauncey Billups,1610612743,Denver Nuggets,2,11,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-111,213,1,1,20101210,TOR,DEN
Shot Chart Detail,0021000349,517,1497,Chauncey Billups,1610612743,Denver Nuggets,4,1,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,163,194,1,1,20101212,NYK,DEN
Shot Chart Detail,0021000428,4,1497,Chauncey Billups,1610612743,Denver Nuggets,1,11,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,124,118,1,1,20101222,SAS,DEN
Shot Chart Detail,0021000428,191,1497,Chauncey Billups,1610612743,Denver Nuggets,2,4,7,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,70,9,1,1,20101222,SAS,DEN
Shot Chart Detail,0021000428,222,1497,Chauncey Billups,1610612743,Denver Nuggets,2,1,23,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,12,1,1,20101222,SAS,DEN
Shot Chart Detail,0021000428,412,1497,Chauncey Billups,1610612743,Denver Nuggets,4,5,35,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,73,50,1,1,20101222,SAS,DEN
Shot Chart Detail,0021000436,17,1497,Chauncey Billups,1610612743,Denver Nuggets,1,10,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-152,101,1,1,20101225,OKC,DEN
Shot Chart Detail,0021000436,49,1497,Chauncey Billups,1610612743,Denver Nuggets,1,6,1,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,135,26,1,1,20101225,OKC,DEN
Shot Chart Detail,0021000436,52,1497,Chauncey Billups,1610612743,Denver Nuggets,1,5,31,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,163,15,1,1,20101225,OKC,DEN
Shot Chart Detail,0021000436,91,1497,Chauncey Billups,1610612743,Denver Nuggets,1,3,8,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-150,9,1,1,20101225,OKC,DEN
Shot Chart Detail,0021000436,106,1497,Chauncey Billups,1610612743,Denver Nuggets,1,2,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,162,184,1,1,20101225,OKC,DEN
Shot Chart Detail,0021000436,299,1497,Chauncey Billups,1610612743,Denver Nuggets,3,8,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,7,1,1,20101225,OKC,DEN
Shot Chart Detail,0021000436,318,1497,Chauncey Billups,1610612743,Denver Nuggets,3,7,21,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-5,1,1,20101225,OKC,DEN
Shot Chart Detail,0021000436,325,1497,Chauncey Billups,1610612743,Denver Nuggets,3,6,41,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,0,1,1,20101225,OKC,DEN
Shot Chart Detail,0021000436,452,1497,Chauncey Billups,1610612743,Denver Nuggets,4,8,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-35,241,1,1,20101225,OKC,DEN
Shot Chart Detail,0021000436,519,1497,Chauncey Billups,1610612743,Denver Nuggets,4,1,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,102,219,1,1,20101225,OKC,DEN
Shot Chart Detail,0021000444,11,1497,Chauncey Billups,1610612743,Denver Nuggets,1,10,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,168,198,1,1,20101226,DEN,PHI
