GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000011,34,201565,Derrick Rose,1610612741,Chicago Bulls,1,8,49,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,4,1,1,20101027,OKC,CHI
Shot Chart Detail,0021000011,39,201565,Derrick Rose,1610612741,Chicago Bulls,1,8,8,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,4,1,1,20101027,OKC,CHI
Shot Chart Detail,0021000011,47,201565,Derrick Rose,1610612741,Chicago Bulls,1,7,27,Made Shot,Driving Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,36,11,1,1,20101027,OKC,CHI
Shot Chart Detail,0021000011,56,201565,Derrick Rose,1610612741,Chicago Bulls,1,6,51,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,146,4,1,1,20101027,OKC,CHI
Shot Chart Detail,0021000011,88,201565,Derrick Rose,1610612741,Chicago Bulls,1,4,27,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,4,1,1,20101027,OKC,CHI
Shot Chart Detail,0021000011,191,201565,Derrick Rose,1610612741,Chicago Bulls,2,7,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,7,1,1,20101027,OKC,CHI
Shot Chart Detail,0021000011,244,201565,Derrick Rose,1610612741,Chicago Bulls,2,3,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,3,1,1,20101027,OKC,CHI
Shot Chart Detail,0021000011,277,201565,Derrick Rose,1610612741,Chicago Bulls,2,0,52,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,89,58,1,1,20101027,OKC,CHI
Shot Chart Detail,0021000011,303,201565,Derrick Rose,1610612741,Chicago Bulls,3,11,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-106,151,1,1,20101027,OKC,CHI
Shot Chart Detail,0021000011,319,201565,Derrick Rose,1610612741,Chicago Bulls,3,9,43,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,43,33,1,1,20101027,OKC,CHI
