GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021000002,8,2202,Jason Richardson,1610612756,Phoenix Suns,1,10,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,159,187,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,10,2202,Jason Richardson,1610612756,Phoenix Suns,1,10,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,12,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,28,2202,Jason Richardson,1610612756,Phoenix Suns,1,7,58,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,11,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,87,2202,Jason Richardson,1610612756,Phoenix Suns,1,1,37,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,6,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,193,2202,Jason Richardson,1610612756,Phoenix Suns,2,4,43,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-226,61,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,269,2202,Jason Richardson,1610612756,Phoenix Suns,3,10,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,281,2202,Jason Richardson,1610612756,Phoenix Suns,3,9,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,147,66,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,292,2202,Jason Richardson,1610612756,Phoenix Suns,3,8,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,4,1,1,20101026,POR,PHX
Shot Chart Detail,0021000002,336,2202,Jason Richardson,1610612756,Phoenix Suns,3,4,10,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,7,1,1,20101026,POR,PHX
Shot Chart Detail,0021000018,228,2202,Jason Richardson,1610612756,Phoenix Suns,2,5,35,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-18,44,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,255,2202,Jason Richardson,1610612756,Phoenix Suns,2,3,37,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,3,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,261,2202,Jason Richardson,1610612756,Phoenix Suns,2,3,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,7,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,295,2202,Jason Richardson,1610612756,Phoenix Suns,2,0,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-123,206,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,298,2202,Jason Richardson,1610612756,Phoenix Suns,2,0,0,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,4,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,366,2202,Jason Richardson,1610612756,Phoenix Suns,3,5,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-81,181,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000018,539,2202,Jason Richardson,1610612756,Phoenix Suns,4,2,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,225,89,1,1,20101028,UTA,PHX
Shot Chart Detail,0021000030,14,2202,Jason Richardson,1610612756,Phoenix Suns,1,10,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,70,247,1,1,20101029,PHX,LAL
Shot Chart Detail,0021000030,232,2202,Jason Richardson,1610612756,Phoenix Suns,3,11,16,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,17,1,1,20101029,PHX,LAL
Shot Chart Detail,0021000030,240,2202,Jason Richardson,1610612756,Phoenix Suns,3,10,34,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,7,1,1,20101029,PHX,LAL
Shot Chart Detail,0021000030,274,2202,Jason Richardson,1610612756,Phoenix Suns,3,6,3,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,31,1,1,20101029,PHX,LAL
Shot Chart Detail,0021000030,462,2202,Jason Richardson,1610612756,Phoenix Suns,4,0,55,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-221,30,1,1,20101029,PHX,LAL
Shot Chart Detail,0021000030,472,2202,Jason Richardson,1610612756,Phoenix Suns,4,0,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-212,151,1,1,20101029,PHX,LAL
Shot Chart Detail,0021000051,16,2202,Jason Richardson,1610612753,Orlando Magic,1,9,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,6,1,1,20110328,NYK,ORL
Shot Chart Detail,0021000051,42,2202,Jason Richardson,1610612753,Orlando Magic,1,7,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,135,179,1,1,20110328,NYK,ORL
Shot Chart Detail,0021000051,59,2202,Jason Richardson,1610612753,Orlando Magic,1,5,6,Made Shot,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,1,1,1,20110328,NYK,ORL
Shot Chart Detail,0021000051,169,2202,Jason Richardson,1610612753,Orlando Magic,2,7,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-157,88,1,1,20110328,NYK,ORL
Shot Chart Detail,0021000051,182,2202,Jason Richardson,1610612753,Orlando Magic,2,5,58,Made Shot,Reverse Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,1,20110328,NYK,ORL
Shot Chart Detail,0021000051,241,2202,Jason Richardson,1610612753,Orlando Magic,2,1,43,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,0,1,1,20110328,NYK,ORL
Shot Chart Detail,0021000051,309,2202,Jason Richardson,1610612753,Orlando Magic,3,8,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-171,165,1,1,20110328,NYK,ORL
