GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100050,18,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,10,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,20,1,1,20111231,LAL,DEN
Shot Chart Detail,0021100050,37,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,8,30,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,39,55,1,1,20111231,LAL,DEN
Shot Chart Detail,0021100050,54,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,5,47,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-5,1,1,20111231,LAL,DEN
Shot Chart Detail,0021100050,105,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,1,10,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-16,48,1,1,20111231,LAL,DEN
Shot Chart Detail,0021100050,228,101115,Andrew Bynum,1610612747,Los Angeles Lakers,2,1,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,14,1,1,20111231,LAL,DEN
Shot Chart Detail,0021100050,290,101115,Andrew Bynum,1610612747,Los Angeles Lakers,3,9,45,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20111231,LAL,DEN
Shot Chart Detail,0021100050,309,101115,Andrew Bynum,1610612747,Los Angeles Lakers,3,8,8,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20111231,LAL,DEN
Shot Chart Detail,0021100050,325,101115,Andrew Bynum,1610612747,Los Angeles Lakers,3,6,43,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,14,1,1,20111231,LAL,DEN
Shot Chart Detail,0021100050,394,101115,Andrew Bynum,1610612747,Los Angeles Lakers,4,11,37,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,1,20111231,LAL,DEN
Shot Chart Detail,0021100050,402,101115,Andrew Bynum,1610612747,Los Angeles Lakers,4,10,32,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,15,1,1,20111231,LAL,DEN
Shot Chart Detail,0021100050,461,101115,Andrew Bynum,1610612747,Los Angeles Lakers,4,4,18,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-46,19,1,1,20111231,LAL,DEN
Shot Chart Detail,0021100050,472,101115,Andrew Bynum,1610612747,Los Angeles Lakers,4,3,23,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,23,1,1,20111231,LAL,DEN
Shot Chart Detail,0021100050,497,101115,Andrew Bynum,1610612747,Los Angeles Lakers,4,1,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,4,1,1,20111231,LAL,DEN
Shot Chart Detail,0021100063,36,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,9,21,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,3,1,1,20120101,DEN,LAL
Shot Chart Detail,0021100063,61,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,7,10,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,1,1,1,20120101,DEN,LAL
Shot Chart Detail,0021100063,335,101115,Andrew Bynum,1610612747,Los Angeles Lakers,3,9,30,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,20,1,1,20120101,DEN,LAL
Shot Chart Detail,0021100063,340,101115,Andrew Bynum,1610612747,Los Angeles Lakers,3,8,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,14,1,1,20120101,DEN,LAL
Shot Chart Detail,0021100063,350,101115,Andrew Bynum,1610612747,Los Angeles Lakers,3,8,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,6,1,1,20120101,DEN,LAL
Shot Chart Detail,0021100063,417,101115,Andrew Bynum,1610612747,Los Angeles Lakers,3,1,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,9,1,1,20120101,DEN,LAL
Shot Chart Detail,0021100063,458,101115,Andrew Bynum,1610612747,Los Angeles Lakers,4,9,55,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-65,20,1,1,20120101,DEN,LAL
Shot Chart Detail,0021100081,14,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,10,9,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,22,1,1,20120103,LAL,HOU
Shot Chart Detail,0021100081,55,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,6,17,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,26,63,1,1,20120103,LAL,HOU
Shot Chart Detail,0021100081,127,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,0,31,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,25,1,1,20120103,LAL,HOU
Shot Chart Detail,0021100081,228,101115,Andrew Bynum,1610612747,Los Angeles Lakers,2,3,18,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,23,1,1,20120103,LAL,HOU
Shot Chart Detail,0021100081,254,101115,Andrew Bynum,1610612747,Los Angeles Lakers,2,0,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,15,1,1,20120103,LAL,HOU
Shot Chart Detail,0021100081,320,101115,Andrew Bynum,1610612747,Los Angeles Lakers,3,4,40,Made Shot,Alley Oop Layup shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-5,41,1,1,20120103,LAL,HOU
Shot Chart Detail,0021100081,368,101115,Andrew Bynum,1610612747,Los Angeles Lakers,4,11,46,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-2,47,1,1,20120103,LAL,HOU
Shot Chart Detail,0021100081,482,101115,Andrew Bynum,1610612747,Los Angeles Lakers,4,0,36,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,19,1,1,20120103,LAL,HOU
Shot Chart Detail,0021100097,5,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,10,56,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-48,12,1,1,20120105,POR,LAL
Shot Chart Detail,0021100097,31,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,6,57,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20120105,POR,LAL
Shot Chart Detail,0021100097,36,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,5,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,17,1,1,20120105,POR,LAL
Shot Chart Detail,0021100097,38,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,5,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,26,1,1,20120105,POR,LAL
Shot Chart Detail,0021100097,95,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,0,35,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,0,1,1,20120105,POR,LAL
Shot Chart Detail,0021100097,221,101115,Andrew Bynum,1610612747,Los Angeles Lakers,2,1,43,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,3,1,1,20120105,POR,LAL
Shot Chart Detail,0021100097,235,101115,Andrew Bynum,1610612747,Los Angeles Lakers,2,0,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,1,1,1,20120105,POR,LAL
Shot Chart Detail,0021100097,243,101115,Andrew Bynum,1610612747,Los Angeles Lakers,3,11,21,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,6,48,1,1,20120105,POR,LAL
Shot Chart Detail,0021100097,342,101115,Andrew Bynum,1610612747,Los Angeles Lakers,3,1,38,Made Shot,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-4,30,1,1,20120105,POR,LAL
Shot Chart Detail,0021100109,2,101115,Andrew Bynum,1610612747,Los Angeles Lakers,1,11,47,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,-5,1,1,20120106,LAL,GSW
Shot Chart Detail,0021100109,431,101115,Andrew Bynum,1610612747,Los Angeles Lakers,4,8,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,4,1,1,20120106,LAL,GSW
Shot Chart Detail,0021100109,458,101115,Andrew Bynum,1610612747,Los Angeles Lakers,4,6,39,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,1,1,1,20120106,LAL,GSW
