GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100012,253,201167,Arron Afflalo,1610612743,Denver Nuggets,3,10,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-207,33,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,302,201167,Arron Afflalo,1610612743,Denver Nuggets,3,6,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-60,187,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,304,201167,Arron Afflalo,1610612743,Denver Nuggets,3,5,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-136,201,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,480,201167,Arron Afflalo,1610612743,Denver Nuggets,4,4,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-185,39,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100030,157,201167,Arron Afflalo,1610612743,Denver Nuggets,2,10,44,Made Shot,Fadeaway Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,69,17,1,1,20111228,DEN,UTA
Shot Chart Detail,0021100030,183,201167,Arron Afflalo,1610612743,Denver Nuggets,2,8,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,-2,1,1,20111228,DEN,UTA
Shot Chart Detail,0021100030,194,201167,Arron Afflalo,1610612743,Denver Nuggets,2,7,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,105,33,1,1,20111228,DEN,UTA
Shot Chart Detail,0021100030,317,201167,Arron Afflalo,1610612743,Denver Nuggets,3,7,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,14,1,1,20111228,DEN,UTA
Shot Chart Detail,0021100037,3,201167,Arron Afflalo,1610612743,Denver Nuggets,1,11,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,9,1,1,20111229,POR,DEN
Shot Chart Detail,0021100037,29,201167,Arron Afflalo,1610612743,Denver Nuggets,1,9,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,4,1,1,20111229,POR,DEN
Shot Chart Detail,0021100037,368,201167,Arron Afflalo,1610612743,Denver Nuggets,3,5,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-202,14,1,1,20111229,POR,DEN
Shot Chart Detail,0021100037,423,201167,Arron Afflalo,1610612743,Denver Nuggets,3,0,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,12,1,1,20111229,POR,DEN
Shot Chart Detail,0021100037,449,201167,Arron Afflalo,1610612743,Denver Nuggets,4,9,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,12,1,1,20111229,POR,DEN
Shot Chart Detail,0021100037,551,201167,Arron Afflalo,1610612743,Denver Nuggets,4,0,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,1,20111229,POR,DEN
Shot Chart Detail,0021100050,36,201167,Arron Afflalo,1610612743,Denver Nuggets,1,8,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,-193,118,1,1,20111231,LAL,DEN
Shot Chart Detail,0021100050,179,201167,Arron Afflalo,1610612743,Denver Nuggets,2,6,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-19,244,1,1,20111231,LAL,DEN
