GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100002,244,2547,Chris Bosh,1610612748,Miami Heat,2,5,14,Made Shot,Driving Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-2,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,250,2547,Chris Bosh,1610612748,Miami Heat,2,4,41,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-52,20,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100019,9,2547,Chris Bosh,1610612748,Miami Heat,1,11,35,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,29,41,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100019,48,2547,Chris Bosh,1610612748,Miami Heat,1,6,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,70,252,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100019,211,2547,Chris Bosh,1610612748,Miami Heat,2,6,17,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,14,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100019,294,2547,Chris Bosh,1610612748,Miami Heat,2,0,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,14,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100019,335,2547,Chris Bosh,1610612748,Miami Heat,3,9,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,11,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100019,340,2547,Chris Bosh,1610612748,Miami Heat,3,7,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,6,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100019,367,2547,Chris Bosh,1610612748,Miami Heat,3,4,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,20,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100019,504,2547,Chris Bosh,1610612748,Miami Heat,4,5,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,7,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100024,57,2547,Chris Bosh,1610612748,Miami Heat,1,6,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-87,146,1,1,20111228,CHA,MIA
Shot Chart Detail,0021100024,63,2547,Chris Bosh,1610612748,Miami Heat,1,4,46,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-10,64,1,1,20111228,CHA,MIA
