GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100002,13,2548,Dwyane Wade,1610612748,Miami Heat,1,10,30,Made Shot,Running Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-5,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,30,2548,Dwyane Wade,1610612748,Miami Heat,1,9,11,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,0,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,74,2548,Dwyane Wade,1610612748,Miami Heat,1,5,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,0,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,208,2548,Dwyane Wade,1610612748,Miami Heat,2,8,58,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,216,2548,Dwyane Wade,1610612748,Miami Heat,2,7,50,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,127,131,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,241,2548,Dwyane Wade,1610612748,Miami Heat,2,5,39,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,0,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,358,2548,Dwyane Wade,1610612748,Miami Heat,3,10,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-93,3,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,360,2548,Dwyane Wade,1610612748,Miami Heat,3,9,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,379,2548,Dwyane Wade,1610612748,Miami Heat,3,8,24,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-2,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,392,2548,Dwyane Wade,1610612748,Miami Heat,3,6,50,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-120,140,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,546,2548,Dwyane Wade,1610612748,Miami Heat,4,5,39,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,83,11,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100019,27,2548,Dwyane Wade,1610612748,Miami Heat,1,8,28,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-49,88,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100019,70,2548,Dwyane Wade,1610612748,Miami Heat,1,5,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,14,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100019,77,2548,Dwyane Wade,1610612748,Miami Heat,1,5,23,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-62,36,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100019,160,2548,Dwyane Wade,1610612748,Miami Heat,2,10,14,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,11,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100019,338,2548,Dwyane Wade,1610612748,Miami Heat,3,8,34,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-23,33,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100019,344,2548,Dwyane Wade,1610612748,Miami Heat,3,7,26,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,4,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100019,369,2548,Dwyane Wade,1610612748,Miami Heat,3,4,26,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-130,-3,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100019,492,2548,Dwyane Wade,1610612748,Miami Heat,4,6,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,9,1,1,20111227,MIA,BOS
Shot Chart Detail,0021100024,40,2548,Dwyane Wade,1610612748,Miami Heat,1,8,0,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,6,1,1,20111228,CHA,MIA
Shot Chart Detail,0021100024,142,2548,Dwyane Wade,1610612748,Miami Heat,2,9,44,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,108,30,1,1,20111228,CHA,MIA
Shot Chart Detail,0021100024,392,2548,Dwyane Wade,1610612748,Miami Heat,4,10,22,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,25,1,1,20111228,CHA,MIA
Shot Chart Detail,0021100024,475,2548,Dwyane Wade,1610612748,Miami Heat,4,2,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,0,1,1,20111228,CHA,MIA
Shot Chart Detail,0021100024,508,2548,Dwyane Wade,1610612748,Miami Heat,4,0,2,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-59,26,1,1,20111228,CHA,MIA
Shot Chart Detail,0021100045,60,2548,Dwyane Wade,1610612748,Miami Heat,1,6,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,0,1,1,20111230,MIN,MIA
Shot Chart Detail,0021100045,238,2548,Dwyane Wade,1610612748,Miami Heat,2,1,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,182,52,1,1,20111230,MIN,MIA
Shot Chart Detail,0021100045,244,2548,Dwyane Wade,1610612748,Miami Heat,2,0,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,102,168,1,1,20111230,MIN,MIA
Shot Chart Detail,0021100045,278,2548,Dwyane Wade,1610612748,Miami Heat,3,9,17,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-95,30,1,1,20111230,MIN,MIA
Shot Chart Detail,0021100045,307,2548,Dwyane Wade,1610612748,Miami Heat,3,5,3,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,1,1,1,20111230,MIN,MIA
Shot Chart Detail,0021100045,473,2548,Dwyane Wade,1610612748,Miami Heat,4,1,58,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,26,195,1,1,20111230,MIN,MIA
Shot Chart Detail,0021100045,498,2548,Dwyane Wade,1610612748,Miami Heat,4,0,33,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-166,142,1,1,20111230,MIN,MIA
Shot Chart Detail,0021100045,517,2548,Dwyane Wade,1610612748,Miami Heat,4,0,4,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,0,1,1,20111230,MIN,MIA
Shot Chart Detail,0021100059,50,2548,Dwyane Wade,1610612748,Miami Heat,1,8,1,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,17,1,1,20120101,MIA,CHA
Shot Chart Detail,0021100059,102,2548,Dwyane Wade,1610612748,Miami Heat,1,4,29,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,7,1,1,20120101,MIA,CHA
Shot Chart Detail,0021100059,194,2548,Dwyane Wade,1610612748,Miami Heat,2,9,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,196,37,1,1,20120101,MIA,CHA
Shot Chart Detail,0021100059,325,2548,Dwyane Wade,1610612748,Miami Heat,3,9,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,84,160,1,1,20120101,MIA,CHA
Shot Chart Detail,0021100059,332,2548,Dwyane Wade,1610612748,Miami Heat,3,8,23,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20120101,MIA,CHA
Shot Chart Detail,0021100059,341,2548,Dwyane Wade,1610612748,Miami Heat,3,7,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-133,137,1,1,20120101,MIA,CHA
Shot Chart Detail,0021100059,361,2548,Dwyane Wade,1610612748,Miami Heat,3,5,40,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,7,1,1,20120101,MIA,CHA
Shot Chart Detail,0021100059,441,2548,Dwyane Wade,1610612748,Miami Heat,4,10,45,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,15,75,135,1,1,20120101,MIA,CHA
Shot Chart Detail,0021100059,443,2548,Dwyane Wade,1610612748,Miami Heat,4,10,17,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-172,104,1,1,20120101,MIA,CHA
Shot Chart Detail,0021100070,18,2548,Dwyane Wade,1610612748,Miami Heat,1,9,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-68,172,1,1,20120102,MIA,ATL
Shot Chart Detail,0021100070,175,2548,Dwyane Wade,1610612748,Miami Heat,2,6,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,1,1,1,20120102,MIA,ATL
Shot Chart Detail,0021100070,221,2548,Dwyane Wade,1610612748,Miami Heat,2,1,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,12,1,1,20120102,MIA,ATL
Shot Chart Detail,0021100070,433,2548,Dwyane Wade,1610612748,Miami Heat,4,6,52,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,7,1,1,20120102,MIA,ATL
Shot Chart Detail,0021100142,17,2548,Dwyane Wade,1610612748,Miami Heat,1,10,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,17,1,1,20120110,GSW,MIA
Shot Chart Detail,0021100142,76,2548,Dwyane Wade,1610612748,Miami Heat,1,5,35,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,19,1,1,20120110,GSW,MIA
Shot Chart Detail,0021100142,156,2548,Dwyane Wade,1610612748,Miami Heat,2,9,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,22,1,1,20120110,GSW,MIA
Shot Chart Detail,0021100142,181,2548,Dwyane Wade,1610612748,Miami Heat,2,8,19,Made Shot,Driving Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-2,34,1,1,20120110,GSW,MIA
Shot Chart Detail,0021100142,208,2548,Dwyane Wade,1610612748,Miami Heat,2,6,32,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,110,61,1,1,20120110,GSW,MIA
Shot Chart Detail,0021100142,210,2548,Dwyane Wade,1610612748,Miami Heat,2,6,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,155,142,1,1,20120110,GSW,MIA
Shot Chart Detail,0021100142,293,2548,Dwyane Wade,1610612748,Miami Heat,3,11,21,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-187,14,1,1,20120110,GSW,MIA
Shot Chart Detail,0021100142,306,2548,Dwyane Wade,1610612748,Miami Heat,3,10,2,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,64,116,1,1,20120110,GSW,MIA
Shot Chart Detail,0021100142,349,2548,Dwyane Wade,1610612748,Miami Heat,3,5,46,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,11,1,1,20120110,GSW,MIA
Shot Chart Detail,0021100142,472,2548,Dwyane Wade,1610612748,Miami Heat,4,8,12,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-123,28,1,1,20120110,GSW,MIA
Shot Chart Detail,0021100142,621,2548,Dwyane Wade,1610612748,Miami Heat,5,0,56,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,52,1,1,20120110,GSW,MIA
Shot Chart Detail,0021100153,31,2548,Dwyane Wade,1610612748,Miami Heat,1,7,46,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,25,1,1,20120111,LAC,MIA
Shot Chart Detail,0021100153,124,2548,Dwyane Wade,1610612748,Miami Heat,2,10,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-168,14,1,1,20120111,LAC,MIA
Shot Chart Detail,0021100153,195,2548,Dwyane Wade,1610612748,Miami Heat,2,6,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-8,30,1,1,20120111,LAC,MIA
Shot Chart Detail,0021100153,236,2548,Dwyane Wade,1610612748,Miami Heat,2,2,39,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,17,1,1,20120111,LAC,MIA
Shot Chart Detail,0021100153,298,2548,Dwyane Wade,1610612748,Miami Heat,3,8,34,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,11,1,1,20120111,LAC,MIA
Shot Chart Detail,0021100153,380,2548,Dwyane Wade,1610612748,Miami Heat,4,11,22,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,45,11,1,1,20120111,LAC,MIA
Shot Chart Detail,0021100168,10,2548,Dwyane Wade,1610612748,Miami Heat,1,10,18,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-117,39,1,1,20120113,DEN,MIA
Shot Chart Detail,0021100168,14,2548,Dwyane Wade,1610612748,Miami Heat,1,9,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-177,7,1,1,20120113,DEN,MIA
Shot Chart Detail,0021100168,67,2548,Dwyane Wade,1610612748,Miami Heat,1,5,26,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20120113,DEN,MIA
Shot Chart Detail,0021100168,168,2548,Dwyane Wade,1610612748,Miami Heat,2,10,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,15,1,1,20120113,DEN,MIA
Shot Chart Detail,0021100168,330,2548,Dwyane Wade,1610612748,Miami Heat,3,7,46,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-11,53,1,1,20120113,DEN,MIA
Shot Chart Detail,0021100168,356,2548,Dwyane Wade,1610612748,Miami Heat,3,5,44,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-95,17,1,1,20120113,DEN,MIA
Shot Chart Detail,0021100276,47,2548,Dwyane Wade,1610612748,Miami Heat,1,8,27,Made Shot,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,12,1,1,20120127,MIA,NYK
Shot Chart Detail,0021100276,52,2548,Dwyane Wade,1610612748,Miami Heat,1,7,24,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-23,88,1,1,20120127,MIA,NYK
Shot Chart Detail,0021100276,62,2548,Dwyane Wade,1610612748,Miami Heat,1,6,28,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,6,1,1,20120127,MIA,NYK
Shot Chart Detail,0021100276,84,2548,Dwyane Wade,1610612748,Miami Heat,1,5,0,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,12,1,1,20120127,MIA,NYK
Shot Chart Detail,0021100276,189,2548,Dwyane Wade,1610612748,Miami Heat,2,6,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,9,1,1,20120127,MIA,NYK
Shot Chart Detail,0021100276,250,2548,Dwyane Wade,1610612748,Miami Heat,2,1,36,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-130,85,1,1,20120127,MIA,NYK
Shot Chart Detail,0021100276,262,2548,Dwyane Wade,1610612748,Miami Heat,2,0,29,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,11,1,1,20120127,MIA,NYK
Shot Chart Detail,0021100276,314,2548,Dwyane Wade,1610612748,Miami Heat,3,7,8,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,11,1,1,20120127,MIA,NYK
Shot Chart Detail,0021100276,435,2548,Dwyane Wade,1610612748,Miami Heat,4,8,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,39,156,1,1,20120127,MIA,NYK
Shot Chart Detail,0021100276,449,2548,Dwyane Wade,1610612748,Miami Heat,4,7,8,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,6,1,1,20120127,MIA,NYK
Shot Chart Detail,0021100276,478,2548,Dwyane Wade,1610612748,Miami Heat,4,4,42,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,14,1,1,20120127,MIA,NYK
Shot Chart Detail,0021100291,253,2548,Dwyane Wade,1610612748,Miami Heat,2,2,25,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,7,1,1,20120129,MIA,CHI
Shot Chart Detail,0021100291,328,2548,Dwyane Wade,1610612748,Miami Heat,3,9,28,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20120129,MIA,CHI
Shot Chart Detail,0021100291,335,2548,Dwyane Wade,1610612748,Miami Heat,3,8,37,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,6,1,1,20120129,MIA,CHI
Shot Chart Detail,0021100291,516,2548,Dwyane Wade,1610612748,Miami Heat,4,3,30,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,53,105,1,1,20120129,MIA,CHI
Shot Chart Detail,0021100301,73,2548,Dwyane Wade,1610612748,Miami Heat,1,4,18,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-150,47,1,1,20120130,MIA,NOH
Shot Chart Detail,0021100301,183,2548,Dwyane Wade,1610612748,Miami Heat,2,7,20,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-68,82,1,1,20120130,MIA,NOH
Shot Chart Detail,0021100301,211,2548,Dwyane Wade,1610612748,Miami Heat,2,4,20,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-73,66,1,1,20120130,MIA,NOH
Shot Chart Detail,0021100301,218,2548,Dwyane Wade,1610612748,Miami Heat,2,3,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-86,23,1,1,20120130,MIA,NOH
Shot Chart Detail,0021100301,225,2548,Dwyane Wade,1610612748,Miami Heat,2,3,17,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-101,20,1,1,20120130,MIA,NOH
Shot Chart Detail,0021100301,242,2548,Dwyane Wade,1610612748,Miami Heat,2,2,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,20,1,1,20120130,MIA,NOH
Shot Chart Detail,0021100301,278,2548,Dwyane Wade,1610612748,Miami Heat,3,11,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,15,1,1,20120130,MIA,NOH
Shot Chart Detail,0021100301,344,2548,Dwyane Wade,1610612748,Miami Heat,3,4,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-120,173,1,1,20120130,MIA,NOH
Shot Chart Detail,0021100319,46,2548,Dwyane Wade,1610612748,Miami Heat,1,6,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,95,-13,1,1,20120201,MIL,MIA
Shot Chart Detail,0021100319,64,2548,Dwyane Wade,1610612748,Miami Heat,1,4,43,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-5,39,1,1,20120201,MIL,MIA
Shot Chart Detail,0021100319,152,2548,Dwyane Wade,1610612748,Miami Heat,2,9,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,15,1,1,20120201,MIL,MIA
Shot Chart Detail,0021100319,187,2548,Dwyane Wade,1610612748,Miami Heat,2,6,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,1,1,1,20120201,MIL,MIA
Shot Chart Detail,0021100319,233,2548,Dwyane Wade,1610612748,Miami Heat,2,1,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,190,9,1,1,20120201,MIL,MIA
Shot Chart Detail,0021100319,287,2548,Dwyane Wade,1610612748,Miami Heat,3,8,11,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,6,1,1,20120201,MIL,MIA
Shot Chart Detail,0021100319,300,2548,Dwyane Wade,1610612748,Miami Heat,3,6,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,146,-13,1,1,20120201,MIL,MIA
Shot Chart Detail,0021100319,487,2548,Dwyane Wade,1610612748,Miami Heat,4,1,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,1,1,1,20120201,MIL,MIA
Shot Chart Detail,0021100333,6,2548,Dwyane Wade,1610612748,Miami Heat,1,11,1,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-34,37,1,1,20120203,PHI,MIA
Shot Chart Detail,0021100333,26,2548,Dwyane Wade,1610612748,Miami Heat,1,8,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-3,1,1,20120203,PHI,MIA
Shot Chart Detail,0021100333,49,2548,Dwyane Wade,1610612748,Miami Heat,1,4,51,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,7,135,1,1,20120203,PHI,MIA
Shot Chart Detail,0021100333,149,2548,Dwyane Wade,1610612748,Miami Heat,2,6,44,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-90,-3,1,1,20120203,PHI,MIA
Shot Chart Detail,0021100333,209,2548,Dwyane Wade,1610612748,Miami Heat,2,3,8,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-48,23,1,1,20120203,PHI,MIA
Shot Chart Detail,0021100333,316,2548,Dwyane Wade,1610612748,Miami Heat,3,4,56,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,2,137,1,1,20120203,PHI,MIA
