GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100002,159,1891,Jason Terry,1610612742,Dallas Mavericks,1,0,16,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,20,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,192,1891,Jason Terry,1610612742,Dallas Mavericks,2,9,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,25,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,219,1891,Jason Terry,1610612742,Dallas Mavericks,2,7,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,177,165,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,393,1891,Jason Terry,1610612742,Dallas Mavericks,3,6,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,170,179,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,460,1891,Jason Terry,1610612742,Dallas Mavericks,3,1,2,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,1,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,513,1891,Jason Terry,1610612742,Dallas Mavericks,4,8,28,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-49,105,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,520,1891,Jason Terry,1610612742,Dallas Mavericks,4,7,45,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,23,-103,206,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,538,1891,Jason Terry,1610612742,Dallas Mavericks,4,6,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,140,200,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100002,545,1891,Jason Terry,1610612742,Dallas Mavericks,4,5,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-157,14,1,1,20111225,DAL,MIA
Shot Chart Detail,0021100012,55,1891,Jason Terry,1610612742,Dallas Mavericks,1,6,8,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,99,1891,Jason Terry,1610612742,Dallas Mavericks,1,1,15,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,141,4,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100012,159,1891,Jason Terry,1610612742,Dallas Mavericks,2,6,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-172,1,1,1,20111226,DAL,DEN
Shot Chart Detail,0021100035,116,1891,Jason Terry,1610612742,Dallas Mavericks,1,0,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,110,220,1,1,20111229,OKC,DAL
Shot Chart Detail,0021100035,130,1891,Jason Terry,1610612742,Dallas Mavericks,1,0,6,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,15,1,1,20111229,OKC,DAL
Shot Chart Detail,0021100035,433,1891,Jason Terry,1610612742,Dallas Mavericks,4,8,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,140,75,1,1,20111229,OKC,DAL
Shot Chart Detail,0021100035,458,1891,Jason Terry,1610612742,Dallas Mavericks,4,5,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,160,31,1,1,20111229,OKC,DAL
Shot Chart Detail,0021100035,479,1891,Jason Terry,1610612742,Dallas Mavericks,4,4,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-209,124,1,1,20111229,OKC,DAL
Shot Chart Detail,0021100035,526,1891,Jason Terry,1610612742,Dallas Mavericks,4,0,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,23,168,170,1,1,20111229,OKC,DAL
Shot Chart Detail,0021100047,105,1891,Jason Terry,1610612742,Dallas Mavericks,1,2,17,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-177,159,1,1,20111230,DAL,TOR
Shot Chart Detail,0021100047,412,1891,Jason Terry,1610612742,Dallas Mavericks,4,9,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-87,231,1,1,20111230,DAL,TOR
