GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100014,26,101162,Marcin Gortat,1610612756,Phoenix Suns,1,8,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,0,1,1,20111226,PHX,NOH
Shot Chart Detail,0021100014,42,101162,Marcin Gortat,1610612756,Phoenix Suns,1,7,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-5,1,1,20111226,PHX,NOH
Shot Chart Detail,0021100014,206,101162,Marcin Gortat,1610612756,Phoenix Suns,2,5,33,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20111226,PHX,NOH
Shot Chart Detail,0021100014,234,101162,Marcin Gortat,1610612756,Phoenix Suns,2,3,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,6,1,1,20111226,PHX,NOH
Shot Chart Detail,0021100014,310,101162,Marcin Gortat,1610612756,Phoenix Suns,3,8,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,0,1,1,20111226,PHX,NOH
Shot Chart Detail,0021100014,313,101162,Marcin Gortat,1610612756,Phoenix Suns,3,7,31,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,0,1,1,20111226,PHX,NOH
Shot Chart Detail,0021100031,230,101162,Marcin Gortat,1610612756,Phoenix Suns,2,2,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,9,1,1,20111228,PHX,PHI
Shot Chart Detail,0021100044,244,101162,Marcin Gortat,1610612756,Phoenix Suns,2,4,21,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,9,1,1,20111230,NOH,PHX
Shot Chart Detail,0021100044,375,101162,Marcin Gortat,1610612756,Phoenix Suns,3,4,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,14,1,1,20111230,NOH,PHX
Shot Chart Detail,0021100044,379,101162,Marcin Gortat,1610612756,Phoenix Suns,3,4,19,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,14,1,1,20111230,NOH,PHX
Shot Chart Detail,0021100044,388,101162,Marcin Gortat,1610612756,Phoenix Suns,3,3,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,23,1,1,20111230,NOH,PHX
Shot Chart Detail,0021100044,516,101162,Marcin Gortat,1610612756,Phoenix Suns,4,4,24,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-40,41,1,1,20111230,NOH,PHX
Shot Chart Detail,0021100044,544,101162,Marcin Gortat,1610612756,Phoenix Suns,4,2,33,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,29,52,1,1,20111230,NOH,PHX
Shot Chart Detail,0021100053,24,101162,Marcin Gortat,1610612756,Phoenix Suns,1,9,3,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,26,77,1,1,20111231,OKC,PHX
Shot Chart Detail,0021100053,58,101162,Marcin Gortat,1610612756,Phoenix Suns,1,4,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20111231,OKC,PHX
Shot Chart Detail,0021100053,66,101162,Marcin Gortat,1610612756,Phoenix Suns,1,3,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,0,154,1,1,20111231,OKC,PHX
Shot Chart Detail,0021100053,236,101162,Marcin Gortat,1610612756,Phoenix Suns,2,1,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,7,145,1,1,20111231,OKC,PHX
Shot Chart Detail,0021100053,301,101162,Marcin Gortat,1610612756,Phoenix Suns,3,6,59,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,70,0,1,1,20111231,OKC,PHX
Shot Chart Detail,0021100066,12,101162,Marcin Gortat,1610612756,Phoenix Suns,1,10,37,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,15,-76,137,1,1,20120102,PHX,GSW
Shot Chart Detail,0021100066,85,101162,Marcin Gortat,1610612756,Phoenix Suns,1,3,54,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-95,14,1,1,20120102,PHX,GSW
Shot Chart Detail,0021100090,6,101162,Marcin Gortat,1610612756,Phoenix Suns,1,11,11,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20120104,DAL,PHX
Shot Chart Detail,0021100090,88,101162,Marcin Gortat,1610612756,Phoenix Suns,1,3,13,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,23,1,1,20120104,DAL,PHX
Shot Chart Detail,0021100090,115,101162,Marcin Gortat,1610612756,Phoenix Suns,1,1,23,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,70,39,1,1,20120104,DAL,PHX
Shot Chart Detail,0021100090,287,101162,Marcin Gortat,1610612756,Phoenix Suns,2,1,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,3,1,1,20120104,DAL,PHX
Shot Chart Detail,0021100090,323,101162,Marcin Gortat,1610612756,Phoenix Suns,3,8,29,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,45,37,1,1,20120104,DAL,PHX
Shot Chart Detail,0021100090,460,101162,Marcin Gortat,1610612756,Phoenix Suns,4,7,28,Made Shot,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,6,1,1,20120104,DAL,PHX
Shot Chart Detail,0021100090,466,101162,Marcin Gortat,1610612756,Phoenix Suns,4,6,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-114,48,1,1,20120104,DAL,PHX
Shot Chart Detail,0021100090,482,101162,Marcin Gortat,1610612756,Phoenix Suns,4,4,37,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,25,1,1,20120104,DAL,PHX
Shot Chart Detail,0021100090,495,101162,Marcin Gortat,1610612756,Phoenix Suns,4,3,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,4,1,1,20120104,DAL,PHX
Shot Chart Detail,0021100090,510,101162,Marcin Gortat,1610612756,Phoenix Suns,4,1,39,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,15,-78,137,1,1,20120104,DAL,PHX
Shot Chart Detail,0021100108,15,101162,Marcin Gortat,1610612756,Phoenix Suns,1,10,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-48,162,1,1,20120106,PHX,POR
