GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100005,10,101145,Monta Ellis,1610612744,Golden State Warriors,1,9,57,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,15,1,1,20111225,GSW,LAC
Shot Chart Detail,0021100005,112,101145,Monta Ellis,1610612744,Golden State Warriors,1,0,1,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,1,1,1,20111225,GSW,LAC
Shot Chart Detail,0021100005,162,101145,Monta Ellis,1610612744,Golden State Warriors,2,7,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,17,1,1,20111225,GSW,LAC
Shot Chart Detail,0021100005,179,101145,Monta Ellis,1610612744,Golden State Warriors,2,6,12,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,23,1,1,20111225,GSW,LAC
Shot Chart Detail,0021100005,207,101145,Monta Ellis,1610612744,Golden State Warriors,2,3,45,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,3,1,1,20111225,GSW,LAC
Shot Chart Detail,0021100005,408,101145,Monta Ellis,1610612744,Golden State Warriors,3,1,19,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,22,1,1,20111225,GSW,LAC
Shot Chart Detail,0021100017,36,101145,Monta Ellis,1610612744,Golden State Warriors,1,6,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-5,1,1,20111226,GSW,CHI
Shot Chart Detail,0021100017,40,101145,Monta Ellis,1610612744,Golden State Warriors,1,5,1,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-16,55,1,1,20111226,GSW,CHI
Shot Chart Detail,0021100017,52,101145,Monta Ellis,1610612744,Golden State Warriors,1,4,20,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-182,11,1,1,20111226,GSW,CHI
Shot Chart Detail,0021100017,55,101145,Monta Ellis,1610612744,Golden State Warriors,1,3,55,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,73,189,1,1,20111226,GSW,CHI
Shot Chart Detail,0021100017,94,101145,Monta Ellis,1610612744,Golden State Warriors,1,0,27,Made Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,-10,1,1,20111226,GSW,CHI
Shot Chart Detail,0021100017,199,101145,Monta Ellis,1610612744,Golden State Warriors,2,4,22,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-133,123,1,1,20111226,GSW,CHI
Shot Chart Detail,0021100017,267,101145,Monta Ellis,1610612744,Golden State Warriors,3,11,28,Made Shot,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,0,1,1,20111226,GSW,CHI
Shot Chart Detail,0021100017,434,101145,Monta Ellis,1610612744,Golden State Warriors,4,7,4,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,129,134,1,1,20111226,GSW,CHI
Shot Chart Detail,0021100017,457,101145,Monta Ellis,1610612744,Golden State Warriors,4,4,37,Made Shot,Driving Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,7,1,1,20111226,GSW,CHI
Shot Chart Detail,0021100017,463,101145,Monta Ellis,1610612744,Golden State Warriors,4,4,1,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,15,1,1,20111226,GSW,CHI
