GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021100013,11,1495,Tim Duncan,1610612759,San Antonio Spurs,1,10,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-26,181,1,1,20111226,SAS,MEM
Shot Chart Detail,0021100013,47,1495,Tim Duncan,1610612759,San Antonio Spurs,1,7,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-119,86,1,1,20111226,SAS,MEM
Shot Chart Detail,0021100013,358,1495,Tim Duncan,1610612759,San Antonio Spurs,3,5,12,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20111226,SAS,MEM
Shot Chart Detail,0021100013,477,1495,Tim Duncan,1610612759,San Antonio Spurs,4,6,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20111226,SAS,MEM
Shot Chart Detail,0021100029,46,1495,Tim Duncan,1610612759,San Antonio Spurs,1,7,14,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-144,42,1,1,20111228,SAS,LAC
Shot Chart Detail,0021100029,174,1495,Tim Duncan,1610612759,San Antonio Spurs,2,5,52,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-8,20,1,1,20111228,SAS,LAC
Shot Chart Detail,0021100029,233,1495,Tim Duncan,1610612759,San Antonio Spurs,3,11,46,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,61,83,1,1,20111228,SAS,LAC
Shot Chart Detail,0021100029,263,1495,Tim Duncan,1610612759,San Antonio Spurs,3,7,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,72,168,1,1,20111228,SAS,LAC
Shot Chart Detail,0021100029,291,1495,Tim Duncan,1610612759,San Antonio Spurs,3,4,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-35,165,1,1,20111228,SAS,LAC
Shot Chart Detail,0021100034,48,1495,Tim Duncan,1610612759,San Antonio Spurs,1,6,18,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,23,1,1,20111229,HOU,SAS
Shot Chart Detail,0021100055,25,1495,Tim Duncan,1610612759,San Antonio Spurs,1,8,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-2,172,1,1,20111231,SAS,UTA
Shot Chart Detail,0021100055,235,1495,Tim Duncan,1610612759,San Antonio Spurs,3,11,26,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,61,1,1,20111231,SAS,UTA
Shot Chart Detail,0021100055,335,1495,Tim Duncan,1610612759,San Antonio Spurs,3,3,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,4,209,1,1,20111231,SAS,UTA
Shot Chart Detail,0021100055,377,1495,Tim Duncan,1610612759,San Antonio Spurs,3,0,33,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-2,44,1,1,20111231,SAS,UTA
Shot Chart Detail,0021100072,9,1495,Tim Duncan,1610612759,San Antonio Spurs,1,10,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,50,200,1,1,20120102,MIN,SAS
Shot Chart Detail,0021100072,23,1495,Tim Duncan,1610612759,San Antonio Spurs,1,9,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-161,37,1,1,20120102,MIN,SAS
Shot Chart Detail,0021100072,41,1495,Tim Duncan,1610612759,San Antonio Spurs,1,6,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,99,176,1,1,20120102,MIN,SAS
Shot Chart Detail,0021100072,44,1495,Tim Duncan,1610612759,San Antonio Spurs,1,6,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,119,178,1,1,20120102,MIN,SAS
Shot Chart Detail,0021100072,55,1495,Tim Duncan,1610612759,San Antonio Spurs,1,4,45,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-112,9,1,1,20120102,MIN,SAS
Shot Chart Detail,0021100072,244,1495,Tim Duncan,1610612759,San Antonio Spurs,3,8,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-8,201,1,1,20120102,MIN,SAS
Shot Chart Detail,0021100072,259,1495,Tim Duncan,1610612759,San Antonio Spurs,3,5,26,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-146,22,1,1,20120102,MIN,SAS
Shot Chart Detail,0021100091,9,1495,Tim Duncan,1610612759,San Antonio Spurs,1,10,37,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,17,47,1,1,20120104,SAS,GSW
Shot Chart Detail,0021100091,16,1495,Tim Duncan,1610612759,San Antonio Spurs,1,9,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-24,186,1,1,20120104,SAS,GSW
Shot Chart Detail,0021100091,36,1495,Tim Duncan,1610612759,San Antonio Spurs,1,7,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,67,149,1,1,20120104,SAS,GSW
Shot Chart Detail,0021100091,183,1495,Tim Duncan,1610612759,San Antonio Spurs,2,4,27,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,18,48,1,1,20120104,SAS,GSW
Shot Chart Detail,0021100091,276,1495,Tim Duncan,1610612759,San Antonio Spurs,3,8,19,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-57,53,1,1,20120104,SAS,GSW
Shot Chart Detail,0021100091,445,1495,Tim Duncan,1610612759,San Antonio Spurs,4,2,58,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,6,1,1,20120104,SAS,GSW
Shot Chart Detail,0021100095,20,1495,Tim Duncan,1610612759,San Antonio Spurs,1,9,18,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,23,1,1,20120105,SAS,DAL
Shot Chart Detail,0021100095,28,1495,Tim Duncan,1610612759,San Antonio Spurs,1,8,27,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-4,55,1,1,20120105,SAS,DAL
Shot Chart Detail,0021100095,205,1495,Tim Duncan,1610612759,San Antonio Spurs,2,3,49,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,3,1,1,20120105,SAS,DAL
Shot Chart Detail,0021100095,337,1495,Tim Duncan,1610612759,San Antonio Spurs,3,3,26,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,15,1,1,20120105,SAS,DAL
Shot Chart Detail,0021100116,25,1495,Tim Duncan,1610612759,San Antonio Spurs,1,8,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-59,192,1,1,20120107,SAS,DEN
Shot Chart Detail,0021100116,30,1495,Tim Duncan,1610612759,San Antonio Spurs,1,7,55,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20120107,SAS,DEN
Shot Chart Detail,0021100116,34,1495,Tim Duncan,1610612759,San Antonio Spurs,1,7,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-70,200,1,1,20120107,SAS,DEN
Shot Chart Detail,0021100116,258,1495,Tim Duncan,1610612759,San Antonio Spurs,3,8,55,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-150,11,1,1,20120107,SAS,DEN
Shot Chart Detail,0021100122,16,1495,Tim Duncan,1610612759,San Antonio Spurs,1,9,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,-3,1,1,20120108,OKC,SAS
Shot Chart Detail,0021100122,30,1495,Tim Duncan,1610612759,San Antonio Spurs,1,7,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-155,60,1,1,20120108,OKC,SAS
Shot Chart Detail,0021100122,257,1495,Tim Duncan,1610612759,San Antonio Spurs,2,0,28,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,1,1,1,20120108,OKC,SAS
Shot Chart Detail,0021100122,314,1495,Tim Duncan,1610612759,San Antonio Spurs,3,7,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-65,153,1,1,20120108,OKC,SAS
