GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200017,28,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,8,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-4,156,1,1,20121102,BOS,MIL
Shot Chart Detail,0021200017,46,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,6,17,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,75,53,1,1,20121102,BOS,MIL
Shot Chart Detail,0021200017,51,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,5,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,7,1,1,20121102,BOS,MIL
Shot Chart Detail,0021200017,189,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,4,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,62,252,1,1,20121102,BOS,MIL
Shot Chart Detail,0021200017,204,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,3,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,7,1,1,20121102,BOS,MIL
Shot Chart Detail,0021200017,235,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,0,0,Made Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,92,14,1,1,20121102,BOS,MIL
Shot Chart Detail,0021200017,309,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,5,25,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-45,6,1,1,20121102,BOS,MIL
Shot Chart Detail,0021200017,319,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,4,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-130,159,1,1,20121102,BOS,MIL
Shot Chart Detail,0021200017,449,201943,Brandon Jennings,1610612749,Milwaukee Bucks,4,3,46,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,4,1,1,20121102,BOS,MIL
Shot Chart Detail,0021200033,56,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,6,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,149,-5,1,1,20121103,MIL,CLE
Shot Chart Detail,0021200033,255,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,10,3,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-24,126,1,1,20121103,MIL,CLE
Shot Chart Detail,0021200033,287,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,7,9,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,47,48,1,1,20121103,MIL,CLE
Shot Chart Detail,0021200033,290,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,6,50,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,124,149,1,1,20121103,MIL,CLE
Shot Chart Detail,0021200033,515,201943,Brandon Jennings,1610612749,Milwaukee Bucks,4,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,4,260,1,1,20121103,MIL,CLE
Shot Chart Detail,0021200057,24,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,9,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-19,146,1,1,20121107,MIL,MEM
Shot Chart Detail,0021200057,62,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,5,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,198,153,1,1,20121107,MIL,MEM
Shot Chart Detail,0021200057,85,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,2,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-163,183,1,1,20121107,MIL,MEM
Shot Chart Detail,0021200057,143,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,9,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,94,50,1,1,20121107,MIL,MEM
Shot Chart Detail,0021200057,340,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,4,47,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,166,-14,1,1,20121107,MIL,MEM
Shot Chart Detail,0021200057,370,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,1,28,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,7,126,1,1,20121107,MIL,MEM
Shot Chart Detail,0021200068,67,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,4,13,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,0,1,1,20121109,WAS,MIL
Shot Chart Detail,0021200068,192,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,3,54,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,21,48,1,1,20121109,WAS,MIL
Shot Chart Detail,0021200068,283,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,7,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,129,160,1,1,20121109,WAS,MIL
Shot Chart Detail,0021200068,326,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,2,50,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-161,74,1,1,20121109,WAS,MIL
Shot Chart Detail,0021200068,470,201943,Brandon Jennings,1610612749,Milwaukee Bucks,4,2,48,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-190,83,1,1,20121109,WAS,MIL
Shot Chart Detail,0021200086,221,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,3,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-229,67,1,1,20121110,MIL,BOS
Shot Chart Detail,0021200096,8,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,10,24,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,138,-44,1,1,20121112,PHI,MIL
Shot Chart Detail,0021200096,82,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,3,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20121112,PHI,MIL
Shot Chart Detail,0021200096,202,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,3,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,95,228,1,1,20121112,PHI,MIL
Shot Chart Detail,0021200096,241,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,1,13,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,121,220,1,1,20121112,PHI,MIL
Shot Chart Detail,0021200096,243,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,0,56,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,-10,1,1,20121112,PHI,MIL
Shot Chart Detail,0021200096,249,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,0,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,-22,1,1,20121112,PHI,MIL
Shot Chart Detail,0021200096,307,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,6,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,4,1,1,20121112,PHI,MIL
Shot Chart Detail,0021200096,389,201943,Brandon Jennings,1610612749,Milwaukee Bucks,4,11,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,12,1,1,20121112,PHI,MIL
Shot Chart Detail,0021200096,401,201943,Brandon Jennings,1610612749,Milwaukee Bucks,4,10,7,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-13,189,1,1,20121112,PHI,MIL
Shot Chart Detail,0021200096,428,201943,Brandon Jennings,1610612749,Milwaukee Bucks,4,7,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,187,194,1,1,20121112,PHI,MIL
Shot Chart Detail,0021200096,447,201943,Brandon Jennings,1610612749,Milwaukee Bucks,4,5,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,25,1,1,20121112,PHI,MIL
Shot Chart Detail,0021200096,470,201943,Brandon Jennings,1610612749,Milwaukee Bucks,4,3,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,19,1,1,20121112,PHI,MIL
Shot Chart Detail,0021200111,56,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,6,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,3,1,1,20121114,MIL,IND
Shot Chart Detail,0021200111,70,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,5,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-2,280,1,1,20121114,MIL,IND
Shot Chart Detail,0021200111,97,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,3,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-182,164,1,1,20121114,MIL,IND
Shot Chart Detail,0021200111,234,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,2,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,12,1,1,20121114,MIL,IND
Shot Chart Detail,0021200111,273,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,11,22,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-100,42,1,1,20121114,MIL,IND
Shot Chart Detail,0021200111,363,201943,Brandon Jennings,1610612749,Milwaukee Bucks,3,2,54,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,72,143,1,1,20121114,MIL,IND
Shot Chart Detail,0021200136,7,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,9,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,141,216,1,1,20121117,MIL,NOH
Shot Chart Detail,0021200136,39,201943,Brandon Jennings,1610612749,Milwaukee Bucks,1,6,20,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,245,-14,1,1,20121117,MIL,NOH
Shot Chart Detail,0021200136,177,201943,Brandon Jennings,1610612749,Milwaukee Bucks,2,8,12,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,4,1,1,20121117,MIL,NOH
