GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200010,91,101135,David Lee,1610612744,Golden State Warriors,1,3,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,9,1,1,20121031,PHX,GSW
Shot Chart Detail,0021200010,165,101135,David Lee,1610612744,Golden State Warriors,2,9,9,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,15,1,1,20121031,PHX,GSW
Shot Chart Detail,0021200026,176,101135,David Lee,1610612744,Golden State Warriors,2,6,55,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,4,1,1,20121102,GSW,MEM
Shot Chart Detail,0021200026,187,101135,David Lee,1610612744,Golden State Warriors,2,5,40,Made Shot,Driving Slam Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20121102,GSW,MEM
Shot Chart Detail,0021200026,294,101135,David Lee,1610612744,Golden State Warriors,3,7,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,19,1,1,20121102,GSW,MEM
Shot Chart Detail,0021200026,301,101135,David Lee,1610612744,Golden State Warriors,3,7,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-84,164,1,1,20121102,GSW,MEM
Shot Chart Detail,0021200026,336,101135,David Lee,1610612744,Golden State Warriors,3,2,50,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,121,137,1,1,20121102,GSW,MEM
Shot Chart Detail,0021200026,446,101135,David Lee,1610612744,Golden State Warriors,4,5,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-202,14,1,1,20121102,GSW,MEM
Shot Chart Detail,0021200026,472,101135,David Lee,1610612744,Golden State Warriors,4,3,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,17,1,1,20121102,GSW,MEM
Shot Chart Detail,0021200026,514,101135,David Lee,1610612744,Golden State Warriors,4,0,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,25,1,1,20121102,GSW,MEM
Shot Chart Detail,0021200036,24,101135,David Lee,1610612744,Golden State Warriors,1,9,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,12,1,1,20121103,LAC,GSW
