GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021200004,205,2561,David West,1610612754,Indiana Pacers,2,5,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-100,160,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,235,2561,David West,1610612754,Indiana Pacers,2,1,42,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-123,-16,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,290,2561,David West,1610612754,Indiana Pacers,3,9,57,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,17,39,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,341,2561,David West,1610612754,Indiana Pacers,3,5,57,Made Shot,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-5,80,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,367,2561,David West,1610612754,Indiana Pacers,3,4,22,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-57,26,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,473,2561,David West,1610612754,Indiana Pacers,4,7,47,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,127,83,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,475,2561,David West,1610612754,Indiana Pacers,4,7,0,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-51,36,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,481,2561,David West,1610612754,Indiana Pacers,4,5,37,Made Shot,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,42,60,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,490,2561,David West,1610612754,Indiana Pacers,4,4,46,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,15,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,497,2561,David West,1610612754,Indiana Pacers,4,4,7,Made Shot,Jump Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,97,0,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,510,2561,David West,1610612754,Indiana Pacers,4,2,37,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,146,55,1,1,20121031,TOR,IND
Shot Chart Detail,0021200004,522,2561,David West,1610612754,Indiana Pacers,4,1,20,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,154,0,1,1,20121031,TOR,IND
Shot Chart Detail,0021200015,62,2561,David West,1610612754,Indiana Pacers,1,5,11,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-38,39,1,1,20121102,CHA,IND
Shot Chart Detail,0021200015,282,2561,David West,1610612754,Indiana Pacers,3,9,41,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,11,1,1,20121102,CHA,IND
Shot Chart Detail,0021200015,313,2561,David West,1610612754,Indiana Pacers,3,7,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,111,26,1,1,20121102,CHA,IND
Shot Chart Detail,0021200015,347,2561,David West,1610612754,Indiana Pacers,3,5,43,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,72,22,1,1,20121102,CHA,IND
Shot Chart Detail,0021200015,374,2561,David West,1610612754,Indiana Pacers,3,3,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,19,1,1,20121102,CHA,IND
Shot Chart Detail,0021200015,377,2561,David West,1610612754,Indiana Pacers,3,2,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,15,1,1,20121102,CHA,IND
Shot Chart Detail,0021200015,537,2561,David West,1610612754,Indiana Pacers,4,2,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,12,1,1,20121102,CHA,IND
Shot Chart Detail,0021200028,2,2561,David West,1610612754,Indiana Pacers,1,11,43,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-54,173,1,1,20121103,IND,SAC
Shot Chart Detail,0021200028,19,2561,David West,1610612754,Indiana Pacers,1,9,53,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,157,3,1,1,20121103,IND,SAC
Shot Chart Detail,0021200028,233,2561,David West,1610612754,Indiana Pacers,2,3,19,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-122,131,1,1,20121103,IND,SAC
Shot Chart Detail,0021200028,305,2561,David West,1610612754,Indiana Pacers,3,7,20,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,14,1,1,20121103,IND,SAC
Shot Chart Detail,0021200028,469,2561,David West,1610612754,Indiana Pacers,4,4,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-160,45,1,1,20121103,IND,SAC
Shot Chart Detail,0021200028,481,2561,David West,1610612754,Indiana Pacers,4,3,0,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-4,172,1,1,20121103,IND,SAC
Shot Chart Detail,0021200028,501,2561,David West,1610612754,Indiana Pacers,4,0,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,106,52,1,1,20121103,IND,SAC
Shot Chart Detail,0021200047,174,2561,David West,1610612754,Indiana Pacers,2,6,53,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20121105,SAS,IND
Shot Chart Detail,0021200047,197,2561,David West,1610612754,Indiana Pacers,2,4,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,23,217,1,1,20121105,SAS,IND
Shot Chart Detail,0021200047,208,2561,David West,1610612754,Indiana Pacers,2,2,51,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-32,85,1,1,20121105,SAS,IND
Shot Chart Detail,0021200047,237,2561,David West,1610612754,Indiana Pacers,2,0,15,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,23,50,227,1,1,20121105,SAS,IND
Shot Chart Detail,0021200055,8,2561,David West,1610612754,Indiana Pacers,1,11,4,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,3,1,1,20121107,ATL,IND
Shot Chart Detail,0021200055,22,2561,David West,1610612754,Indiana Pacers,1,10,0,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,24,58,1,1,20121107,ATL,IND
Shot Chart Detail,0021200055,24,2561,David West,1610612754,Indiana Pacers,1,9,14,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-160,26,1,1,20121107,ATL,IND
Shot Chart Detail,0021200055,28,2561,David West,1610612754,Indiana Pacers,1,8,48,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,103,115,1,1,20121107,ATL,IND
Shot Chart Detail,0021200055,80,2561,David West,1610612754,Indiana Pacers,1,3,5,Made Shot,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,15,60,1,1,20121107,ATL,IND
Shot Chart Detail,0021200055,209,2561,David West,1610612754,Indiana Pacers,2,2,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,80,184,1,1,20121107,ATL,IND
Shot Chart Detail,0021200055,270,2561,David West,1610612754,Indiana Pacers,3,9,19,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20121107,ATL,IND
Shot Chart Detail,0021200055,275,2561,David West,1610612754,Indiana Pacers,3,8,51,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-152,37,1,1,20121107,ATL,IND
Shot Chart Detail,0021200055,281,2561,David West,1610612754,Indiana Pacers,3,7,29,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,9,78,1,1,20121107,ATL,IND
Shot Chart Detail,0021200076,9,2561,David West,1610612754,Indiana Pacers,1,10,12,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,17,61,1,1,20121109,MIN,IND
Shot Chart Detail,0021200076,154,2561,David West,1610612754,Indiana Pacers,2,6,23,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,13,66,1,1,20121109,MIN,IND
Shot Chart Detail,0021200076,226,2561,David West,1610612754,Indiana Pacers,3,10,8,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-4,37,1,1,20121109,MIN,IND
Shot Chart Detail,0021200076,247,2561,David West,1610612754,Indiana Pacers,3,7,9,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,54,77,1,1,20121109,MIN,IND
Shot Chart Detail,0021200076,258,2561,David West,1610612754,Indiana Pacers,3,6,19,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,59,67,1,1,20121109,MIN,IND
Shot Chart Detail,0021200076,365,2561,David West,1610612754,Indiana Pacers,4,10,32,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,1,1,1,20121109,MIN,IND
Shot Chart Detail,0021200076,423,2561,David West,1610612754,Indiana Pacers,4,5,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,4,1,1,20121109,MIN,IND
Shot Chart Detail,0021200076,445,2561,David West,1610612754,Indiana Pacers,4,2,56,Made Shot,Tip Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,11,1,1,20121109,MIN,IND
Shot Chart Detail,0021200082,10,2561,David West,1610612754,Indiana Pacers,1,10,25,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,28,1,1,20121110,IND,WAS
Shot Chart Detail,0021200082,155,2561,David West,1610612754,Indiana Pacers,2,6,38,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,105,15,1,1,20121110,IND,WAS
Shot Chart Detail,0021200082,217,2561,David West,1610612754,Indiana Pacers,2,0,51,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-68,33,1,1,20121110,IND,WAS
Shot Chart Detail,0021200082,447,2561,David West,1610612754,Indiana Pacers,4,1,44,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,0,1,1,20121110,IND,WAS
Shot Chart Detail,0021200105,6,2561,David West,1610612754,Indiana Pacers,1,10,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,3,1,1,20121113,IND,TOR
Shot Chart Detail,0021200105,46,2561,David West,1610612754,Indiana Pacers,1,5,42,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-161,1,1,1,20121113,IND,TOR
Shot Chart Detail,0021200105,188,2561,David West,1610612754,Indiana Pacers,2,1,57,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,20,52,1,1,20121113,IND,TOR
Shot Chart Detail,0021200111,30,2561,David West,1610612754,Indiana Pacers,1,9,19,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,14,75,123,1,1,20121114,MIL,IND
Shot Chart Detail,0021200111,298,2561,David West,1610612754,Indiana Pacers,3,8,37,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,15,1,1,20121114,MIL,IND
